"GeographyCode","QS101EW0001","QS101EW0002","QS101EW0003","QS101EW0004"
"E01000842",1444,1368,76,0
"E01000843",1678,1678,0,0
"E01000844",1772,1772,0,0
"E01000845",1464,1444,20,0
"E01000846",1501,1499,2,0
"E01000847",1686,1684,2,0
"E01000848",1588,1580,8,0
"E01000849",1569,1569,0,0
"E01000850",1694,1281,413,0
"E01000851",2383,1645,738,0
"E01000852",1587,976,611,0
"E01000853",1631,1596,35,0
"E01000854",1833,1643,190,0
"E01000855",1764,1714,50,0
"E01000856",1645,1645,0,0
"E01000857",1447,1443,4,0
"E01000858",1861,1861,0,0
"E01000859",1586,1586,0,0
"E01000860",1307,1307,0,0
"E01000861",1574,1574,0,0
"E01000862",1712,1712,0,0
"E01000863",1481,1383,98,0
"E01000864",1537,1537,0,0
"E01000865",1505,977,528,0
"E01000866",2030,2030,0,0
"E01000867",1608,1608,0,0
"E01000868",1442,1442,0,0
"E01000869",2110,2098,12,0
"E01000870",1693,1693,0,0
"E01000871",1664,1653,11,0
"E01000872",1902,1896,6,0
"E01000873",1639,1639,0,0
"E01000874",1559,1559,0,0
"E01000875",1654,1646,8,0
"E01000876",1748,1748,0,0
"E01000877",1574,1546,28,0
"E01000878",1624,1246,378,0
"E01000879",1458,1305,153,0
"E01000880",1602,1558,44,0
"E01000881",1510,1451,59,0
"E01000882",1513,1512,1,0
"E01000883",1326,1319,7,0
"E01000884",1469,1462,7,0
"E01000885",1484,1410,74,0
"E01000886",1445,1445,0,0
"E01000887",1486,1478,8,0
"E01000888",1605,1605,0,0
"E01000889",1670,1670,0,0
"E01000890",1640,1625,15,0
"E01000891",1575,1534,41,0
"E01000892",1843,1843,0,0
"E01000893",1566,1566,0,0
"E01000894",1389,1376,13,0
"E01000895",1630,1629,1,0
"E01000896",1692,1692,0,0
"E01000897",1597,1595,2,0
"E01000898",1729,1688,41,0
"E01000899",1667,1606,61,0
"E01000900",1801,1795,6,0
"E01000901",1977,1821,156,0
"E01000902",1451,1451,0,0
"E01000903",1439,1418,21,0
"E01000904",2120,2120,0,0
"E01000905",2044,1965,79,0
"E01000906",1532,1532,0,0
"E01000907",1430,1430,0,0
"E01000908",1581,1581,0,0
"E01000909",1614,1614,0,0
"E01000910",1472,1472,0,0
"E01000911",1559,1549,10,0
"E01000912",1589,1589,0,0
"E01000913",1710,1702,8,0
"E01000914",1762,1753,9,0
"E01000915",1527,1527,0,0
"E01000916",1796,1718,78,0
"E01000917",1888,1855,33,0
"E01000918",2090,1885,205,0
"E01000919",2014,1658,356,0
"E01000920",1946,1921,25,0
"E01000921",1966,1963,3,0
"E01000922",1547,1537,10,0
"E01000923",1494,1436,58,0
"E01000924",1637,1637,0,0
"E01000925",1563,1552,11,0
"E01000926",1791,1791,0,0
"E01000927",1738,1732,6,0
"E01000928",1681,1620,61,0
"E01000929",1675,1675,0,0
"E01000930",1910,1910,0,0
"E01000931",1910,1902,8,0
"E01000932",1838,1825,13,0
"E01000933",1671,1671,0,0
"E01000934",1619,1542,77,0
"E01000935",1415,1415,0,0
"E01000936",1839,1360,479,0
"E01000937",1504,943,561,0
"E01000938",1752,1726,26,0
"E01000939",1223,1197,26,0
"E01000940",1130,1124,6,0
"E01000941",1230,1203,27,0
"E01000942",2111,1181,930,0
"E01000943",1054,991,63,0
"E01000944",1899,1899,0,0
"E01000945",1821,1493,328,0
"E01000946",1516,1475,41,0
"E01000947",1954,1925,29,0
"E01000948",1736,1708,28,0
"E01000949",1633,1578,55,0
"E01000950",1431,1431,0,0
"E01000951",1538,1538,0,0
"E01000952",1729,1728,1,0
"E01000953",1643,1643,0,0
"E01000954",1656,1656,0,0
"E01000955",1595,1505,90,0
"E01000956",1532,1532,0,0
"E01000957",1729,1729,0,0
"E01000958",2264,2108,156,0
"E01000959",1670,1670,0,0
"E01000960",1774,1774,0,0
"E01000961",1591,1591,0,0
"E01000962",1592,1592,0,0
"E01000963",1923,1864,59,0
"E01000964",1577,1577,0,0
"E01000965",1522,1522,0,0
"E01000966",1512,1508,4,0
"E01000967",1409,1409,0,0
"E01000968",1505,1504,1,0
"E01000969",2032,2032,0,0
"E01000970",1444,1444,0,0
"E01000971",1478,1478,0,0
"E01000972",2009,2009,0,0
"E01000973",1885,1883,2,0
"E01000974",1707,1702,5,0
