"GeographyCode","KS104EW0001","KS104EW0002","KS104EW0003","KS104EW0004","KS104EW0005","KS104EW0006","KS104EW0007","KS104EW0008","KS104EW0009","KS104EW0010","KS104EW0011","KS104EW0012","KS104EW0013","KS104EW0014","KS104EW0015"
"E01000920",1677,406,264,761,65,40,92,49,24.2098986285033,15.742397137746,45.3786523553965,3.87596899224806,2.38521168753727,5.48598688133572,2.92188431723315
"E01000921",1689,378,350,791,22,37,79,32,22.3801065719361,20.7223208999408,46.8324452338662,1.30254588513914,2.19064535227946,4.67732386027235,1.89461219656602
"E01000922",1312,226,176,724,30,30,78,48,17.2256097560976,13.4146341463415,55.1829268292683,2.28658536585366,2.28658536585366,5.94512195121951,3.65853658536585
"E01000923",1206,330,202,513,26,24,84,27,27.363184079602,16.7495854063018,42.5373134328358,2.1558872305141,1.99004975124378,6.96517412935323,2.23880597014925
"E01000924",1436,288,344,623,26,24,98,33,20.0557103064067,23.9554317548747,43.3844011142061,1.81058495821727,1.67130919220056,6.82451253481894,2.29805013927577
"E01000925",1162,308,112,503,25,49,105,60,26.5060240963855,9.63855421686747,43.2874354561102,2.15146299483649,4.21686746987952,9.03614457831325,5.16351118760757
"E01000926",1537,226,219,890,35,28,93,46,14.7039687703318,14.2485361093038,57.9050097592713,2.27716330513988,1.82173064411191,6.05074821080026,2.99284320104099
"E01000927",1490,404,260,634,20,33,95,44,27.1140939597315,17.4496644295302,42.5503355704698,1.34228187919463,2.21476510067114,6.3758389261745,2.95302013422819
"E01000928",1316,396,172,554,24,36,75,59,30.0911854103343,13.0699088145897,42.09726443769,1.82370820668693,2.73556231003039,5.69908814589666,4.48328267477204
"E01000929",1260,384,111,470,40,42,134,79,30.4761904761905,8.80952380952381,37.3015873015873,3.17460317460317,3.33333333333333,10.6349206349206,6.26984126984127
"E01000930",1586,340,155,674,59,63,174,121,21.437578814628,9.77301387137453,42.4968474148802,3.72005044136192,3.97225725094578,10.9709962168979,7.62925598991173
"E01000931",1581,384,190,685,47,60,148,67,24.2884250474383,12.0177103099304,43.3270082226439,2.97280202403542,3.79506641366224,9.36116382036686,4.23782416192283
"E01000932",1657,316,348,755,41,32,121,44,19.0706095353048,21.0018105009053,45.5642727821364,2.47435123717562,1.93120096560048,7.30235365117683,2.65540132770066
"E01000933",1492,380,251,623,50,38,101,49,25.4691689008043,16.8230563002681,41.7560321715818,3.35120643431635,2.54691689008043,6.76943699731904,3.28418230563003
"E01000934",1233,352,118,508,40,44,116,55,28.5482562854826,9.57015409570154,41.2003244120032,3.2441200324412,3.56853203568532,9.40794809407948,4.46066504460665
"E01000935",1047,318,124,398,28,39,105,35,30.3724928366762,11.8433619866285,38.0133715377268,2.67430754536772,3.72492836676218,10.0286532951289,3.34288443170965
"E01000936",1048,248,116,488,33,38,72,53,23.6641221374046,11.0687022900763,46.5648854961832,3.14885496183206,3.62595419847328,6.87022900763359,5.05725190839695
"E01000937",814,150,86,470,36,15,35,22,18.4275184275184,10.5651105651106,57.7395577395577,4.42260442260442,1.84275184275184,4.2997542997543,2.7027027027027
"E01000938",1364,218,125,802,45,59,84,31,15.9824046920821,9.16422287390029,58.7976539589443,3.29912023460411,4.32551319648094,6.158357771261,2.27272727272727
"E01000939",921,240,56,443,35,33,59,55,26.0586319218241,6.08034744842562,48.099891422367,3.80021715526602,3.58306188925081,6.40608034744843,5.97176981541802
"E01000940",933,262,100,435,32,14,52,38,28.0814576634512,10.7181136120043,46.6237942122186,3.42979635584137,1.5005359056806,5.57341907824223,4.07288317256163
"E01000941",973,238,94,437,35,42,71,56,24.4604316546763,9.66084275436793,44.912641315519,3.59712230215827,4.31654676258993,7.29701952723535,5.75539568345324
"E01000942",1080,180,123,628,34,22,67,26,16.6666666666667,11.3888888888889,58.1481481481482,3.14814814814815,2.03703703703704,6.2037037037037,2.40740740740741
"E01000943",894,150,102,515,26,25,64,12,16.7785234899329,11.4093959731544,57.6062639821029,2.9082774049217,2.79642058165548,7.15883668903803,1.34228187919463
"E01000944",1627,262,104,1058,30,39,72,62,16.1032575291948,6.39213275968039,65.0276582667486,1.84388444990781,2.39704978488015,4.42532267977873,3.81069452980946
"E01000945",1225,252,107,686,53,32,62,33,20.5714285714286,8.73469387755102,56,4.3265306122449,2.61224489795918,5.06122448979592,2.69387755102041
"E01000946",1261,362,105,543,50,31,99,71,28.7073750991277,8.32672482157018,43.0610626486915,3.96510705789056,2.45836637589215,7.85091197462331,5.6304520222046
"E01000947",1736,278,238,1004,43,32,100,41,16.0138248847926,13.7096774193548,57.8341013824885,2.47695852534562,1.84331797235023,5.76036866359447,2.36175115207373
"E01000948",1460,406,248,535,35,46,121,69,27.8082191780822,16.986301369863,36.6438356164384,2.3972602739726,3.15068493150685,8.28767123287671,4.72602739726027
"E01000949",1267,370,126,542,23,43,88,75,29.2028413575375,9.94475138121547,42.7782162588792,1.81531176006314,3.39384372533544,6.94554064719811,5.91949486977111
"E01000950",1100,287,92,498,42,40,89,52,26.0909090909091,8.36363636363636,45.2727272727273,3.81818181818182,3.63636363636364,8.09090909090909,4.72727272727273
"E01000951",1218,332,62,586,33,46,76,83,27.2577996715928,5.09031198686371,48.111658456486,2.70935960591133,3.77668308702791,6.23973727422003,6.81444991789819
"E01000952",1402,308,158,701,42,42,88,63,21.9686162624822,11.2696148359486,50,2.99572039942939,2.99572039942939,6.27674750356633,4.49358059914408
"E01000953",1349,350,108,608,45,42,102,94,25.9451445515196,8.00593031875463,45.0704225352113,3.3358042994811,3.11341734618236,7.56115641215715,6.96812453669385
"E01000954",1194,342,107,506,30,54,88,67,28.643216080402,8.96147403685092,42.3785594639866,2.51256281407035,4.52261306532663,7.37018425460637,5.61139028475712
"E01000955",1163,332,68,519,31,37,100,76,28.5468615649183,5.8469475494411,44.6259673258813,2.66552020636285,3.18142734307825,8.59845227858985,6.53482373172829
"E01000956",1187,296,100,588,32,46,81,44,24.9368155012637,8.424599831508,49.5366470092671,2.69587194608256,3.87531592249368,6.82392586352148,3.70682392586352
"E01000957",1435,356,221,645,36,43,95,39,24.808362369338,15.4006968641115,44.9477351916376,2.50871080139373,2.99651567944251,6.62020905923345,2.71777003484321
"E01000958",1707,336,222,892,69,48,93,47,19.6836555360281,13.0052724077329,52.2554188635032,4.04217926186292,2.81195079086116,5.4481546572935,2.75336848271822
"E01000959",1376,332,70,716,36,42,92,88,24.1279069767442,5.08720930232558,52.0348837209302,2.61627906976744,3.05232558139535,6.68604651162791,6.3953488372093
"E01000960",1474,498,208,559,48,17,81,63,33.7856173677069,14.1112618724559,37.9240162822252,3.25644504748982,1.15332428765265,5.49525101763908,4.27408412483039
"E01000961",1228,426,86,481,40,41,78,76,34.6905537459283,7.00325732899023,39.1693811074919,3.25732899022801,3.33876221498371,6.35179153094463,6.18892508143322
"E01000962",1376,422,292,540,20,14,60,28,30.6686046511628,21.2209302325581,39.2441860465116,1.45348837209302,1.01744186046512,4.36046511627907,2.03488372093023
"E01000963",1567,652,108,513,76,36,71,111,41.6081684747926,6.89215060625399,32.7377153797064,4.85003190810466,2.297383535418,4.53095086151883,7.08359923420549
"E01000964",1309,426,170,500,40,35,85,53,32.5439266615737,12.987012987013,38.1970970206264,3.05576776165011,2.67379679144385,6.49350649350649,4.0488922841864
"E01000965",1315,346,252,563,33,24,70,27,26.3117870722433,19.1634980988593,42.8136882129278,2.50950570342205,1.82509505703422,5.32319391634981,2.0532319391635
"E01000966",1292,498,246,406,28,17,57,40,38.5448916408669,19.0402476780186,31.4241486068111,2.1671826625387,1.31578947368421,4.41176470588235,3.09597523219814
"E01000967",1149,496,126,318,51,17,87,54,43.1679721496954,10.9660574412533,27.6762402088773,4.43864229765013,1.47954743255004,7.57180156657963,4.69973890339426
"E01000968",1335,370,234,559,17,19,88,48,27.7153558052434,17.5280898876404,41.87265917603,1.27340823970037,1.42322097378277,6.59176029962547,3.59550561797753
"E01000969",1791,512,284,805,33,22,82,53,28.5873813512004,15.857063093244,44.9469570072585,1.84254606365159,1.22836404243439,4.5784477945282,2.95924064768286
"E01000970",1362,262,264,698,33,26,65,14,19.2364170337739,19.3832599118943,51.2481644640235,2.42290748898678,1.90895741556535,4.77239353891336,1.02790014684288
"E01000971",1237,476,190,418,36,18,57,42,38.480194017785,15.35974130962,33.7914308811641,2.91026677445432,1.45513338722716,4.60792239288601,3.39531123686338
"E01000972",1676,422,208,759,53,57,115,62,25.1789976133652,12.4105011933174,45.2863961813842,3.16229116945107,3.40095465393795,6.86157517899761,3.69928400954654
"E01000973",1652,348,260,847,27,35,103,32,21.0653753026634,15.7384987893462,51.271186440678,1.63438256658596,2.11864406779661,6.23486682808717,1.93704600484262
"E01000974",1486,284,224,731,37,46,106,58,19.1117092866756,15.0740242261104,49.1924629878869,2.48990578734859,3.09555854643338,7.13324360699865,3.90309555854643
