"GeographyCode","QS113EW0001","QS113EW0002","QS113EW0003","QS113EW0004","QS113EW0005","QS113EW0006","QS113EW0007","QS113EW0008","QS113EW0009","QS113EW0010","QS113EW0011","QS113EW0012","QS113EW0013","QS113EW0014","QS113EW0015","QS113EW0016","QS113EW0017","QS113EW0018","QS113EW0019","QS113EW0020","QS113EW0021","QS113EW0022","QS113EW0023","QS113EW0024","QS113EW0025","QS113EW0026","QS113EW0027","QS113EW0028","QS113EW0029","QS113EW0030","QS113EW0031"
"E01000917",913,458,99,359,347,10,128,27,22,67,12,3,3,0,0,0,75,55,10,9,1,131,49,39,43,108,19,16,25,2,46
"E01000918",935,482,122,360,286,16,129,50,21,40,18,8,8,0,0,0,79,70,4,5,0,54,27,12,15,167,6,15,57,2,87
"E01000919",834,434,73,361,231,15,77,33,12,17,15,9,9,0,0,0,66,60,3,2,1,64,20,11,33,169,7,37,28,0,97
"E01000920",946,409,87,322,358,21,143,58,33,39,13,16,16,0,0,0,101,78,13,5,5,77,33,14,30,179,6,17,36,2,118
"E01000921",946,381,50,331,396,16,151,49,33,54,15,6,5,0,0,1,152,122,15,13,2,71,34,19,18,169,9,7,7,2,144
"E01000922",653,266,57,209,242,15,81,27,11,35,8,3,2,0,1,0,70,54,9,7,0,73,26,23,24,145,8,11,27,1,98
"E01000923",656,266,53,213,297,12,133,44,23,46,20,1,1,0,0,0,83,59,16,8,0,68,32,17,19,93,7,9,3,1,73
"E01000924",795,307,55,252,343,11,111,50,17,27,17,6,5,1,0,0,151,120,15,14,2,64,25,11,28,145,11,15,6,8,105
"E01000925",629,246,107,139,278,9,101,21,20,44,16,6,6,0,0,0,45,26,7,11,1,117,38,45,34,105,18,28,9,0,50
"E01000926",698,204,49,155,271,7,95,32,21,32,10,1,1,0,0,0,90,65,10,13,2,78,26,30,22,223,5,7,21,1,189
"E01000927",734,205,63,142,348,13,144,58,26,40,20,7,6,0,0,1,95,64,15,14,2,89,26,18,45,181,10,7,15,5,144
"E01000928",682,234,59,175,330,15,154,45,26,57,26,4,3,0,0,1,69,43,8,14,4,88,24,32,32,118,13,12,7,5,81
"E01000929",685,245,69,176,341,10,163,30,27,78,28,0,0,0,0,0,45,27,8,7,3,123,37,44,42,99,16,12,2,3,66
"E01000930",1076,628,235,393,332,14,142,57,26,50,9,4,4,0,0,0,65,54,6,3,2,107,45,35,27,116,12,9,4,10,81
"E01000931",873,357,83,274,364,12,153,52,38,42,21,1,1,0,0,0,79,60,8,10,1,119,49,37,33,152,16,13,10,8,105
"E01000932",947,402,85,317,373,11,136,73,25,21,17,1,1,0,0,0,143,127,11,3,2,82,40,16,26,172,12,2,3,4,151
"E01000933",821,340,95,245,311,12,149,69,31,34,15,0,0,0,0,0,96,87,5,3,1,54,17,11,26,170,12,10,9,1,138
"E01000934",732,338,106,232,308,10,147,43,34,55,15,1,1,0,0,0,47,33,6,7,1,103,32,33,38,86,10,8,11,2,55
"E01000935",624,241,50,191,315,8,136,35,14,65,22,1,1,0,0,0,50,30,8,8,4,120,47,40,33,68,17,12,3,2,34
"E01000936",536,194,50,144,245,7,90,25,23,27,15,2,2,0,0,0,47,37,3,6,1,99,23,55,21,97,11,13,17,0,56
"E01000937",502,296,40,256,134,6,53,18,9,17,9,3,3,0,0,0,36,32,2,2,0,36,10,18,8,72,3,6,20,0,43
"E01000938",737,305,38,267,265,4,79,28,14,23,14,9,9,0,0,0,47,40,2,4,1,126,18,84,24,167,12,7,57,2,89
"E01000939",446,156,49,107,193,4,97,22,11,50,14,1,1,0,0,0,25,11,5,5,4,66,17,25,24,97,5,12,33,1,46
"E01000940",534,253,61,192,207,13,98,33,19,36,10,1,1,0,0,0,43,33,4,5,1,52,29,9,14,74,5,8,15,5,41
"E01000941",557,242,56,186,235,10,92,22,14,40,16,3,3,0,0,0,39,25,9,4,1,91,36,25,30,80,11,9,15,1,44
"E01000942",686,381,73,308,176,10,69,35,14,12,8,5,4,1,0,0,57,48,5,2,2,35,14,8,13,129,1,5,68,1,54
"E01000943",596,359,54,305,151,4,60,29,11,15,5,7,6,0,0,1,45,36,7,2,0,35,9,14,12,86,6,1,43,1,35
