"GeographyCode","QS116EW0001","QS116EW0002","QS116EW0003","QS116EW0004","QS116EW0005","QS116EW0006","QS116EW0007","QS116EW0008","QS116EW0009","QS116EW0010","QS116EW0011","QS116EW0012"
"E01000842",724,340,94,122,0,6,12,73,20,15,1,41
"E01000843",846,354,113,97,0,8,24,96,76,9,3,66
"E01000844",870,362,148,132,0,3,19,106,20,15,3,62
"E01000845",731,340,77,94,2,3,16,85,34,17,5,58
"E01000846",616,220,108,79,0,2,9,30,90,45,1,32
"E01000847",677,233,132,89,0,1,17,48,73,41,4,39
"E01000848",805,348,113,137,0,9,16,103,11,17,3,48
"E01000849",862,466,90,100,0,6,8,74,31,14,4,69
"E01000850",664,324,39,60,0,10,8,79,15,6,43,80
"E01000851",861,423,40,78,0,13,3,87,26,13,74,104
"E01000852",625,388,21,57,0,4,3,30,12,14,56,40
"E01000853",840,469,58,68,0,6,5,45,71,33,32,53
"E01000854",718,310,52,70,0,11,4,40,51,17,113,50
"E01000855",1111,750,23,88,0,13,5,66,18,11,40,97
"E01000856",628,205,97,68,0,4,9,63,72,43,12,55
"E01000857",686,301,101,100,0,2,17,73,23,28,1,40
"E01000858",775,287,83,91,0,1,28,56,108,41,13,67
"E01000859",807,380,109,113,0,4,21,86,20,16,0,58
"E01000860",797,515,61,82,0,3,12,60,26,12,6,20
"E01000861",729,315,48,56,0,9,12,69,62,36,41,81
"E01000862",816,293,110,159,0,3,16,118,28,17,7,65
"E01000863",667,255,50,72,0,7,10,102,32,29,23,87
"E01000864",717,265,65,82,0,3,16,87,57,31,19,92
"E01000865",451,182,55,63,0,4,12,44,14,12,12,53
"E01000866",926,364,91,100,0,3,30,86,82,55,10,105
"E01000867",675,239,63,60,0,1,9,86,68,38,28,83
"E01000868",584,219,79,62,0,1,34,29,93,30,0,37
"E01000869",967,364,81,96,0,6,32,111,67,33,42,135
"E01000870",774,316,66,85,0,1,32,90,76,38,4,66
"E01000871",632,183,134,130,0,2,15,54,36,25,2,51
"E01000872",913,382,81,103,0,2,21,110,55,28,6,125
"E01000873",710,235,98,106,1,2,14,88,52,24,2,88
