"GeographyCode","KS613EW0001","KS613EW0002","KS613EW0003","KS613EW0004","KS613EW0005","KS613EW0006","KS613EW0007","KS613EW0008","KS613EW0009","KS613EW0010","KS613EW0011","KS613EW0012","KS613EW0013","KS613EW0014","KS613EW0015","KS613EW0016","KS613EW0017","KS613EW0018","KS613EW0019","KS613EW0020","KS613EW0021","KS613EW0022","KS613EW0023","KS613EW0024","KS613EW0025","KS613EW0026","KS613EW0027","KS613EW0028","KS613EW0029","KS613EW0030","KS613EW0031"
"E01000842",616,156,26,130,221,62,51,5,25,8,23,17,6,65,65,0,25.3246753246753,4.22077922077922,21.1038961038961,35.8766233766234,10.0649350649351,8.27922077922078,0.811688311688312,4.05844155844156,1.2987012987013,3.73376623376623,2.75974025974026,0.974025974025974,10.5519480519481,10.5519480519481,0
"E01000843",698,146,17,129,230,71,51,16,34,29,64,49,15,57,57,0,20.9169054441261,2.43553008595989,18.4813753581662,32.9512893982808,10.1719197707736,7.30659025787966,2.29226361031519,4.87106017191977,4.15472779369628,9.16905444126074,7.02005730659026,2.14899713467049,8.16618911174785,8.16618911174785,0
"E01000844",710,220,28,192,232,81,55,5,34,22,23,16,7,38,38,0,30.9859154929577,3.94366197183099,27.0422535211268,32.6760563380282,11.4084507042254,7.74647887323944,0.704225352112676,4.7887323943662,3.09859154929577,3.23943661971831,2.25352112676056,0.985915492957746,5.35211267605634,5.35211267605634,0
"E01000845",621,143,32,111,229,59,45,4,29,16,35,31,4,61,61,0,23.0273752012882,5.15297906602254,17.8743961352657,36.8760064412238,9.50080515297907,7.2463768115942,0.644122383252818,4.66988727858293,2.57648953301127,5.63607085346216,4.99194847020934,0.644122383252818,9.82286634460548,9.82286634460548,0
"E01000846",543,77,14,63,116,71,28,13,54,29,96,84,12,59,59,0,14.1804788213628,2.57826887661142,11.6022099447514,21.3627992633518,13.0755064456722,5.15653775322284,2.39410681399632,9.94475138121547,5.34069981583794,17.6795580110497,15.4696132596685,2.20994475138122,10.865561694291,10.865561694291,0
"E01000847",596,81,10,71,150,66,42,12,47,25,106,94,12,67,67,0,13.5906040268456,1.67785234899329,11.9127516778523,25.1677852348993,11.0738255033557,7.04697986577181,2.01342281879195,7.88590604026846,4.19463087248322,17.7852348993289,15.7718120805369,2.01342281879195,11.241610738255,11.241610738255,0
"E01000848",648,190,33,157,230,60,64,12,32,10,21,13,8,29,29,0,29.320987654321,5.09259259259259,24.2283950617284,35.4938271604938,9.25925925925926,9.87654320987654,1.85185185185185,4.93827160493827,1.54320987654321,3.24074074074074,2.00617283950617,1.23456790123457,4.47530864197531,4.47530864197531,0
"E01000849",674,189,29,160,217,89,36,9,33,19,26,25,1,56,56,0,28.0415430267062,4.3026706231454,23.7388724035608,32.1958456973294,13.2047477744807,5.34124629080119,1.3353115727003,4.89614243323442,2.81899109792285,3.85756676557863,3.70919881305638,0.148367952522255,8.30860534124629,8.30860534124629,0
"E01000850",701,107,10,97,178,51,18,23,32,14,26,21,5,252,252,0,15.2639087018545,1.4265335235378,13.8373751783167,25.3922967189729,7.2753209700428,2.56776034236805,3.28102710413695,4.56490727532097,1.99714693295292,3.70898716119829,2.99572039942939,0.713266761768902,35.9486447931526,35.9486447931526,0
"E01000851",974,89,15,74,149,61,32,10,41,23,36,30,6,533,533,0,9.13757700205339,1.54004106776181,7.59753593429158,15.2977412731006,6.26283367556468,3.28542094455852,1.02669404517454,4.20944558521561,2.36139630390144,3.69609856262834,3.08008213552361,0.616016427104723,54.7227926078029,54.7227926078029,0
