"GeographyCode","QS416EW0001","QS416EW0002","QS416EW0003","QS416EW0004","QS416EW0005","QS416EW0006","QS416EW0007"
"E01000842",724,353,307,52,11,1,448
"E01000843",846,486,314,40,3,3,419
"E01000844",870,464,318,81,5,2,512
"E01000845",731,350,313,53,11,4,468
"E01000846",616,332,222,46,15,1,363
"E01000847",677,325,255,75,14,8,485
"E01000848",805,396,350,53,5,1,475
"E01000849",862,548,273,36,4,1,362
"E01000850",664,500,143,17,4,0,189
"E01000851",861,653,175,28,5,0,246
"E01000852",625,523,93,7,1,1,114
"E01000853",840,700,122,16,2,0,160
"E01000854",718,564,129,19,6,0,185
"E01000855",1111,903,184,18,4,2,240
"E01000856",628,420,173,32,3,0,246
"E01000857",686,314,282,73,14,3,484
"E01000858",775,513,228,31,0,3,304
"E01000859",807,356,356,81,13,1,561
"E01000860",797,520,222,48,6,1,341
"E01000861",729,532,173,23,1,0,222
"E01000862",816,359,333,93,24,7,627
"E01000863",667,486,149,28,2,2,219
"E01000864",717,425,246,38,8,0,346
"E01000865",451,252,166,27,5,1,240
"E01000866",926,576,298,48,3,1,407
"E01000867",675,489,162,20,4,0,214
"E01000868",584,372,193,15,4,0,235
"E01000869",967,599,317,44,5,2,428
"E01000870",774,457,282,31,4,0,356
"E01000871",632,232,269,94,30,7,579
"E01000872",913,594,254,62,3,0,387
"E01000873",710,318,304,80,8,0,488
"E01000874",704,323,330,48,3,0,435
"E01000875",839,557,240,33,3,6,344
"E01000876",800,519,250,29,1,1,316
"E01000877",726,354,294,67,6,5,466
"E01000878",550,188,240,92,21,9,525
"E01000879",602,276,247,63,12,4,429
"E01000880",621,221,302,78,17,3,522
"E01000881",632,336,225,57,11,3,385
"E01000882",728,331,313,69,9,6,505
"E01000883",638,392,200,36,8,2,304
"E01000884",577,151,235,149,34,8,670
"E01000885",592,117,294,132,29,20,741
"E01000886",606,256,282,62,6,0,424
"E01000887",690,385,253,44,7,1,366
"E01000888",697,373,264,51,9,0,393
"E01000889",657,424,190,36,7,0,283
"E01000890",767,545,191,30,0,1,255
"E01000891",672,508,148,13,1,2,185
"E01000892",823,426,340,49,7,1,464
"E01000893",715,313,302,83,11,6,537
"E01000894",619,239,279,73,22,6,522
"E01000895",841,465,315,46,12,3,458
"E01000896",756,300,340,94,13,9,625
"E01000897",721,268,340,94,12,7,596
"E01000898",850,561,234,48,7,0,351
"E01000899",698,181,316,164,30,7,767
"E01000900",757,494,221,38,3,1,315
"E01000901",703,483,202,17,1,0,239
"E01000902",590,398,164,26,2,0,222
"E01000903",686,357,292,31,6,0,372
"E01000904",918,600,282,34,2,0,356
"E01000905",812,581,200,28,2,1,266
"E01000906",788,418,301,52,13,4,462
"E01000907",627,384,207,29,7,0,286
"E01000908",827,492,285,44,4,2,408
"E01000909",661,243,294,100,18,6,587
"E01000910",588,224,281,72,9,2,461
"E01000911",663,334,283,43,2,1,380
"E01000912",700,424,253,21,2,0,301
"E01000913",722,161,309,193,43,16,893
"E01000914",970,713,204,43,4,6,328
"E01000915",635,446,167,18,4,0,215
"E01000916",881,672,187,17,5,0,236
"E01000917",913,713,180,18,1,1,224
"E01000918",935,726,175,24,9,1,254
"E01000919",834,639,165,24,4,2,236
"E01000920",946,654,247,40,4,1,343
"E01000921",946,669,243,26,7,1,332
"E01000922",653,428,202,20,0,3,271
"E01000923",656,353,264,38,1,0,343
"E01000924",795,477,281,32,2,3,363
"E01000925",629,443,166,17,3,0,209
"E01000926",698,446,226,22,2,2,290
"E01000927",734,401,293,38,2,0,375
"E01000928",682,381,257,40,2,2,352
"E01000929",685,437,213,30,5,0,288
"E01000930",1076,837,217,20,1,1,264
"E01000931",873,612,229,31,1,0,294
"E01000932",947,618,289,36,1,3,378
"E01000933",821,479,284,49,8,1,410
"E01000934",732,515,196,18,1,2,244
"E01000935",624,432,169,21,0,2,227
"E01000936",536,357,163,13,2,1,199
"E01000937",502,433,60,8,1,0,79
"E01000938",737,597,117,23,0,0,163
"E01000939",446,331,105,10,0,0,125
"E01000940",534,421,103,6,4,0,127
"E01000941",557,418,127,10,1,1,154
"E01000942",686,568,110,8,0,0,126
"E01000943",596,505,83,8,0,0,99
"E01000944",667,466,167,25,8,1,246
"E01000945",611,471,120,15,3,2,168
"E01000946",715,429,206,66,11,3,383
"E01000947",871,648,183,36,2,2,269
"E01000948",846,530,241,58,10,7,417
"E01000949",739,546,172,18,3,0,217
"E01000950",550,404,133,12,0,1,161
"E01000951",603,435,152,15,1,0,185
"E01000952",675,472,173,28,2,0,235
"E01000953",708,518,161,25,1,3,226
"E01000954",642,452,175,13,2,0,207
"E01000955",657,514,123,17,3,0,166
"E01000956",608,458,134,15,0,1,172
"E01000957",765,488,253,20,4,0,305
"E01000958",835,607,203,22,1,2,260
"E01000959",698,519,164,12,3,0,197
"E01000960",841,511,282,40,7,1,388
"E01000961",652,361,235,49,7,0,354
"E01000962",745,390,303,47,5,0,412
"E01000963",851,394,363,78,11,5,572
"E01000964",713,374,284,50,4,1,401
"E01000965",764,419,290,42,12,1,415
"E01000966",675,272,316,68,15,4,514
"E01000967",619,212,268,93,35,11,606
"E01000968",760,424,295,37,3,1,382
"E01000969",954,508,362,71,12,1,545
"E01000970",831,511,276,42,2,0,366
"E01000971",649,299,287,44,15,4,437
"E01000972",949,634,274,37,4,0,360
"E01000973",894,562,283,45,4,0,385
"E01000974",821,533,248,32,8,0,336
