"GeographyCode","QS117EW0001","QS117EW0002","QS117EW0003"
"E01000842",966,250,716
"E01000843",1172,330,842
"E01000844",1301,297,1004
"E01000845",1070,290,780
"E01000846",879,207,672
"E01000847",1036,219,817
"E01000848",1157,266,891
"E01000849",1152,375,777
"E01000850",1054,261,793
"E01000851",1394,389,1005
"E01000852",772,317,455
"E01000853",1013,332,681
"E01000854",1266,289,977
"E01000855",1436,619,817
"E01000856",1152,204,948
"E01000857",967,218,749
"E01000858",1298,308,990
"E01000859",1137,315,822
"E01000860",827,341,486
"E01000861",1239,319,920
"E01000862",1204,235,969
"E01000863",1128,249,879
"E01000864",1177,266,911
"E01000865",710,165,545
"E01000866",1439,327,1112
"E01000867",1125,217,908
"E01000868",938,251,687
"E01000869",1576,313,1263
"E01000870",1208,274,934
"E01000871",1129,152,977
"E01000872",1525,373,1152
"E01000873",1192,225,967
"E01000874",1098,188,910
"E01000875",1271,353,918
"E01000876",1233,318,915
"E01000877",1169,261,908
"E01000878",803,127,676
"E01000879",846,189,657
"E01000880",993,158,835
"E01000881",1010,205,805
"E01000882",1074,230,844
"E01000883",963,206,757
"E01000884",909,142,767
"E01000885",798,110,688
"E01000886",968,190,778
"E01000887",1078,233,845
"E01000888",1088,231,857
"E01000889",1078,234,844
"E01000890",993,319,674
"E01000891",998,293,705
"E01000892",1200,259,941
"E01000893",1031,219,812
"E01000894",882,148,734
"E01000895",1072,256,816
"E01000896",1070,176,894
"E01000897",1018,167,851
"E01000898",1224,358,866
"E01000899",982,179,803
"E01000900",1238,238,1000
"E01000901",1143,282,861
"E01000902",914,201,713
"E01000903",994,208,786
"E01000904",1482,303,1179
"E01000905",1184,288,896
"E01000906",1146,244,902
"E01000907",942,236,706
"E01000908",1057,383,674
"E01000909",1036,133,903
"E01000910",952,129,823
"E01000911",991,196,795
"E01000912",1066,211,855
"E01000913",1041,139,902
"E01000914",1412,391,1021
"E01000915",1035,224,811
"E01000916",1308,376,932
"E01000917",1262,442,820
"E01000918",1430,393,1037
"E01000919",1327,389,938
"E01000920",1477,369,1108
"E01000921",1532,376,1156
"E01000922",1150,250,900
"E01000923",1064,250,814
"E01000924",1247,282,965
"E01000925",938,219,719
"E01000926",1403,204,1199
"E01000927",1289,168,1121
"E01000928",1099,233,866
"E01000929",1040,253,787
"E01000930",1247,467,780
"E01000931",1352,356,996
"E01000932",1491,374,1117
"E01000933",1302,273,1029
"E01000934",1034,290,744
"E01000935",916,270,646
"E01000936",885,201,684
"E01000937",726,280,446
"E01000938",1264,365,899
"E01000939",782,146,636
"E01000940",782,226,556
"E01000941",816,242,574
"E01000942",960,326,634
"E01000943",808,326,482
"E01000944",1462,182,1280
"E01000945",1106,233,873
"E01000946",1035,268,767
"E01000947",1593,323,1270
"E01000948",1199,301,898
"E01000949",1030,295,735
"E01000950",960,192,768
"E01000951",998,180,818
"E01000952",1175,214,961
"E01000953",1078,213,865
"E01000954",988,241,747
"E01000955",955,274,681
"E01000956",1072,246,826
"E01000957",1286,264,1022
"E01000958",1562,295,1267
"E01000959",1132,239,893
"E01000960",1261,283,978
"E01000961",999,204,795
"E01000962",1279,219,1060
"E01000963",1268,223,1045
"E01000964",1116,238,878
"E01000965",1150,280,870
"E01000966",1136,175,961
"E01000967",888,158,730
"E01000968",1185,247,938
"E01000969",1606,290,1316
"E01000970",1255,381,874
"E01000971",1074,185,889
"E01000972",1446,403,1043
"E01000973",1498,339,1159
"E01000974",1287,368,919
