"GeographyCode","CT00100001","CT00100002","CT00100003","CT00100004","CT00100005","CT00100006","CT00100007","CT00100008","CT00100009","CT00100010","CT00100011","CT00100012","CT00100013","CT00100014","CT00100015","CT00100016","CT00100017","CT00100018","CT00100019","CT00100020","CT00100021","CT00100022","CT00100023","CT00100024","CT00100025","CT00100026","CT00100027","CT00100028","CT00100029","CT00100030","CT00100031","CT00100032","CT00100033","CT00100034","CT00100035","CT00100036","CT00100037","CT00100038","CT00100039","CT00100040","CT00100041","CT00100042","CT00100043","CT00100044","CT00100045","CT00100046","CT00100047","CT00100048","CT00100049","CT00100050","CT00100051","CT00100052","CT00100053","CT00100054","CT00100055","CT00100056","CT00100057","CT00100058","CT00100059","CT00100060","CT00100061","CT00100062","CT00100063","CT00100064","CT00100065","CT00100066","CT00100067","CT00100068","CT00100069","CT00100070","CT00100071","CT00100072","CT00100073","CT00100074","CT00100075","CT00100076","CT00100077","CT00100078","CT00100079","CT00100080","CT00100081","CT00100082","CT00100083","CT00100084","CT00100085","CT00100086","CT00100087","CT00100088","CT00100089","CT00100090","CT00100091","CT00100092","CT00100093","CT00100094","CT00100095"
"E02000183",7913,4241,290,1,198,63,58,152,38,146,17,247,120,10,308,100,17,59,26,8,0,10,4,5,137,4,1,0,10,24,0,0,3,23,2,0,0,3,0,7,5,29,5,0,12,1,0,189,51,52,17,0,43,7,113,25,1,13,26,26,87,13,9,7,5,2,0,15,245,40,16,356,4,35,0,1,6,0,40,0,2,17,1,4,6,35,7,0,5,1,3,1,0,0,3
"E02000184",8882,3569,317,13,133,142,81,149,34,189,36,909,247,16,699,158,34,184,2,62,4,15,3,1,76,10,3,0,0,53,0,3,1,47,3,2,0,4,0,6,9,32,5,1,16,1,0,164,73,75,27,4,56,5,97,26,0,35,88,28,77,6,2,10,18,16,0,51,77,32,2,338,0,70,1,1,7,0,132,6,0,11,3,1,27,31,2,0,4,2,5,1,2,0,0
"E02000185",8290,2804,434,13,180,96,75,112,29,203,64,386,135,26,790,221,12,396,21,75,7,44,0,0,93,24,4,0,3,53,0,1,8,26,19,0,0,0,0,2,8,58,4,0,14,2,2,248,115,30,7,1,105,7,92,38,2,23,148,19,65,4,3,22,5,7,1,50,66,71,56,266,0,125,8,0,14,2,145,1,0,35,1,1,32,15,1,0,11,0,1,1,1,1,0
"E02000186",6687,2966,252,3,181,63,48,78,27,204,29,255,142,23,387,72,18,108,8,6,1,19,1,5,81,0,4,0,3,76,0,8,4,17,6,3,0,0,1,5,2,57,3,3,29,2,0,139,51,46,20,6,62,0,98,49,0,52,32,22,52,2,6,2,6,12,0,20,109,49,21,454,1,48,0,0,5,0,40,0,0,22,2,3,24,15,1,0,7,1,4,1,2,1,0
"E02000187",8155,2631,243,5,91,74,126,80,52,145,51,1511,268,13,827,169,26,143,14,36,7,14,0,1,28,17,5,0,4,76,0,3,6,12,18,1,0,0,2,1,12,18,4,0,36,0,1,98,121,50,31,5,18,4,86,29,5,33,57,64,87,11,2,31,6,8,3,23,43,32,16,225,1,68,1,0,1,0,124,7,0,20,2,3,14,30,5,0,12,4,2,1,1,0,0
"E02000188",8322,2732,177,5,73,66,84,120,25,273,73,1394,459,18,575,178,18,259,16,48,0,31,2,0,34,40,1,0,5,73,0,5,4,10,5,0,0,2,3,6,15,46,1,0,35,2,0,121,131,36,18,5,40,0,81,23,0,23,127,18,102,16,3,17,4,31,0,20,26,36,12,259,0,76,1,0,9,0,60,3,2,33,2,1,17,31,2,2,16,1,3,0,1,0,0
"E02000189",5944,1703,115,1,117,48,60,61,62,203,63,944,283,17,469,202,55,84,4,23,2,12,1,1,51,4,4,0,2,98,0,10,6,4,10,1,0,1,3,4,4,23,0,4,19,1,2,102,72,32,14,0,14,5,70,42,0,26,24,11,92,20,1,7,3,9,1,39,77,22,9,248,0,42,5,0,5,1,50,0,0,49,4,1,25,12,8,0,6,4,7,1,1,1,1
"E02000190",7530,2774,179,0,169,82,71,114,22,259,85,634,667,17,369,119,16,137,8,9,0,7,2,0,45,14,3,0,5,66,0,5,5,12,1,0,0,4,4,7,7,65,2,0,22,0,0,155,79,84,17,3,53,4,111,69,0,68,15,5,65,21,5,8,5,4,3,9,72,57,9,393,5,57,2,0,9,0,23,0,3,30,6,1,27,27,1,1,6,4,1,3,2,1,0
"E02000191",7497,2661,170,3,160,31,45,128,38,422,81,321,768,25,304,76,32,139,18,12,6,0,2,1,135,20,2,0,0,52,0,2,0,20,0,5,1,7,4,3,6,76,3,1,26,1,0,153,77,70,25,7,40,7,118,63,0,62,11,4,64,18,4,5,10,11,1,84,78,44,18,409,0,56,0,0,14,1,20,0,1,106,11,3,48,18,1,0,17,1,6,2,1,1,0
"E02000192",7157,2766,199,10,130,90,66,114,43,169,57,1019,224,13,445,94,31,98,11,6,0,6,3,1,69,10,7,1,4,56,2,12,2,9,3,0,0,1,0,6,3,67,7,1,8,0,0,153,91,47,7,0,24,3,126,33,0,18,49,12,70,6,3,5,4,3,2,10,89,29,14,305,0,42,3,0,9,0,22,6,1,21,5,0,12,39,3,3,6,2,6,2,6,3,0
"E02000193",7630,3238,194,5,143,48,36,215,33,275,47,344,579,16,288,76,13,138,4,5,0,7,4,0,77,14,1,0,1,70,1,20,4,12,0,2,1,2,1,3,2,85,9,0,15,0,0,212,33,67,6,1,18,6,149,56,0,78,5,5,101,5,6,7,4,7,0,30,112,40,16,402,0,61,2,2,2,2,7,0,0,47,8,1,21,41,0,1,28,1,8,2,0,2,0
