"GeographyCode","QS411EW0001","QS411EW0002","QS411EW0003","QS411EW0004","QS411EW0005","QS411EW0006","QS411EW0007"
"E01000842",724,7,260,274,129,28,26
"E01000843",846,25,388,259,122,26,26
"E01000844",870,10,282,321,172,59,26
"E01000845",731,6,236,277,152,31,29
"E01000846",616,8,140,225,193,38,12
"E01000847",677,7,146,231,215,55,23
"E01000848",805,7,280,296,139,45,38
"E01000849",862,12,378,317,84,21,50
"E01000850",664,7,285,244,85,25,18
"E01000851",861,7,436,258,108,29,23
"E01000852",625,18,347,206,42,7,5
"E01000853",840,13,417,331,63,12,4
"E01000854",718,9,285,236,123,39,26
"E01000855",1111,49,704,205,105,17,31
"E01000856",628,2,174,217,159,60,16
"E01000857",686,2,224,210,120,85,45
"E01000858",775,2,262,224,210,67,10
"E01000859",807,5,303,233,152,69,45
"E01000860",797,26,458,171,84,29,29
"E01000861",729,7,308,243,100,47,24
"E01000862",816,9,251,295,121,95,45
"E01000863",667,8,267,218,96,53,25
"E01000864",717,6,285,214,138,54,20
"E01000865",451,0,138,131,92,62,28
"E01000866",926,11,370,277,166,75,27
"E01000867",675,3,252,219,134,59,8
"E01000868",584,13,285,148,111,21,6
"E01000869",967,9,329,370,149,73,37
"E01000870",774,19,301,227,133,63,31
"E01000871",632,1,132,146,119,116,118
"E01000872",913,15,414,254,133,41,56
"E01000873",710,1,186,195,174,93,61
"E01000874",704,2,159,205,154,159,25
"E01000875",839,12,354,280,138,27,28
"E01000876",800,10,319,221,173,70,7
"E01000877",726,21,243,195,143,92,32
"E01000878",550,0,73,211,179,51,36
"E01000879",602,3,162,191,154,50,42
"E01000880",621,4,123,187,190,51,66
"E01000881",632,5,219,194,113,68,33
"E01000882",728,3,209,269,165,52,30
"E01000883",638,5,219,222,138,37,17
"E01000884",577,2,88,140,127,69,151
"E01000885",592,0,43,171,210,82,86
"E01000886",606,0,141,217,143,56,49
"E01000887",690,5,230,232,107,69,47
"E01000888",697,4,216,228,106,76,67
"E01000889",657,6,182,204,207,43,15
"E01000890",767,6,386,119,214,42,0
"E01000891",672,25,298,190,94,45,20
"E01000892",823,18,222,300,177,52,54
"E01000893",715,7,206,252,109,66,75
"E01000894",619,2,147,176,119,108,67
"E01000895",841,7,335,282,150,56,11
"E01000896",756,0,191,224,153,97,91
"E01000897",721,5,140,296,161,70,49
"E01000898",850,13,440,184,128,52,33
"E01000899",698,3,109,205,209,95,77
"E01000900",757,0,232,236,172,97,20
"E01000901",703,7,182,336,147,25,6
"E01000902",590,7,185,196,162,29,11
"E01000903",686,3,226,268,111,64,14
"E01000904",918,6,295,314,241,46,16
"E01000905",812,2,308,265,197,33,7
"E01000906",788,4,293,336,90,38,27
"E01000907",627,3,206,215,127,52,24
"E01000908",827,5,416,180,137,70,19
"E01000909",661,2,126,133,145,153,102
"E01000910",588,5,151,126,128,95,83
"E01000911",663,5,186,189,189,72,22
"E01000912",700,6,207,138,248,88,13
"E01000913",722,8,103,199,138,141,133
"E01000914",970,8,406,378,126,43,9
"E01000915",635,9,195,251,153,20,7
"E01000916",881,10,385,337,126,17,6
"E01000917",913,10,495,277,110,20,1
"E01000918",935,13,485,264,120,33,20
"E01000919",834,4,388,260,146,31,5
"E01000920",946,5,408,325,149,37,22
"E01000921",946,21,439,260,139,58,29
"E01000922",653,1,219,212,129,48,44
"E01000923",656,9,204,212,116,79,36
"E01000924",795,5,340,249,116,57,28
"E01000925",629,12,165,204,208,26,14
"E01000926",698,17,185,205,155,127,9
"E01000927",734,3,167,299,176,74,15
"E01000928",682,2,204,253,114,68,41
"E01000929",685,3,219,206,211,37,9
"E01000930",1076,25,604,301,111,28,7
"E01000931",873,7,423,248,149,33,13
"E01000932",947,9,413,314,140,47,24
"E01000933",821,11,278,301,165,47,19
"E01000934",732,13,359,214,89,50,7
"E01000935",624,8,240,275,87,10,4
"E01000936",536,4,214,154,104,46,14
"E01000937",502,6,310,118,49,12,7
"E01000938",737,3,350,203,120,41,20
"E01000939",446,6,137,147,118,33,5
"E01000940",534,6,265,154,87,15,7
"E01000941",557,3,287,174,77,12,4
"E01000942",686,7,404,208,55,7,5
"E01000943",596,12,362,159,48,9,6
"E01000944",667,9,174,148,197,103,36
"E01000945",611,3,228,185,124,50,21
"E01000946",715,10,241,247,118,59,40
"E01000947",871,9,384,233,162,63,20
"E01000948",846,8,343,288,118,59,30
"E01000949",739,4,343,239,122,27,4
"E01000950",550,8,189,207,105,35,6
"E01000951",603,4,169,255,124,46,5
"E01000952",675,7,196,225,180,59,8
"E01000953",708,4,303,203,127,62,9
"E01000954",642,3,172,344,108,12,3
"E01000955",657,7,272,194,137,32,15
"E01000956",608,4,222,226,105,31,20
"E01000957",765,5,229,358,122,37,14
"E01000958",835,5,233,305,216,42,34
"E01000959",698,12,189,255,187,47,8
"E01000960",841,10,305,316,125,63,22
"E01000961",652,5,142,275,148,63,19
"E01000962",745,7,191,354,153,27,13
"E01000963",851,2,139,361,234,69,46
"E01000964",713,9,162,279,193,41,29
"E01000965",764,7,264,320,118,30,25
"E01000966",675,3,134,300,159,35,44
"E01000967",619,4,122,214,132,67,80
"E01000968",760,8,286,291,124,36,15
"E01000969",954,12,241,383,194,53,71
"E01000970",831,13,385,295,107,25,6
"E01000971",649,1,216,126,116,130,60
"E01000972",949,8,459,235,171,63,13
"E01000973",894,15,356,289,156,56,22
"E01000974",821,5,375,239,130,41,31
