"GeographyCode","QS115EW0001","QS115EW0002","QS115EW0003","QS115EW0004","QS115EW0005","QS115EW0006","QS115EW0007","QS115EW0008","QS115EW0009","QS115EW0010","QS115EW0011","QS115EW0012"
"E02000166",3537,1306,438,868,2231,190,337,385,602,70,155,492
"E02000167",3629,1380,482,898,2249,68,390,515,695,96,136,349
"E02000168",3535,1274,290,984,2261,162,225,390,735,68,180,501
"E02000169",2942,969,332,637,1973,63,338,461,521,123,132,335
"E02000170",3685,1301,269,1032,2384,99,223,427,842,58,158,577
"E02000171",3502,1310,369,941,2192,146,227,422,743,78,141,435
"E02000172",4186,1559,435,1124,2627,346,248,379,648,123,264,619
"E02000173",3569,1447,363,1084,2122,63,273,433,830,105,99,319
"E02000174",3822,1437,394,1043,2385,202,201,328,790,78,177,609
"E02000175",4277,1724,309,1415,2553,146,173,383,1106,56,108,581
"E02000176",3261,1516,395,1121,1745,52,184,364,775,45,94,231
"E02000177",3865,1400,455,945,2465,274,257,338,788,106,185,517
"E02000178",4280,1828,393,1435,2452,225,173,295,1002,62,147,548
"E02000179",2870,1147,323,824,1723,191,203,345,513,78,130,263
"E02000180",3394,1269,290,979,2125,186,154,294,795,76,156,464
"E02000181",3657,1345,319,1026,2312,100,183,446,1026,32,90,435
"E02000182",2963,1054,332,722,1909,114,260,368,610,87,131,339
"E02000183",3881,1776,507,1269,2105,107,259,369,751,83,150,386
"E02000184",3655,1284,254,1030,2371,236,162,264,728,106,243,632
"E02000185",3938,1792,555,1237,2146,246,171,368,716,106,146,393
"E02000186",3099,1273,261,1012,1826,120,169,210,715,37,107,468
"E02000187",3290,1221,360,861,2069,268,179,297,468,117,232,508
"E02000188",3170,1164,338,826,2006,202,171,265,441,113,191,623
"E02000189",2253,908,198,710,1345,199,97,146,359,58,138,348
"E02000190",3181,1747,420,1327,1434,168,136,149,530,39,80,332
"E02000191",2868,1445,275,1170,1423,74,126,96,604,24,56,443
"E02000192",3375,1506,319,1187,1869,179,153,254,714,74,125,370
"E02000193",3850,2149,438,1711,1701,60,167,124,755,24,116,455
