"GeographyCode","QS407EW0001","QS407EW0002","QS407EW0003","QS407EW0004","QS407EW0005","QS407EW0006","QS407EW0007","QS407EW0008","QS407EW0009","QS407EW0010"
"E02000166",3537,66,272,829,697,613,391,222,194,253
"E02000167",3629,89,293,708,795,538,363,224,235,384
"E02000168",3535,111,464,766,847,543,291,191,156,166
"E02000169",2942,64,176,334,625,706,317,163,168,389
"E02000170",3685,363,382,584,724,595,352,272,196,217
"E02000171",3502,105,329,881,923,512,283,163,141,165
"E02000172",4186,202,555,1040,1048,835,298,116,59,33
"E02000173",3569,327,426,691,854,611,292,121,86,161
"E02000174",3822,157,579,916,911,658,293,130,83,95
"E02000175",4277,403,463,1106,1011,643,324,138,80,109
"E02000176",3261,264,400,699,926,472,197,106,65,132
"E02000177",3865,138,451,983,1060,808,226,81,54,64
"E02000178",4280,353,562,1262,1057,586,264,82,58,56
"E02000179",2870,273,313,509,752,500,271,115,59,78
"E02000180",3394,166,430,905,859,529,240,115,72,78
"E02000181",3657,190,286,841,1197,658,208,97,57,123
"E02000182",2963,103,291,563,845,554,217,143,85,162
"E02000183",3881,224,622,931,803,542,244,164,129,222
"E02000184",3655,135,484,833,1160,673,235,69,32,34
"E02000185",3938,402,516,1084,1018,564,204,57,43,50
"E02000186",3099,241,500,778,724,337,168,97,95,159
"E02000187",3290,110,315,946,1075,593,171,36,17,27
"E02000188",3170,140,372,807,965,594,203,53,9,27
"E02000189",2253,196,390,551,533,351,141,32,23,36
"E02000190",3181,370,493,1144,825,241,43,33,11,21
"E02000191",2868,296,562,820,703,241,119,55,35,37
"E02000192",3375,146,565,1068,943,445,99,29,23,57
"E02000193",3850,482,750,1072,816,420,182,47,34,47
