"GeographyCode","QS102EW0001","QS102EW0002","QS102EW0003"
"E01000842",1444,10.52,137.262357414449
"E01000843",1678,8.33,201.440576230492
"E01000844",1772,11.39,155.575065847234
"E01000845",1464,11.8,124.067796610169
"E01000846",1501,8.27,181.499395405079
"E01000847",1686,9.85,171.167512690355
"E01000848",1588,10.1,157.227722772277
"E01000849",1569,7.77,201.930501930502
"E01000850",1694,19.53,86.7383512544803
"E01000851",2383,13.35,178.501872659176
"E01000852",1587,12.46,127.367576243981
"E01000853",1631,5.86,278.327645051195
"E01000854",1833,18.87,97.1383147853736
"E01000855",1764,32.05,55.0390015600624
"E01000856",1645,11.87,138.584667228307
"E01000857",1447,8.12,178.20197044335
"E01000858",1861,21.79,85.4061496099128
"E01000859",1586,9.67,164.012409513961
"E01000860",1307,20.59,63.4774162214667
"E01000861",1574,11.4,138.070175438596
"E01000862",1712,17,100.705882352941
"E01000863",1481,16.14,91.7596034696406
"E01000864",1537,9.76,157.479508196721
"E01000865",1505,10.87,138.454461821527
"E01000866",2030,14.55,139.518900343643
"E01000867",1608,8.09,198.76390605686
"E01000868",1442,8.37,172.281959378734
"E01000869",2110,11.45,184.279475982533
"E01000870",1693,12.67,133.6227308603
"E01000871",1664,30.63,54.3258243552073
"E01000872",1902,14.69,129.475833900613
"E01000873",1639,12.2,134.344262295082
"E01000874",1559,8.56,182.126168224299
"E01000875",1654,11.7,141.367521367521
"E01000876",1748,11.68,149.657534246575
"E01000877",1574,11.05,142.443438914027
"E01000878",1624,19.21,84.5393024466424
"E01000879",1458,17.73,82.2335025380711
"E01000880",1602,20.37,78.6450662739322
"E01000881",1510,14.78,102.165087956698
"E01000882",1513,12.19,124.118129614438
"E01000883",1326,14.05,94.3772241992882
"E01000884",1469,24.52,59.910277324633
"E01000885",1484,30.43,48.767663489977
"E01000886",1445,10.31,140.15518913676
"E01000887",1486,9.99,148.748748748749
"E01000888",1605,9.42,170.382165605096
"E01000889",1670,11.73,142.369991474851
"E01000890",1640,7.63,214.941022280472
"E01000891",1575,7.76,202.963917525773
"E01000892",1843,12.23,150.695012264922
"E01000893",1566,52.78,29.6703296703297
"E01000894",1389,22.17,62.6522327469553
"E01000895",1630,9.81,166.156982670744
"E01000896",1692,15.11,111.978821972204
"E01000897",1597,19.8,80.6565656565656
"E01000898",1729,17.05,101.407624633431
"E01000899",1667,108.26,15.3981156475152
"E01000900",1801,9.94,181.187122736419
"E01000901",1977,10.6,186.509433962264
"E01000902",1451,8.41,172.532699167658
"E01000903",1439,10.19,141.216879293425
"E01000904",2120,11.65,181.974248927039
"E01000905",2044,8.6,237.674418604651
"E01000906",1532,13.76,111.337209302326
"E01000907",1430,10.72,133.39552238806
"E01000908",1581,17.5,90.3428571428571
"E01000909",1614,22.86,70.6036745406824
"E01000910",1472,13.02,113.056835637481
"E01000911",1559,8.81,176.958002270148
"E01000912",1589,89.61,17.7323959379534
"E01000913",1710,161.7,10.5751391465677
"E01000914",1762,44.77,39.3567120839848
"E01000915",1527,7.41,206.072874493927
"E01000916",1796,14.73,121.928038017651
"E01000917",1888,7.56,249.73544973545
"E01000918",2090,16.82,124.256837098692
"E01000919",2014,15.28,131.806282722513
"E01000920",1946,13.54,143.722304283604
"E01000921",1966,12.44,158.038585209003
"E01000922",1547,19.11,80.9523809523809
"E01000923",1494,8.54,174.941451990632
"E01000924",1637,9.83,166.531027466938
"E01000925",1563,8.28,188.768115942029
"E01000926",1791,9.24,193.831168831169
"E01000927",1738,10.06,172.763419483101
"E01000928",1681,25.25,66.5742574257426
"E01000929",1675,9.78,171.267893660532
"E01000930",1910,11.62,164.371772805508
"E01000931",1910,14.71,129.843643779742
"E01000932",1838,6.61,278.063540090772
"E01000933",1671,10.9,153.302752293578
"E01000934",1619,8.71,185.878300803674
"E01000935",1415,6.21,227.858293075684
"E01000936",1839,8.88,207.094594594595
"E01000937",1504,12.55,119.840637450199
"E01000938",1752,8.16,214.705882352941
"E01000939",1223,7.86,155.59796437659
"E01000940",1130,4.87,232.032854209446
"E01000941",1230,4.34,283.410138248848
"E01000942",2111,7.3,289.178082191781
"E01000943",1054,7,150.571428571429
"E01000944",1899,5.84,325.171232876712
"E01000945",1821,27.12,67.146017699115
"E01000946",1516,48.93,30.9830369916207
"E01000947",1954,15.6,125.25641025641
"E01000948",1736,19.66,88.3011190233978
"E01000949",1633,6.22,262.540192926045
"E01000950",1431,6.79,210.751104565538
"E01000951",1538,4.82,319.087136929461
"E01000952",1729,8.7,198.735632183908
"E01000953",1643,60.32,27.2380636604775
"E01000954",1656,5.55,298.378378378378
"E01000955",1595,6.39,249.608763693271
"E01000956",1532,15.88,96.4735516372796
"E01000957",1729,11.67,148.157669237361
"E01000958",2264,24.22,93.476465730801
"E01000959",1670,7.32,228.142076502732
"E01000960",1774,11.36,156.161971830986
"E01000961",1591,11.94,133.249581239531
"E01000962",1592,9.53,167.051416579224
"E01000963",1923,19.27,99.7924234561495
"E01000964",1577,12.62,124.960380348653
"E01000965",1522,10.75,141.581395348837
"E01000966",1512,13.04,115.950920245399
"E01000967",1409,37.21,37.8661650094061
"E01000968",1505,8.15,184.662576687117
"E01000969",2032,16.68,121.822541966427
"E01000970",1444,6.9,209.275362318841
"E01000971",1478,8.03,184.059775840598
"E01000972",2009,14,143.5
"E01000973",1885,23.55,80.0424628450106
"E01000974",1707,11.48,148.693379790941
