"GeographyCode","KS106EW0001","KS106EW0002","KS106EW0003","KS106EW0004","KS106EW0005","KS106EW0006","KS106EW0007","KS106EW0008","KS106EW0009","KS106EW0010","KS106EW0011","KS106EW0012","KS106EW0013"
"E02000166",3537,177,895,900,366,165,792,5.00424088210348,25.3039298840826,25.4452926208651,10.3477523324852,4.66497031382528,22.3918575063613
"E02000167",3629,56,771,880,416,79,551,1.54312482777625,21.2455221824194,24.2491044364839,11.4632130063378,2.17690823918435,15.1832460732984
"E02000168",3535,143,679,870,397,145,622,4.04526166902405,19.2079207920792,24.6110325318246,11.2305516265912,4.1018387553041,17.5954738330976
"E02000169",2942,65,602,851,423,61,397,2.2093813732155,20.462270564242,28.9259007477906,14.3779741672332,2.07341944255608,13.494221617947
"E02000170",3685,92,673,829,428,93,512,2.4966078697422,18.2632293080054,22.4966078697422,11.6146540027137,2.52374491180461,13.8941655359566
"E02000171",3502,136,742,874,410,152,647,3.88349514563107,21.1878926327813,24.9571673329526,11.7075956596231,4.34037692747002,18.4751570531125
"E02000172",4186,395,1183,1200,529,305,1014,9.43621595795509,28.2608695652174,28.6669851887243,12.6373626373626,7.28619206880076,24.223602484472
"E02000173",3569,63,692,745,393,90,503,1.76520033622864,19.389184645559,20.8741944522275,11.011487811712,2.52171476604091,14.0935836368731
"E02000174",3822,213,894,881,392,203,771,5.57299843014129,23.3908948194662,23.0507587650445,10.2564102564103,5.31135531135531,20.1726844583987
"E02000175",4277,150,797,764,389,128,610,3.50713116670563,18.6345569324293,17.862988075754,9.09516015898994,2.99275192892214,14.2623334112696
"E02000176",3261,33,685,590,372,36,430,1.01195952161914,21.0058264336093,18.0926096289482,11.4075436982521,1.10395584176633,13.1861392210978
"E02000177",3865,312,1012,994,446,238,842,8.07244501940492,26.1836998706339,25.7179818887452,11.5394566623545,6.15782664941785,21.7852522639069
"E02000178",4280,239,1034,823,398,188,860,5.58411214953271,24.1588785046729,19.2289719626168,9.29906542056075,4.39252336448598,20.0934579439252
"E02000179",2870,190,654,788,424,114,429,6.62020905923345,22.787456445993,27.4564459930314,14.7735191637631,3.97212543554007,14.9477351916376
"E02000180",3394,153,781,757,392,133,650,4.50795521508544,23.0111962286388,22.3040659988215,11.549793753683,3.91868002357101,19.1514437242192
"E02000181",3657,105,616,705,416,91,486,2.87120590648072,16.8444079846869,19.2780968006563,11.375444353295,2.48837845228329,13.2895816242822
"E02000182",2963,141,731,756,376,123,505,4.75869051636854,24.6709416132298,25.5146810664867,12.6898413769828,4.15119811002362,17.0435369557881
"E02000183",3881,132,915,779,323,134,707,3.40118526153053,23.5763978356094,20.0721463540325,8.32259726874517,3.45271837155372,18.2169543931976
"E02000184",3655,254,897,912,417,229,719,6.94938440492476,24.5417236662107,24.9521203830369,11.4090287277702,6.26538987688098,19.671682626539
"E02000185",3938,287,1158,935,438,219,891,7.28796343321483,29.4057897409853,23.7430167597765,11.1223971559167,5.56119857795836,22.6256983240223
"E02000186",3099,108,742,515,227,92,542,3.48499515972895,23.9432074862859,16.6182639561149,7.32494353017102,2.96869958050984,17.4895127460471
"E02000187",3290,315,1046,985,457,208,825,9.57446808510638,31.7933130699088,29.9392097264438,13.8905775075988,6.32218844984803,25.0759878419453
"E02000188",3170,215,990,846,389,190,696,6.78233438485804,31.2302839116719,26.6876971608833,12.2712933753943,5.99369085173502,21.9558359621451
"E02000189",2253,162,680,572,296,119,427,7.19041278295606,30.1819795827785,25.3883710608078,13.1380381713271,5.28184642698624,18.9525077674212
"E02000190",3181,106,1196,477,234,82,721,3.33228544482867,37.5982395473122,14.995284501729,7.35617730273499,2.57780572147124,22.6658283558629
"E02000191",2868,38,1036,279,153,64,426,1.32496513249651,36.1227336122734,9.72803347280335,5.3347280334728,2.23152022315202,14.8535564853556
"E02000192",3375,204,881,686,309,164,673,6.04444444444444,26.1037037037037,20.3259259259259,9.15555555555556,4.85925925925926,19.9407407407407
"E02000193",3850,62,1126,369,145,71,631,1.61038961038961,29.2467532467532,9.58441558441558,3.76623376623377,1.84415584415584,16.3896103896104
