"GeographyCode","QS408EW0001","QS408EW0002","QS408EW0003","QS408EW0004","QS408EW0005","QS408EW0006"
"E00004120",143,30,37,49,20,7
"E00004121",118,38,30,32,12,6
"E00004122",103,37,34,17,12,3
"E00004123",108,75,14,16,2,1
"E00004124",100,26,22,16,25,11
"E00004125",178,14,34,37,61,32
"E00004126",144,28,26,49,25,16
"E00004127",124,9,50,45,14,6
"E00004128",161,51,27,50,20,13
"E00004129",142,37,43,34,19,9
"E00004130",128,24,28,35,21,20
"E00004131",119,43,31,27,12,6
"E00004132",92,28,19,33,9,3
"E00004133",118,25,19,30,22,22
"E00004134",100,17,28,23,21,11
"E00004135",105,6,10,36,42,11
"E00004136",110,30,21,39,18,2
"E00004137",147,20,45,49,15,18
"E00004138",142,21,16,33,31,41
"E00004139",140,3,3,8,4,122
"E00004140",111,27,33,38,12,1
"E00004141",114,18,29,35,25,7
"E00004142",133,28,26,33,31,15
"E00004143",126,32,34,26,17,17
"E00004144",102,31,41,24,4,2
"E00004145",110,23,20,39,15,13
"E00004146",126,22,22,38,29,15
"E00004147",126,18,29,52,16,11
"E00004148",106,29,24,13,30,10
"E00004149",149,52,45,33,10,9
"E00004150",147,26,40,47,26,8
"E00004151",148,27,35,60,23,3
"E00004152",113,41,28,36,8,0
"E00004153",108,18,25,40,18,7
"E00004154",122,24,41,30,18,9
"E00004155",103,31,30,28,11,3
"E00004156",126,34,17,26,17,32
"E00004157",94,39,16,20,10,9
"E00004158",124,15,20,49,25,15
"E00004159",160,17,30,50,37,26
"E00004160",103,9,27,34,27,6
"E00004161",96,34,18,27,14,3
"E00004162",128,26,19,26,27,30
"E00004163",163,44,35,43,32,9
"E00004164",160,20,31,45,40,24
"E00004165",146,15,35,48,36,12
"E00004166",157,13,30,52,38,24
"E00004167",99,62,21,13,2,1
"E00004168",109,26,23,48,10,2
"E00004169",149,22,44,47,19,17
"E00004172",148,11,19,66,39,13
"E00004173",127,3,21,43,35,25
"E00004174",131,6,9,32,36,48
"E00004175",128,3,17,72,20,16
"E00004177",74,3,5,14,33,19
"E00004179",190,2,35,92,29,32
"E00004180",128,6,11,50,37,24
"E00004181",212,4,35,97,46,30
"E00004182",76,8,6,33,20,9
"E00004183",106,7,15,46,24,14
"E00004184",112,4,25,57,16,10
"E00004185",171,9,15,53,60,34
"E00004187",226,27,22,58,73,46
"E00004188",109,3,12,35,39,20
"E00004189",118,4,23,31,43,17
"E00004190",384,4,0,28,140,212
"E00004193",119,16,25,32,24,22
"E00004194",144,14,31,33,50,16
"E00004195",133,14,29,45,28,17
"E00004196",101,22,37,25,15,2
"E00004197",116,35,24,35,11,11
"E00004198",182,9,29,52,58,34
"E00004199",163,15,25,42,69,12
"E00004200",136,8,12,43,57,16
"E00004201",144,41,33,51,16,3
"E00004202",160,1,2,18,95,44
"E00004203",164,30,27,55,42,10
"E00004204",149,24,53,42,25,5
"E00004205",145,56,16,37,26,10
"E00004206",127,20,18,51,24,14
"E00004207",128,16,18,53,32,9
"E00004208",125,13,23,35,40,14
"E00004209",113,15,24,43,24,7
"E00004210",126,14,21,45,33,13
"E00004211",124,14,13,42,38,17
"E00004212",134,34,24,34,34,8
"E00004213",167,27,30,49,39,22
"E00004214",243,14,43,91,79,16
"E00004215",129,45,29,36,16,3
"E00004216",146,57,26,40,17,6
"E00004217",141,20,35,36,29,21
"E00004218",131,29,32,38,26,6
"E00004219",190,17,20,61,63,29
"E00004220",87,8,13,44,18,4
"E00004221",111,29,18,35,24,5
"E00004222",109,22,13,31,28,15
"E00004223",116,11,16,43,34,12
"E00004224",147,36,18,43,42,8
"E00004225",195,14,23,43,60,55
"E00004226",119,73,19,14,13,0
"E00004227",145,28,27,57,27,6
"E00004228",107,41,9,14,36,7
"E00004229",174,19,28,77,39,11
"E00004230",130,11,25,44,42,8
"E00004231",142,65,18,25,26,8
"E00004232",132,25,10,17,58,22
"E00004233",124,27,34,34,25,4
"E00004234",124,43,13,37,26,5
"E00004235",163,13,19,71,49,11
"E00004236",150,20,24,34,51,21
"E00004237",123,4,29,43,33,14
"E00004238",126,28,39,34,21,4
"E00004239",111,16,22,42,27,4
"E00004240",136,19,24,34,40,19
"E00004241",133,62,17,30,13,11
"E00004242",105,13,10,16,7,59
"E00004243",110,64,8,17,17,4
"E00004244",100,6,16,25,29,24
"E00004245",163,24,23,80,30,6
"E00004246",121,26,20,43,23,9
"E00004247",156,32,24,50,35,15
"E00004248",207,24,26,45,82,30
"E00004249",114,24,16,42,26,6
"E00004250",127,47,20,35,20,5
"E00004251",95,45,19,19,10,2
"E00004252",115,23,23,40,24,5
"E00004253",132,21,23,37,32,19
"E00004254",119,10,16,49,32,12
"E00004255",128,31,25,38,27,7
"E00004256",149,12,20,61,45,11
"E00004257",113,23,15,41,25,9
"E00004258",111,14,15,48,28,6
"E00004259",104,9,14,36,23,22
"E00004260",136,1,7,40,43,45
"E00004261",114,11,17,40,31,15
"E00004262",114,4,10,58,25,17
"E00004263",121,19,15,31,34,22
"E00004264",176,16,30,56,55,19
"E00004265",112,17,6,43,33,13
"E00004266",156,15,25,53,48,15
"E00004268",142,7,17,44,52,22
"E00004269",121,11,25,49,30,6
"E00004270",189,11,30,58,59,31
"E00004271",142,19,18,42,45,18
"E00004272",113,53,10,36,10,4
"E00004273",159,50,25,32,38,14
"E00004274",130,27,26,41,25,11
"E00004275",104,14,15,36,25,14
"E00004276",122,14,26,43,28,11
"E00004277",135,25,32,45,25,8
"E00004278",102,18,23,39,18,4
"E00004279",134,14,22,50,41,7
"E00004280",108,37,17,28,21,5
"E00004281",115,20,19,43,30,3
"E00004282",149,34,26,44,29,16
"E00004283",137,37,21,35,25,19
"E00004284",128,23,20,54,25,6
"E00004285",144,26,13,42,28,35
"E00004286",158,13,25,48,41,31
"E00004287",111,13,34,50,10,4
"E00004288",166,23,28,52,30,33
"E00004289",129,13,20,39,24,33
"E00004290",164,16,30,43,22,53
"E00004291",138,24,28,54,23,9
"E00004292",121,15,17,42,23,24
"E00004293",119,10,22,41,32,14
"E00004294",119,13,15,58,29,4
"E00004295",175,73,17,39,28,18
"E00004296",133,30,25,37,30,11
"E00004297",154,26,31,33,24,40
"E00004298",112,60,21,12,14,5
"E00004299",135,50,21,39,19,6
"E00004300",111,32,20,28,17,14
"E00004301",241,25,22,41,69,84
"E00004302",143,31,15,40,30,27
"E00004303",113,66,17,17,9,4
"E00004304",178,51,18,49,23,37
"E00004305",134,65,23,26,14,6
"E00004306",157,63,31,27,17,19
"E00004307",150,91,21,23,12,3
"E00004308",123,36,22,33,21,11
"E00004309",115,48,19,25,13,10
"E00004310",128,74,19,19,12,4
"E00004311",99,49,20,16,10,4
"E00004312",150,31,24,41,33,21
"E00004313",131,42,26,49,9,5
"E00004314",153,23,16,32,29,53
"E00004315",154,47,23,45,27,12
"E00004316",122,10,14,50,20,28
"E00004317",161,44,39,48,21,9
"E00004318",126,33,39,30,19,5
"E00004319",143,9,41,46,33,14
"E00004320",112,50,32,15,13,2
"E00004321",114,40,34,24,10,6
"E00004322",114,72,26,13,2,1
"E00004323",96,19,18,32,19,8
"E00004324",122,57,21,25,13,6
"E00004325",113,42,19,25,21,6
"E00004326",117,19,23,19,16,40
"E00004327",140,42,32,43,14,9
"E00004328",95,45,27,13,7,3
"E00004329",124,35,31,24,22,12
"E00004330",146,19,47,46,28,6
"E00004331",112,31,27,22,15,17
"E00004332",87,14,21,21,21,10
"E00004333",133,31,30,46,19,7
"E00004334",106,25,16,27,13,25
"E00004335",145,42,24,42,21,16
"E00004336",175,23,30,58,44,20
"E00004337",114,24,30,35,14,11
"E00004338",112,36,32,27,12,5
"E00004339",112,14,35,37,23,3
"E00004340",95,13,15,27,27,13
"E00004341",132,25,34,36,15,22
"E00004342",94,18,23,27,17,9
"E00004343",120,22,36,35,10,17
"E00004344",118,21,39,28,16,14
"E00004345",121,87,20,9,5,0
"E00004346",94,47,22,17,7,1
"E00004347",97,57,17,15,7,1
"E00004348",131,42,23,32,15,19
"E00004349",117,75,16,13,12,1
"E00004350",125,49,32,26,13,5
"E00004351",131,73,40,12,4,2
"E00004352",118,74,22,13,7,2
"E00004353",137,53,52,19,11,2
"E00004354",108,64,25,12,6,1
"E00004355",122,48,25,31,13,5
"E00004356",121,55,25,20,15,6
"E00004357",118,58,30,18,9,3
"E00004358",114,38,30,26,14,6
"E00004359",121,79,22,18,2,0
"E00004360",118,43,36,26,11,2
"E00004361",99,47,21,21,5,5
"E00004362",127,16,25,49,26,11
"E00004363",153,30,23,57,31,12
"E00004364",225,24,28,56,61,56
"E00004365",139,23,22,65,27,2
"E00004366",165,7,21,76,35,26
"E00004367",148,10,42,52,29,15
"E00004368",175,44,27,32,50,22
"E00004369",123,22,32,40,26,3
"E00004370",117,19,15,67,11,5
"E00004371",103,5,7,22,37,32
"E00004372",109,29,19,33,17,11
"E00004373",146,18,21,59,34,14
"E00004374",97,8,13,18,20,38
"E00004375",119,29,29,37,20,4
"E00004376",176,23,30,75,36,12
"E00004377",95,8,7,24,26,30
"E00004378",137,34,25,37,32,9
"E00004379",135,34,44,35,21,1
"E00004380",152,7,11,51,68,15
"E00004381",117,33,28,34,14,8
"E00004382",139,33,25,44,16,21
"E00004383",103,28,24,36,11,4
"E00004384",101,25,19,27,23,7
"E00004385",91,33,18,25,7,8
"E00004386",101,37,13,36,12,3
"E00004387",89,21,18,35,12,3
"E00004388",99,35,14,39,10,1
"E00004389",108,35,18,32,19,4
"E00004390",113,31,27,23,27,5
"E00004391",128,53,21,35,13,6
"E00004392",95,53,21,13,6,2
"E00004393",113,20,24,41,22,6
"E00004394",94,5,20,39,21,9
"E00004395",133,23,29,37,29,15
"E00004396",131,10,18,50,40,13
"E00004397",106,12,23,42,17,12
"E00004398",99,15,27,32,20,5
"E00004399",131,14,33,43,32,9
"E00004400",180,10,17,48,66,39
"E00004401",128,62,22,27,11,6
"E00004402",127,39,19,35,23,11
"E00004403",128,81,25,19,2,1
"E00004404",116,70,22,15,9,0
"E00004405",128,70,29,17,9,3
"E00004406",117,57,34,17,8,1
"E00004407",118,74,23,13,5,3
"E00004408",106,64,21,15,6,0
"E00004409",108,29,22,39,15,3
"E00004410",120,41,38,25,14,2
"E00004411",114,36,17,24,28,9
"E00004412",128,41,26,28,27,6
"E00004413",101,42,28,25,6,0
"E00004414",123,46,23,31,20,3
"E00004415",139,55,27,41,11,5
"E00004416",114,45,26,29,11,3
"E00004417",125,62,23,26,11,3
"E00004418",114,36,28,33,14,3
"E00004419",126,23,30,31,25,17
"E00004420",112,54,15,26,8,9
"E00004421",123,67,25,18,12,1
"E00004422",92,30,14,27,17,4
"E00004423",122,29,34,38,19,2
"E00004424",117,25,26,43,20,3
"E00004425",140,67,27,21,20,5
"E00004426",143,47,29,41,21,5
"E00004427",117,89,14,5,9,0
"E00004428",131,18,44,55,10,4
