"GeographyCode","QS104EW0001","QS104EW0002","QS104EW0003"
"E01000842",1444,687,757
"E01000843",1678,777,901
"E01000844",1772,903,869
"E01000845",1464,689,775
"E01000846",1501,699,802
"E01000847",1686,815,871
"E01000848",1588,773,815
"E01000849",1569,748,821
"E01000850",1694,919,775
"E01000851",2383,1327,1056
"E01000852",1587,725,862
"E01000853",1631,798,833
"E01000854",1833,1037,796
"E01000855",1764,880,884
"E01000856",1645,815,830
"E01000857",1447,705,742
"E01000858",1861,910,951
"E01000859",1586,757,829
"E01000860",1307,621,686
"E01000861",1574,818,756
"E01000862",1712,871,841
"E01000863",1481,781,700
"E01000864",1537,733,804
"E01000865",1505,748,757
"E01000866",2030,942,1088
"E01000867",1608,788,820
"E01000868",1442,744,698
"E01000869",2110,1053,1057
"E01000870",1693,779,914
"E01000871",1664,821,843
"E01000872",1902,965,937
"E01000873",1639,816,823
"E01000874",1559,746,813
"E01000875",1654,874,780
"E01000876",1748,877,871
"E01000877",1574,786,788
"E01000878",1624,766,858
"E01000879",1458,714,744
"E01000880",1602,767,835
"E01000881",1510,784,726
"E01000882",1513,745,768
"E01000883",1326,635,691
"E01000884",1469,724,745
"E01000885",1484,694,790
"E01000886",1445,704,741
"E01000887",1486,705,781
"E01000888",1605,793,812
"E01000889",1670,798,872
"E01000890",1640,806,834
"E01000891",1575,752,823
"E01000892",1843,880,963
"E01000893",1566,745,821
"E01000894",1389,680,709
"E01000895",1630,811,819
"E01000896",1692,822,870
"E01000897",1597,759,838
"E01000898",1729,836,893
"E01000899",1667,822,845
"E01000900",1801,859,942
"E01000901",1977,939,1038
"E01000902",1451,687,764
"E01000903",1439,709,730
"E01000904",2120,1063,1057
"E01000905",2044,951,1093
"E01000906",1532,682,850
"E01000907",1430,663,767
"E01000908",1581,686,895
"E01000909",1614,766,848
"E01000910",1472,718,754
"E01000911",1559,738,821
"E01000912",1589,734,855
"E01000913",1710,840,870
"E01000914",1762,928,834
"E01000915",1527,785,742
"E01000916",1796,942,854
"E01000917",1888,1004,884
"E01000918",2090,1125,965
"E01000919",2014,1084,930
"E01000920",1946,1040,906
"E01000921",1966,940,1026
"E01000922",1547,761,786
"E01000923",1494,689,805
"E01000924",1637,785,852
"E01000925",1563,736,827
"E01000926",1791,866,925
"E01000927",1738,836,902
"E01000928",1681,843,838
"E01000929",1675,784,891
"E01000930",1910,896,1014
"E01000931",1910,889,1021
"E01000932",1838,932,906
"E01000933",1671,838,833
"E01000934",1619,753,866
"E01000935",1415,631,784
"E01000936",1839,898,941
"E01000937",1504,735,769
"E01000938",1752,924,828
"E01000939",1223,593,630
"E01000940",1130,571,559
"E01000941",1230,640,590
"E01000942",2111,1043,1068
"E01000943",1054,522,532
"E01000944",1899,1168,731
"E01000945",1821,852,969
"E01000946",1516,705,811
"E01000947",1954,1073,881
"E01000948",1736,890,846
"E01000949",1633,754,879
"E01000950",1431,716,715
"E01000951",1538,760,778
"E01000952",1729,830,899
"E01000953",1643,762,881
"E01000954",1656,781,875
"E01000955",1595,765,830
"E01000956",1532,743,789
"E01000957",1729,884,845
"E01000958",2264,1019,1245
"E01000959",1670,806,864
"E01000960",1774,828,946
"E01000961",1591,736,855
"E01000962",1592,732,860
"E01000963",1923,883,1040
"E01000964",1577,751,826
"E01000965",1522,712,810
"E01000966",1512,743,769
"E01000967",1409,653,756
"E01000968",1505,719,786
"E01000969",2032,979,1053
"E01000970",1444,719,725
"E01000971",1478,699,779
"E01000972",2009,976,1033
"E01000973",1885,899,986
"E01000974",1707,831,876
