"GeographyCode","QS418EW0001","QS418EW0002","QS418EW0003"
"E00004120",154,154,0
"E00004121",123,123,0
"E00004122",112,112,0
"E00004123",119,119,0
"E00004124",103,103,0
"E00004125",179,177,2
"E00004126",139,138,1
"E00004127",125,125,0
"E00004128",183,183,0
"E00004129",147,146,1
"E00004130",114,112,2
"E00004131",123,123,0
"E00004132",97,97,0
"E00004133",108,105,3
"E00004134",109,109,0
"E00004135",116,116,0
"E00004136",114,113,1
"E00004137",146,145,1
"E00004138",111,109,2
"E00004139",113,110,3
"E00004140",107,104,3
"E00004141",114,113,1
"E00004142",134,131,3
"E00004143",107,105,2
"E00004144",110,110,0
"E00004145",101,99,2
"E00004146",131,129,2
"E00004147",130,129,1
"E00004148",115,115,0
"E00004149",152,151,1
"E00004150",148,145,3
"E00004151",154,154,0
"E00004152",124,124,0
"E00004153",111,111,0
"E00004154",130,130,0
"E00004155",111,111,0
"E00004156",115,113,2
"E00004157",90,88,2
"E00004158",130,130,0
"E00004159",156,155,1
"E00004160",103,103,0
"E00004161",103,103,0
"E00004162",111,106,5
"E00004163",173,173,0
"E00004164",159,157,2
"E00004165",155,154,1
"E00004166",152,150,2
"E00004167",110,110,0
"E00004168",118,118,0
"E00004169",178,178,0
"E00004172",154,153,1
"E00004173",145,144,1
"E00004174",129,128,1
"E00004175",130,128,2
"E00004177",176,176,0
"E00004179",191,191,0
"E00004180",118,116,2
"E00004181",214,213,1
"E00004182",87,87,0
"E00004183",106,106,0
"E00004184",111,110,1
"E00004185",165,161,4
"E00004187",237,233,4
"E00004188",122,122,0
"E00004189",128,128,0
"E00004190",497,497,0
"E00004193",121,119,2
"E00004194",159,155,4
"E00004195",165,165,0
"E00004196",112,112,0
"E00004197",137,137,0
"E00004198",189,188,1
"E00004199",182,182,0
"E00004200",148,147,1
"E00004201",157,157,0
"E00004202",168,166,2
"E00004203",174,174,0
"E00004204",159,158,1
"E00004205",154,152,2
"E00004206",126,125,1
"E00004207",129,129,0
"E00004208",127,127,0
"E00004209",116,116,0
"E00004210",127,127,0
"E00004211",126,125,1
"E00004212",139,139,0
"E00004213",172,172,0
"E00004214",254,253,1
"E00004215",129,127,2
"E00004216",166,164,2
"E00004217",135,132,3
"E00004218",133,133,0
"E00004219",193,189,4
"E00004220",85,84,1
"E00004221",111,109,2
"E00004222",118,117,1
"E00004223",119,119,0
"E00004224",167,166,1
"E00004225",212,211,1
"E00004226",127,126,1
"E00004227",146,143,3
"E00004228",116,116,0
