"GeographyCode","QS603EW0001","QS603EW0002","QS603EW0003","QS603EW0004"
"E00004120",35,6,1,28
"E00004121",6,2,0,4
"E00004122",11,2,0,9
"E00004123",16,3,0,13
"E00004124",8,1,0,7
"E00004125",13,2,0,11
"E00004126",9,3,0,6
"E00004127",24,8,0,16
"E00004128",16,4,0,12
"E00004129",9,1,0,8
"E00004130",23,9,1,13
"E00004131",9,1,0,8
"E00004132",7,1,1,5
"E00004133",18,5,2,11
"E00004134",17,1,0,16
"E00004135",8,3,1,4
"E00004136",18,3,1,14
"E00004137",5,3,0,2
"E00004138",8,3,0,5
"E00004139",27,3,4,20
"E00004140",5,1,0,4
"E00004141",7,0,0,7
"E00004142",12,3,1,8
"E00004143",9,1,0,8
"E00004144",2,0,0,2
"E00004145",21,8,1,12
"E00004146",21,8,2,11
"E00004147",6,0,0,6
"E00004148",8,3,0,5
"E00004149",21,3,0,18
"E00004150",14,4,0,10
"E00004151",8,3,1,4
"E00004152",12,1,0,11
"E00004153",18,3,1,14
"E00004154",11,2,0,9
"E00004155",15,5,0,10
"E00004156",9,3,1,5
"E00004157",15,4,0,11
"E00004158",35,5,5,25
"E00004159",41,9,8,24
"E00004160",15,4,0,11
"E00004161",12,6,0,6
"E00004162",12,4,0,8
"E00004163",27,6,2,19
"E00004164",36,5,3,28
"E00004165",28,3,3,22
"E00004166",31,2,0,29
"E00004167",12,4,0,8
"E00004168",6,1,1,4
"E00004169",55,4,8,43
"E00004172",20,7,2,11
"E00004173",390,60,22,308
"E00004174",116,6,10,100
"E00004175",38,4,1,33
"E00004177",209,36,18,155
"E00004179",30,2,1,27
"E00004180",67,4,6,57
"E00004181",22,5,2,15
"E00004182",33,2,1,30
"E00004183",16,5,2,9
"E00004184",31,5,0,26
"E00004185",108,8,10,90
"E00004187",134,27,4,103
"E00004188",72,2,6,64
"E00004189",201,11,13,177
"E00004190",66,10,3,53
"E00004193",311,31,14,266
"E00004194",41,7,2,32
"E00004195",77,12,1,64
"E00004196",25,1,3,21
"E00004197",51,7,0,44
"E00004198",116,11,3,102
"E00004199",47,7,1,39
"E00004200",30,5,2,23
"E00004201",8,2,0,6
"E00004202",0,0,0,0
"E00004203",42,17,2,23
"E00004204",17,1,0,16
"E00004205",56,17,6,33
"E00004206",23,4,1,18
"E00004207",46,9,4,33
"E00004208",46,5,4,37
"E00004209",29,5,2,22
"E00004210",23,3,1,19
"E00004211",58,15,0,43
"E00004212",26,4,0,22
"E00004213",49,9,4,36
"E00004214",60,12,4,44
"E00004215",11,3,0,8
"E00004216",10,2,0,8
"E00004217",7,2,0,5
"E00004218",21,3,3,15
"E00004219",49,6,1,42
"E00004220",6,0,0,6
"E00004221",8,0,0,8
"E00004222",14,1,1,12
"E00004223",25,5,3,17
"E00004224",20,8,0,12
"E00004225",73,23,2,48
"E00004226",13,3,0,10
"E00004227",33,6,0,27
