"GeographyCode","QS114EW0001","QS114EW0002","QS114EW0003","QS114EW0004","QS114EW0005","QS114EW0006","QS114EW0007","QS114EW0008","QS114EW0009","QS114EW0010","QS114EW0011","QS114EW0012"
"E01000842",1368,340,106,234,1028,28,92,271,350,46,78,163
"E01000843",1678,354,90,264,1324,146,98,390,376,53,96,165
"E01000844",1772,362,81,281,1410,30,78,433,440,68,137,224
"E01000845",1444,340,75,265,1104,46,78,237,328,69,119,227
"E01000846",1499,220,86,134,1279,182,120,251,128,122,218,258
"E01000847",1684,233,72,161,1451,140,110,329,194,171,243,264
"E01000848",1580,348,90,258,1232,15,132,314,424,78,132,137
"E01000849",1569,466,118,348,1103,52,66,243,336,41,120,245
"E01000850",1281,324,77,247,957,20,66,97,310,27,53,384
"E01000851",1645,423,55,368,1222,61,48,84,438,35,95,461
"E01000852",976,388,79,309,588,16,84,63,218,0,22,185
"E01000853",1596,469,197,272,1127,171,116,112,214,78,104,332
"E01000854",1643,310,64,246,1333,135,54,87,242,60,162,593
"E01000855",1714,750,134,616,964,3,82,86,338,5,38,412
"E01000856",1645,205,38,167,1440,84,46,185,228,219,254,424
"E01000857",1443,301,101,200,1142,40,90,223,260,130,123,276
"E01000858",1861,287,55,232,1574,137,60,240,264,94,339,440
"E01000859",1586,380,80,300,1206,16,92,327,344,82,109,236
"E01000860",1307,515,195,320,792,38,110,195,198,49,75,127
"E01000861",1574,315,41,274,1259,86,56,140,310,37,175,455
"E01000862",1712,293,76,217,1419,41,166,308,436,80,127,261
"E01000863",1383,255,30,225,1128,64,58,141,394,38,80,353
"E01000864",1537,265,42,223,1272,85,76,206,376,33,153,343
"E01000865",977,182,31,151,795,25,66,117,188,62,120,217
"E01000866",2030,364,97,267,1666,103,134,289,370,119,174,477
"E01000867",1608,239,74,165,1369,148,64,140,328,106,183,400
"E01000868",1442,219,39,180,1223,152,38,271,184,129,263,186
"E01000869",2098,364,104,260,1734,106,64,302,514,90,137,521
"E01000870",1693,316,86,230,1377,87,64,261,326,71,189,379
"E01000871",1653,183,51,132,1470,41,96,237,232,101,333,430
"E01000872",1896,382,51,331,1514,73,54,261,464,44,167,451
"E01000873",1639,235,61,174,1404,67,76,322,294,50,130,465
"E01000874",1559,227,61,166,1332,25,134,358,342,51,85,337
"E01000875",1646,369,75,294,1277,109,64,187,440,44,88,345
"E01000876",1748,342,78,264,1406,130,78,200,304,116,223,355
"E01000877",1546,274,45,229,1272,31,86,318,352,60,75,350
"E01000878",1246,188,72,116,1058,19,150,265,202,52,115,255
"E01000879",1305,237,64,173,1068,31,124,307,218,97,60,231
"E01000880",1558,191,57,134,1367,47,76,386,252,201,190,215
"E01000881",1451,247,57,190,1204,32,78,239,290,171,132,262
"E01000882",1512,281,67,214,1231,32,118,320,384,104,79,194
"E01000883",1319,258,69,189,1061,28,86,247,320,50,92,238
"E01000884",1462,181,61,120,1281,33,102,347,188,155,199,257
"E01000885",1410,172,78,94,1238,39,224,340,182,126,98,229
"E01000886",1445,187,41,146,1258,89,96,286,224,99,114,350
"E01000887",1478,262,60,202,1216,60,70,270,348,70,106,292
"E01000888",1605,252,56,196,1353,80,90,320,286,100,194,283
"E01000889",1670,224,69,155,1446,166,86,250,158,104,290,392
"E01000890",1625,357,118,239,1268,144,138,168,164,132,245,277
"E01000891",1534,279,77,202,1255,184,60,179,200,111,232,289
"E01000892",1843,308,95,213,1535,104,130,347,326,114,176,338
"E01000893",1566,281,82,199,1285,45,138,330,240,78,175,279
"E01000894",1376,209,74,135,1167,20,140,340,276,98,91,202
"E01000895",1629,403,172,231,1226,44,106,366,336,51,100,223
"E01000896",1692,258,89,169,1434,15,190,397,306,129,131,266
"E01000897",1595,243,82,161,1352,8,176,451,340,119,102,156
"E01000898",1688,418,88,330,1270,63,88,281,326,93,111,308
"E01000899",1606,229,65,164,1377,33,206,387,232,138,168,213
"E01000900",1795,256,72,184,1539,120,100,259,312,77,267,404
"E01000901",1821,228,51,177,1593,240,54,284,166,188,329,332
"E01000902",1451,216,83,133,1235,155,54,237,184,105,226,274
"E01000903",1418,301,117,184,1117,32,68,271,302,31,133,280
"E01000904",2120,309,80,229,1811,180,124,258,396,142,194,517
"E01000905",1965,300,125,175,1665,273,102,225,226,181,263,395
"E01000906",1532,319,95,224,1213,25,134,192,458,61,72,271
"E01000907",1430,207,57,150,1223,182,88,242,246,61,129,275
"E01000908",1581,420,103,317,1161,159,110,275,228,72,88,229
"E01000909",1614,199,82,117,1415,37,156,244,226,76,205,471
"E01000910",1472,173,53,120,1299,16,124,247,216,108,195,393
"E01000911",1549,220,75,145,1329,107,114,294,264,81,189,280
"E01000912",1589,270,111,159,1319,105,84,243,212,44,217,414
"E01000913",1702,210,85,125,1492,22,236,361,292,112,152,317
"E01000914",1753,483,109,374,1270,45,90,126,514,24,116,355
"E01000915",1527,247,69,178,1280,107,84,171,214,110,221,373
"E01000916",1718,392,64,328,1326,115,88,153,472,85,144,269
"E01000917",1855,458,99,359,1397,180,48,319,284,131,189,246
"E01000918",1885,482,122,360,1403,54,94,134,332,74,219,496
"E01000919",1658,434,73,361,1224,40,68,85,326,26,316,363
"E01000920",1921,409,87,322,1512,85,86,236,458,68,146,433
"E01000921",1963,381,50,331,1582,104,48,306,506,40,192,386
"E01000922",1537,266,57,209,1271,82,54,160,254,57,191,473
"E01000923",1436,266,53,213,1170,63,60,254,244,76,128,345
"E01000924",1637,307,55,252,1330,54,90,223,462,32,169,300
"E01000925",1552,246,107,139,1306,177,60,198,154,131,262,324
"E01000926",1791,204,49,155,1587,117,54,183,268,82,147,736
"E01000927",1732,205,63,142,1527,69,104,299,354,63,109,529
"E01000928",1620,234,59,175,1386,135,104,289,240,53,189,376
"E01000929",1675,245,69,176,1430,168,90,277,210,155,243,287
"E01000930",1910,628,235,393,1282,169,78,269,330,101,105,230
"E01000931",1902,357,83,274,1545,154,88,253,340,89,216,405
"E01000932",1825,402,85,317,1423,101,56,177,552,30,72,435
"E01000933",1671,340,95,245,1331,51,74,195,426,61,112,412
"E01000934",1542,338,106,232,1204,116,58,256,252,117,154,251
"E01000935",1415,241,50,191,1174,184,42,288,214,134,135,177
"E01000936",1360,194,50,144,1166,162,42,136,182,50,301,293
"E01000937",943,296,40,256,647,74,26,58,154,27,92,216
"E01000938",1726,305,38,267,1421,339,40,94,256,56,146,490
"E01000939",1197,156,49,107,1041,95,50,109,102,126,239,320
"E01000940",1124,253,61,192,871,52,62,169,178,73,131,206
"E01000941",1203,242,56,186,961,132,70,157,146,54,143,259
"E01000942",1181,381,73,308,800,50,38,83,300,30,51,248
"E01000943",991,359,54,305,632,53,22,98,246,15,50,148
"E01000944",1899,188,54,134,1711,108,70,141,182,92,257,861
"E01000945",1493,223,36,187,1270,132,54,130,236,91,175,452
"E01000946",1475,312,84,228,1163,85,98,176,262,58,145,339
"E01000947",1925,344,44,300,1581,43,52,144,424,55,204,659
"E01000948",1708,362,103,259,1346,104,130,273,350,42,127,320
"E01000949",1578,331,103,228,1247,134,98,256,210,117,152,280
"E01000950",1431,192,48,144,1239,103,52,218,136,165,211,354
"E01000951",1538,230,97,133,1308,90,68,186,118,137,279,430
"E01000952",1728,206,56,150,1522,155,92,177,216,117,258,507
"E01000953",1643,299,132,167,1344,103,90,195,216,73,298,369
"E01000954",1656,202,61,141,1454,236,80,203,152,217,259,307
"E01000955",1505,293,83,210,1212,122,62,300,126,94,198,310
"E01000956",1532,221,28,193,1311,120,34,182,226,124,289,336
"E01000957",1729,263,58,205,1466,136,58,211,410,76,211,364
"E01000958",2108,237,34,203,1871,192,66,221,332,117,365,578
"E01000959",1670,264,83,181,1406,129,98,157,176,129,223,494
"E01000960",1774,321,72,249,1453,82,114,315,434,98,160,250
"E01000961",1591,197,59,138,1394,137,136,269,220,154,202,276
"E01000962",1592,236,37,199,1356,47,58,383,504,10,68,286
"E01000963",1864,311,117,194,1553,63,138,414,358,70,133,377
"E01000964",1577,260,70,190,1317,76,94,320,306,51,143,327
"E01000965",1522,313,69,244,1209,70,78,232,428,51,103,247
"E01000966",1508,222,55,167,1286,21,86,355,370,31,106,317
"E01000967",1409,225,84,141,1184,31,132,260,208,128,158,267
"E01000968",1504,314,88,226,1190,49,50,247,444,20,65,315
"E01000969",2032,341,79,262,1691,62,76,336,532,56,97,532
"E01000970",1444,406,39,367,1038,27,60,127,500,10,30,284
"E01000971",1478,222,50,172,1256,26,72,373,310,64,72,339
"E01000972",2009,414,88,326,1595,156,90,272,352,88,237,400
"E01000973",1883,341,53,288,1542,99,48,205,518,82,115,475
"E01000974",1702,358,72,286,1344,83,60,172,368,56,183,422
