"GeographyCode","QS418EW0001","QS418EW0002","QS418EW0003"
"E02000166",3649,3637,12
"E02000167",3816,3784,32
"E02000168",3564,3541,23
"E02000169",3137,3125,12
"E02000170",3645,3593,52
"E02000171",3541,3516,25
"E02000172",4205,4186,19
"E02000173",3559,3530,29
"E02000174",3834,3817,17
"E02000175",4174,4113,61
"E02000176",3277,3246,31
"E02000177",3961,3950,11
"E02000178",4232,4184,48
"E02000179",2912,2894,18
"E02000180",3444,3421,23
"E02000181",3664,3638,26
"E02000182",3169,3156,13
"E02000183",4072,4041,31
"E02000184",3717,3704,13
"E02000185",4005,3974,31
"E02000186",3356,3327,29
"E02000187",3328,3313,15
"E02000188",3187,3173,14
"E02000189",2223,2208,15
"E02000190",3336,3320,16
"E02000191",3182,3158,24
"E02000192",3487,3469,18
"E02000193",4152,4109,43
