"GeographyCode","QS604EW0001","QS604EW0002","QS604EW0003","QS604EW0004","QS604EW0005","QS604EW0006","QS604EW0007"
"E00004120",187,39,17,22,148,87,61
"E00004121",142,25,11,14,117,71,46
"E00004122",125,23,5,18,102,61,41
"E00004123",170,42,20,22,128,89,39
"E00004124",91,14,5,9,77,57,20
"E00004125",179,21,4,17,158,106,52
"E00004126",170,23,9,14,147,80,67
"E00004127",167,37,10,27,130,86,44
"E00004128",171,23,11,12,148,84,64
"E00004129",178,22,5,17,156,101,55
"E00004130",172,38,11,27,134,96,38
"E00004131",179,43,18,25,136,80,56
"E00004132",130,22,6,16,108,63,45
"E00004133",150,33,12,21,117,58,59
"E00004134",104,17,11,6,87,56,31
"E00004135",115,26,9,17,89,54,35
"E00004136",144,19,7,12,125,64,61
"E00004137",180,37,13,24,143,94,49
"E00004138",126,27,11,16,99,60,39
"E00004139",80,39,17,22,41,30,11
"E00004140",122,15,5,10,107,61,46
"E00004141",98,18,9,9,80,44,36
"E00004142",151,27,7,20,124,74,50
"E00004143",141,16,5,11,125,57,68
"E00004144",131,20,9,11,111,66,45
"E00004145",161,31,16,15,130,83,47
"E00004146",172,29,13,16,143,85,58
"E00004147",152,16,3,13,136,85,51
"E00004148",101,25,8,17,76,48,28
"E00004149",196,28,14,14,168,103,65
"E00004150",222,20,8,12,202,127,75
"E00004151",195,20,8,12,175,99,76
"E00004152",130,24,10,14,106,52,54
"E00004153",123,25,7,18,98,69,29
"E00004154",160,17,9,8,143,85,58
"E00004155",135,28,10,18,107,57,50
"E00004156",132,25,8,17,107,69,38
"E00004157",131,25,4,21,106,75,31
"E00004158",111,28,13,15,83,59,24
"E00004159",120,49,14,35,71,54,17
"E00004160",62,28,9,19,34,31,3
"E00004161",121,22,11,11,99,63,36
"E00004162",157,23,7,16,134,80,54
"E00004163",194,34,11,23,160,84,76
"E00004164",137,57,23,34,80,68,12
"E00004165",111,26,9,17,85,66,19
"E00004166",112,46,14,32,66,47,19
"E00004167",132,30,12,18,102,61,41
"E00004168",108,17,7,10,91,54,37
"E00004169",183,40,10,30,143,99,44
"E00004172",149,26,9,17,123,78,45
"E00004173",164,80,61,19,84,65,19
"E00004174",77,26,12,14,51,39,12
"E00004175",102,31,15,16,71,53,18
"E00004177",99,45,37,8,54,34,20
"E00004179",114,37,11,26,77,61,16
"E00004180",106,27,9,18,79,60,19
"E00004181",123,43,13,30,80,66,14
"E00004182",84,21,10,11,63,50,13
"E00004183",93,26,8,18,67,59,8
"E00004184",92,27,9,18,65,52,13
"E00004185",149,49,9,40,100,71,29
"E00004187",257,61,38,23,196,125,71
"E00004188",73,10,4,6,63,37,26
"E00004189",88,16,9,7,72,40,32
"E00004190",279,52,13,39,227,177,50
"E00004193",326,53,27,26,273,213,60
"E00004194",157,23,9,14,134,88,46
"E00004195",181,27,13,14,154,110,44
"E00004196",102,18,3,15,84,44,40
"E00004197",154,21,7,14,133,86,47
"E00004198",180,38,18,20,142,100,42
"E00004199",179,35,14,21,144,98,46
"E00004200",174,27,10,17,147,111,36
"E00004201",161,32,18,14,129,74,55
"E00004202",34,7,1,6,27,17,10
"E00004203",215,47,19,28,168,115,53
"E00004204",171,35,12,23,136,89,47
"E00004205",232,41,23,18,191,121,70
"E00004206",135,50,17,33,85,65,20
"E00004207",121,51,20,31,70,57,13
"E00004208",98,24,9,15,74,54,20
"E00004209",158,29,9,20,129,96,33
"E00004210",98,36,7,29,62,54,8
"E00004211",190,48,24,24,142,109,33
"E00004212",183,36,15,21,147,111,36
"E00004213",164,45,11,34,119,81,38
"E00004214",246,57,21,36,189,125,64
"E00004215",174,33,14,19,141,90,51
"E00004216",189,44,14,30,145,83,62
