"GeographyCode","QS602EW0001","QS602EW0002","QS602EW0003","QS602EW0004","QS602EW0005","QS602EW0006","QS602EW0007","QS602EW0008","QS602EW0009","QS602EW0010","QS602EW0011","QS602EW0012","QS602EW0013","QS602EW0014","QS602EW0015","QS602EW0016"
"E01000922",653,464,41,279,2,24,14,57,18,29,189,92,24,18,43,12
"E01000923",656,499,39,289,1,20,32,85,28,5,157,77,9,8,53,10
"E01000924",795,621,53,372,1,20,32,107,23,13,174,94,21,11,36,12
"E01000925",629,377,55,196,3,13,14,43,42,11,252,128,16,30,50,28
"E01000926",698,537,56,341,1,18,16,66,24,15,161,62,20,15,37,27
"E01000927",734,537,40,332,0,27,30,83,15,10,197,103,16,20,44,14
"E01000928",682,504,61,283,1,28,34,73,18,6,178,97,11,11,50,9
"E01000929",685,434,68,237,3,8,20,50,40,8,251,128,13,29,56,25
"E01000930",1076,612,89,349,2,21,20,55,52,24,464,277,43,22,80,42
"E01000931",873,577,90,337,4,11,25,45,51,14,296,142,25,17,80,32
"E01000932",947,726,69,505,3,26,25,68,22,8,221,107,13,20,60,21
"E01000933",821,635,44,416,3,16,25,84,33,14,186,125,8,10,29,14
"E01000934",732,467,77,265,2,4,17,36,48,18,265,144,22,18,52,29
"E01000935",624,430,78,248,3,7,14,30,36,14,194,80,21,24,52,17
"E01000936",536,365,38,180,2,14,33,44,40,14,171,89,35,9,27,11
"E01000937",502,324,33,178,1,5,27,26,20,34,178,50,105,2,14,7
"E01000938",737,551,99,268,2,14,26,36,51,55,186,66,42,20,42,16
"E01000939",446,261,69,107,4,9,9,16,31,16,185,90,38,12,25,20
"E01000940",534,294,38,140,2,6,12,30,31,35,240,102,88,8,28,14
"E01000941",557,347,59,173,6,9,19,34,32,15,210,85,18,14,71,22
"E01000942",686,452,32,255,3,16,27,51,27,41,234,75,114,6,27,12
"E01000943",596,386,40,214,3,17,20,46,21,25,210,61,112,5,17,15
"E01000944",667,378,85,170,6,6,16,29,35,31,289,92,103,18,52,24
"E01000945",611,435,85,214,3,14,18,34,23,44,176,62,63,9,32,10
"E01000946",715,478,56,281,9,31,22,54,11,14,237,117,58,15,32,15
"E01000947",871,632,54,370,3,33,26,63,39,44,239,65,66,16,70,22
"E01000948",846,605,57,361,2,29,28,89,22,17,241,146,22,11,44,18
"E01000949",739,509,55,368,1,7,12,23,31,12,230,147,18,10,33,22
"E01000950",550,328,55,161,6,7,18,28,35,18,222,76,27,24,72,23
"E01000951",603,339,60,158,2,8,17,25,33,36,264,135,40,13,49,27
"E01000952",675,420,83,212,1,10,14,39,28,33,255,112,43,21,64,15
"E01000953",708,372,68,224,1,3,10,19,23,24,336,170,34,16,92,24
"E01000954",642,379,88,185,2,9,13,24,45,13,263,107,25,44,62,25
"E01000955",657,358,86,171,4,12,10,18,27,30,299,130,39,18,81,31
"E01000956",608,414,60,234,4,13,17,32,33,21,194,50,57,15,48,24
"E01000957",765,539,67,315,5,11,21,50,49,21,226,89,30,17,65,25
"E01000958",835,597,76,357,4,13,20,57,34,36,238,66,60,34,56,22
"E01000959",698,405,97,191,4,8,15,22,39,29,293,151,34,23,67,18
"E01000960",841,643,60,397,4,23,34,71,34,20,198,116,26,15,24,17
"E01000961",652,412,50,242,5,22,20,33,32,8,240,117,25,31,46,21
"E01000962",745,647,29,444,2,29,31,80,24,8,98,60,14,3,11,10
"E01000963",851,579,29,413,2,33,29,54,13,6,272,158,50,20,15,29
"E01000964",713,541,39,357,3,30,23,63,20,6,172,107,8,14,26,17
"E01000965",764,585,44,421,3,21,17,56,12,11,179,102,22,12,25,18
"E01000966",675,583,19,406,9,45,28,65,4,7,92,70,6,6,5,5
"E01000967",619,460,35,271,4,44,28,62,11,5,159,108,7,10,18,16
"E01000968",760,583,33,428,0,31,22,41,19,9,177,109,13,17,24,14
"E01000969",954,795,36,565,4,45,29,78,31,7,159,108,14,8,13,16
"E01000970",831,716,33,514,3,19,25,86,23,13,115,53,20,4,26,12
"E01000971",649,517,31,358,2,32,20,51,15,8,132,87,10,5,26,4
"E01000972",949,642,54,403,10,23,21,69,45,17,307,122,34,24,92,35
"E01000973",894,708,54,486,0,19,26,68,40,15,186,80,25,13,51,17
"E01000974",821,603,72,378,3,14,22,53,42,19,218,106,13,20,61,18
