"GeographyCode","KS405EW0001","KS405EW0002","KS405EW0003","KS405EW0004","KS405EW0005","KS405EW0006","KS405EW0007","KS405EW0008","KS405EW0009","KS405EW0010","KS405EW0011","KS405EW0012","KS405EW0013","KS405EW0014","KS405EW0015","KS405EW0016","KS405EW0017","KS405EW0018","KS405EW0019","KS405EW0020","KS405EW0021","KS405EW0022","KS405EW0023","KS405EW0024","KS405EW0025","KS405EW0026"
"E01000892",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000893",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000894",1,13,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,100,0
"E01000895",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100,0,0
"E01000896",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000897",1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,100,0,0
"E01000898",6,41,0,0,0,0,0,0,0,0,0,14,23,4,0,0,0,0,0,0,0,0,0,34.1463414634146,56.0975609756098,9.75609756097561
"E01000899",4,61,0,25,0,0,0,0,0,0,0,0,36,0,0,40.9836065573771,0,0,0,0,0,0,0,0,59.0163934426229,0
"E01000900",1,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"E01000901",1,156,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,100,0
"E01000902",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000903",3,21,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,100,0
"E01000904",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000905",1,79,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"E01000906",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000907",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000908",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000909",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000910",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000911",2,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"E01000912",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000913",1,8,0,8,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
"E01000914",2,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,100,0
"E01000915",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000916",2,78,0,0,0,0,0,0,0,0,0,0,68,10,0,0,0,0,0,0,0,0,0,0,87.1794871794872,12.8205128205128
"E01000917",1,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,100
"E01000918",4,205,0,0,0,0,0,0,0,0,0,0,199,6,0,0,0,0,0,0,0,0,0,0,97.0731707317073,2.92682926829268
"E01000919",2,356,0,0,0,0,0,0,0,0,0,0,356,0,0,0,0,0,0,0,0,0,0,0,100,0
"E01000920",4,25,0,0,0,0,0,0,0,0,0,12,2,11,0,0,0,0,0,0,0,0,0,48,8,44
"E01000921",1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"E01000922",2,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,100,0
"E01000923",2,58,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
"E01000924",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000925",1,11,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,100,0
"E01000926",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000927",2,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"E01000928",2,61,0,0,0,0,40,0,0,21,0,0,0,0,0,0,0,0,65.5737704918033,0,0,34.4262295081967,0,0,0,0
"E01000929",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000930",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000931",2,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,100,0
"E01000932",2,13,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,61.5384615384615,38.4615384615385,0
"E01000933",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000934",2,77,0,0,0,0,0,0,75,0,0,0,0,2,0,0,0,0,0,0,97.4025974025974,0,0,0,0,2.5974025974026
"E01000935",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000936",7,479,0,0,0,0,0,0,0,0,0,0,352,127,0,0,0,0,0,0,0,0,0,0,73.4864300626305,26.5135699373695
"E01000937",2,561,0,0,0,0,0,0,0,0,0,0,561,0,0,0,0,0,0,0,0,0,0,0,100,0
"E01000938",6,26,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,100,0
"E01000939",5,26,0,0,0,0,0,0,0,0,0,0,18,8,0,0,0,0,0,0,0,0,0,0,69.2307692307692,30.7692307692308
"E01000940",10,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,100
"E01000941",4,27,0,0,0,0,0,16,0,0,0,0,11,0,0,0,0,0,0,59.2592592592593,0,0,0,0,40.7407407407407,0
"E01000942",7,930,0,0,0,0,0,0,0,16,0,0,914,0,0,0,0,0,0,0,0,1.72043010752688,0,0,98.2795698924731,0
"E01000943",6,63,0,0,0,0,0,0,0,0,0,0,61,2,0,0,0,0,0,0,0,0,0,0,96.8253968253968,3.17460317460317
"E01000944",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000945",6,328,0,0,0,0,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0,100,0
"E01000946",3,41,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,100,0
"E01000947",5,29,0,0,0,0,0,0,0,15,0,0,14,0,0,0,0,0,0,0,0,51.7241379310345,0,0,48.2758620689655,0
"E01000948",13,28,0,0,0,0,0,0,0,0,0,0,20,8,0,0,0,0,0,0,0,0,0,0,71.4285714285714,28.5714285714286
"E01000949",2,55,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,100,0
"E01000950",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000951",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000952",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100
"E01000953",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000954",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000955",5,90,0,0,0,0,0,0,0,9,0,0,80,1,0,0,0,0,0,0,0,10,0,0,88.8888888888889,1.11111111111111
"E01000956",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000957",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000958",9,156,0,0,0,0,0,0,0,0,0,16,79,61,0,0,0,0,0,0,0,0,0,10.2564102564103,50.6410256410256,39.1025641025641
"E01000959",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000960",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000961",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000962",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000963",2,59,0,0,0,0,25,34,0,0,0,0,0,0,0,0,0,0,42.3728813559322,57.6271186440678,0,0,0,0,0,0
"E01000964",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000965",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000966",1,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"E01000967",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000968",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100
"E01000969",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000970",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000971",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000972",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000973",17,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
"E01000974",11,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,100,0
