"GeographyCode","QS403EW0001","QS403EW0002","QS403EW0003","QS403EW0004","QS403EW0005","QS403EW0006","QS403EW0007","QS403EW0008","QS403EW0009","QS403EW0010","QS403EW0011","QS403EW0012","QS403EW0013","QS403EW0014"
"E00004120",286,133,81,52,0,23,15,8,110,104,0,2,4,20
"E00004121",250,119,66,53,0,44,0,44,84,77,0,6,1,3
"E00004122",236,149,60,89,0,0,0,0,86,84,0,2,0,1
"E00004123",296,179,70,109,0,20,7,13,83,60,23,0,0,14
"E00004124",176,92,52,40,0,6,6,0,75,75,0,0,0,3
"E00004125",268,112,67,45,2,1,1,0,150,141,0,9,0,3
"E00004126",274,117,69,48,0,31,23,8,117,115,0,2,0,9
"E00004127",265,88,42,46,1,72,22,50,95,87,2,6,0,9
"E00004128",293,140,76,64,4,16,15,1,129,120,3,6,0,4
"E00004129",265,108,55,53,0,21,16,5,133,131,0,2,0,3
"E00004130",268,142,86,56,0,17,7,10,108,106,0,1,1,1
"E00004131",280,195,123,72,0,16,16,0,63,59,0,2,2,6
"E00004132",196,102,53,49,6,1,1,0,80,76,0,4,0,7
"E00004133",255,106,40,66,0,28,16,12,120,116,0,4,0,1
"E00004134",188,93,63,30,0,9,1,8,80,78,1,1,0,6
"E00004135",143,49,21,28,0,2,1,1,88,85,0,3,0,4
"E00004136",228,126,63,63,0,5,5,0,96,90,4,2,0,1
"E00004137",272,167,99,68,0,26,10,16,79,79,0,0,0,0
"E00004138",225,65,44,21,0,57,48,9,101,101,0,0,0,2
"E00004139",333,26,9,17,0,275,251,24,30,26,0,0,4,2
"E00004140",206,107,76,31,0,3,3,0,96,96,0,0,0,0
"E00004141",188,75,31,44,1,66,5,61,44,42,0,0,2,2
"E00004142",237,124,61,63,0,14,8,6,97,95,0,2,0,2
"E00004143",242,140,59,81,0,17,3,14,84,82,0,2,0,1
"E00004144",230,134,80,54,0,4,4,0,92,85,0,2,5,0
"E00004145",208,122,74,48,1,13,6,7,71,71,0,0,0,1
"E00004146",249,103,51,52,0,38,30,8,105,103,0,2,0,3
"E00004147",225,101,68,33,2,2,2,0,118,116,0,2,0,2
"E00004148",175,114,73,41,0,1,1,0,59,58,1,0,0,1
"E00004149",317,178,103,75,0,10,7,3,128,127,0,1,0,1
"E00004150",304,95,34,61,0,8,8,0,197,195,0,2,0,4
"E00004151",261,142,58,84,0,5,2,3,111,111,0,0,0,3
"E00004152",243,151,99,52,1,6,0,6,82,79,3,0,0,3
"E00004153",206,84,43,41,0,42,4,38,73,69,0,3,1,7
"E00004154",255,134,82,52,0,0,0,0,118,116,0,0,2,3
"E00004155",250,140,61,79,0,9,8,1,101,97,4,0,0,0
"E00004156",223,93,50,43,2,14,5,9,111,107,0,4,0,3
"E00004157",226,113,46,67,0,3,0,3,104,104,0,0,0,6
"E00004158",284,41,18,23,0,178,142,36,59,55,0,4,0,6
"E00004159",394,27,19,8,0,330,323,7,35,35,0,0,0,2
"E00004160",214,20,7,13,0,175,155,20,11,11,0,0,0,8
"E00004161",201,114,59,55,0,7,5,2,74,68,0,6,0,6
"E00004162",248,64,36,28,0,8,7,1,171,169,0,0,2,5
"E00004163",391,153,79,74,3,79,18,61,155,152,0,3,0,1
"E00004164",383,39,29,10,1,322,316,6,17,17,0,0,0,4
"E00004165",345,29,11,18,0,275,268,7,41,40,0,1,0,0
"E00004166",416,25,23,2,4,340,340,0,45,43,0,0,2,2
"E00004167",282,212,108,104,2,6,4,2,62,54,0,8,0,0
"E00004168",194,112,76,36,0,8,3,5,73,69,0,0,4,1
"E00004169",293,78,52,26,1,63,0,63,148,111,5,7,25,3
"E00004172",229,71,50,21,3,84,71,13,69,51,6,11,1,2
"E00004173",192,61,51,10,0,54,18,36,73,65,0,4,4,4
"E00004174",274,30,10,20,0,113,108,5,124,116,7,1,0,7
"E00004175",272,35,22,13,0,184,179,5,52,48,0,4,0,1
"E00004177",105,26,17,9,0,5,1,4,65,61,0,3,1,9
"E00004179",327,55,30,25,0,243,243,0,18,17,0,1,0,11
"E00004180",283,39,12,27,1,126,111,15,112,105,4,3,0,5
"E00004181",355,75,37,38,4,230,225,5,35,21,0,10,4,11
"E00004182",162,68,24,44,3,56,4,52,35,33,2,0,0,0
"E00004183",197,9,1,8,1,178,11,167,9,8,0,0,1,0
"E00004184",210,35,17,18,2,123,87,36,46,41,0,5,0,4
"E00004185",413,37,17,20,0,198,97,101,155,137,0,9,9,23
"E00004187",488,184,95,89,0,43,25,18,251,244,0,4,3,10
"E00004188",182,62,39,23,0,5,2,3,112,108,0,2,2,3
"E00004189",272,41,32,9,0,9,6,3,208,202,2,4,0,14
"E00004190",471,328,193,135,2,3,1,2,109,90,0,19,0,29
"E00004193",244,43,26,17,3,61,15,46,127,108,2,1,16,10
"E00004194",252,93,65,28,0,22,22,0,133,130,2,1,0,4
"E00004195",311,31,17,14,1,49,14,35,224,211,1,3,9,6
"E00004196",211,93,48,45,2,23,4,19,81,73,0,8,0,12
"E00004197",237,97,65,32,0,17,8,9,119,100,0,19,0,4
"E00004198",350,64,40,24,5,53,33,20,220,200,7,8,5,8
"E00004199",286,47,24,23,2,19,0,19,215,201,13,1,0,3
"E00004200",248,39,13,26,1,62,13,49,144,123,9,4,8,2
"E00004201",272,169,121,48,0,12,9,3,87,76,4,7,0,4
"E00004202",171,2,1,1,0,158,14,144,9,7,0,0,2,2
"E00004203",319,95,59,36,0,34,29,5,178,169,4,3,2,12
"E00004204",277,158,92,66,0,6,6,0,110,106,3,1,0,3
"E00004205",352,201,106,95,0,22,13,9,121,108,0,10,3,8
"E00004206",310,69,42,27,0,201,157,44,40,32,0,8,0,0
"E00004207",365,35,14,21,0,233,216,17,97,97,0,0,0,0
"E00004208",303,28,18,10,1,200,195,5,73,71,0,2,0,1
"E00004209",271,43,10,33,0,120,105,15,103,92,0,5,6,5
"E00004210",323,41,14,27,0,241,234,7,41,39,0,2,0,0
"E00004211",306,75,31,44,0,81,66,15,150,149,0,1,0,0
"E00004212",330,134,75,59,1,108,36,72,85,69,0,14,2,2
"E00004213",456,33,12,21,3,331,40,291,70,65,0,4,1,19
"E00004214",521,107,42,65,8,294,11,283,100,98,0,2,0,12
"E00004215",269,151,90,61,0,25,21,4,93,89,0,4,0,0
"E00004216",299,207,99,108,4,6,4,2,79,79,0,0,0,3
"E00004217",244,101,39,62,1,34,25,9,107,100,0,6,1,1
"E00004218",305,92,40,52,0,158,153,5,54,48,0,6,0,1
"E00004219",366,141,59,82,0,55,45,10,165,164,0,0,1,5
"E00004220",170,31,10,21,1,118,118,0,19,19,0,0,0,1
"E00004221",232,118,66,52,1,16,5,11,95,90,0,5,0,2
"E00004222",211,83,45,38,0,48,14,34,76,74,0,1,1,4
"E00004223",321,23,11,12,4,237,105,132,56,51,0,2,3,1
"E00004224",280,139,77,62,2,0,0,0,135,123,4,2,6,4
"E00004225",386,25,18,7,8,64,28,36,273,263,1,5,4,16
"E00004226",256,171,111,60,0,6,4,2,70,69,0,1,0,9
"E00004227",271,117,66,51,1,72,49,23,76,55,10,11,0,5
"E00004228",204,124,79,45,1,25,17,8,54,54,0,0,0,0
"E00004229",318,149,68,81,0,53,2,51,109,103,1,3,2,7
