"GeographyCode","QS602EW0001","QS602EW0002","QS602EW0003","QS602EW0004","QS602EW0005","QS602EW0006","QS602EW0007","QS602EW0008","QS602EW0009","QS602EW0010","QS602EW0011","QS602EW0012","QS602EW0013","QS602EW0014","QS602EW0015","QS602EW0016"
"E02000166",3537,2497,285,1303,29,185,171,364,132,28,1040,653,35,65,226,61
"E02000167",3629,2819,162,1575,34,256,226,467,68,31,810,637,29,35,45,64
"E02000168",3535,2735,256,1598,18,116,158,431,126,32,800,471,43,43,184,59
"E02000169",2942,2265,142,1304,45,251,176,271,54,22,677,491,39,45,38,64
"E02000170",3685,2948,210,1900,15,152,164,343,115,49,737,457,61,34,119,66
"E02000171",3502,2612,204,1556,20,145,154,392,103,38,890,528,77,50,176,59
"E02000172",4186,2627,385,1474,10,88,112,255,207,96,1559,709,104,180,452,114
"E02000173",3569,2823,157,1873,19,187,138,339,69,41,746,492,88,39,75,52
"E02000174",3822,2731,293,1585,12,103,114,412,145,67,1091,531,88,85,281,106
"E02000175",4277,3378,208,2326,19,138,121,352,154,60,899,450,103,54,208,84
"E02000176",3261,2572,142,1671,17,157,141,355,56,33,689,466,53,24,90,56
"E02000177",3865,2545,324,1480,10,92,139,278,157,65,1320,734,93,141,259,93
"E02000178",4280,3077,350,1984,21,75,120,285,178,64,1203,569,111,91,317,115
"E02000179",2870,2076,185,1185,23,124,126,280,123,30,794,422,81,71,132,88
"E02000180",3394,2492,299,1366,21,121,132,329,132,92,902,411,117,75,210,89
"E02000181",3657,2939,164,2056,17,156,121,305,79,41,718,448,63,52,91,64
"E02000182",2963,2094,174,1323,15,122,111,220,90,39,869,499,108,76,103,83
"E02000183",3881,2845,201,1602,27,231,172,465,105,42,1036,643,79,54,184,76
"E02000184",3655,2547,356,1391,23,68,103,296,184,126,1108,443,176,107,281,101
"E02000185",3938,2578,356,1515,13,56,96,255,209,78,1360,754,107,103,269,127
"E02000186",3099,2274,206,1358,17,112,98,292,92,99,825,370,175,55,160,65
"E02000187",3290,1943,385,1026,12,47,64,132,156,121,1347,569,198,114,347,119
"E02000188",3170,1989,340,1071,18,42,81,139,157,141,1181,512,251,74,238,106
"E02000189",2253,1471,244,695,10,43,80,126,153,120,782,347,203,49,122,61
"E02000190",3181,1980,250,1060,14,56,127,195,143,135,1201,506,408,32,181,74
"E02000191",2868,1857,156,1094,10,119,85,191,68,134,1011,343,498,17,102,51
"E02000192",3375,2359,265,1329,21,127,83,310,174,50,1016,466,159,93,213,85
"E02000193",3850,2712,245,1611,13,145,117,368,100,113,1138,527,364,37,145,65
