"GeographyCode","QS417EW0001","QS417EW0002","QS417EW0003"
"E00004120",154,143,11
"E00004121",123,118,5
"E00004122",112,103,9
"E00004123",119,108,11
"E00004124",103,100,3
"E00004125",189,178,11
"E00004126",150,144,6
"E00004127",125,124,1
"E00004128",183,161,22
"E00004129",150,142,8
"E00004130",131,128,3
"E00004131",123,119,4
"E00004132",97,92,5
"E00004133",127,118,9
"E00004134",109,100,9
"E00004135",116,105,11
"E00004136",116,110,6
"E00004137",154,147,7
"E00004138",148,142,6
"E00004139",150,140,10
"E00004140",119,111,8
"E00004141",121,114,7
"E00004142",139,133,6
"E00004143",132,126,6
"E00004144",110,102,8
"E00004145",114,110,4
"E00004146",135,126,9
"E00004147",132,126,6
"E00004148",115,106,9
"E00004149",157,149,8
"E00004150",153,147,6
"E00004151",154,148,6
"E00004152",124,113,11
"E00004153",111,108,3
"E00004154",130,122,8
"E00004155",111,103,8
"E00004156",132,126,6
"E00004157",104,94,10
"E00004158",130,124,6
"E00004159",162,160,2
"E00004160",103,103,0
"E00004161",103,96,7
"E00004162",133,128,5
"E00004163",173,163,10
"E00004164",162,160,2
"E00004165",156,146,10
"E00004166",158,157,1
"E00004167",110,99,11
"E00004168",118,109,9
"E00004169",178,149,29
"E00004172",155,148,7
"E00004173",147,127,20
"E00004174",134,131,3
"E00004175",132,128,4
"E00004177",176,74,102
"E00004179",191,190,1
"E00004180",133,128,5
"E00004181",215,212,3
"E00004182",87,76,11
"E00004183",106,106,0
"E00004184",114,112,2
"E00004185",176,171,5
"E00004187",250,226,24
"E00004188",122,109,13
"E00004189",128,118,10
"E00004190",497,384,113
"E00004193",125,119,6
"E00004194",164,144,20
"E00004195",165,133,32
"E00004196",112,101,11
"E00004197",137,116,21
"E00004198",196,182,14
"E00004199",182,163,19
"E00004200",150,136,14
"E00004201",157,144,13
"E00004202",176,160,16
"E00004203",174,164,10
"E00004204",166,149,17
"E00004205",159,145,14
"E00004206",127,127,0
"E00004207",129,128,1
"E00004208",127,125,2
"E00004209",116,113,3
"E00004210",127,126,1
"E00004211",127,124,3
"E00004212",139,134,5
"E00004213",172,167,5
"E00004214",260,243,17
"E00004215",134,129,5
"E00004216",173,146,27
"E00004217",150,141,9
"E00004218",133,131,2
"E00004219",206,190,16
"E00004220",87,87,0
"E00004221",118,111,7
"E00004222",122,109,13
"E00004223",119,116,3
"E00004224",171,147,24
"E00004225",213,195,18
"E00004226",131,119,12
"E00004227",154,145,9
"E00004228",116,107,9
"E00004229",215,174,41
"E00004230",134,130,4
"E00004231",155,142,13
"E00004232",139,132,7
"E00004233",131,124,7
"E00004234",136,124,12
"E00004235",177,163,14
"E00004236",158,150,8
"E00004237",129,123,6
"E00004238",140,126,14
"E00004239",114,111,3
"E00004240",141,136,5
"E00004241",148,133,15
"E00004242",118,105,13
"E00004243",116,110,6
"E00004244",100,100,0
"E00004245",164,163,1
"E00004246",129,121,8
"E00004247",164,156,8
"E00004248",209,207,2
"E00004249",121,114,7
"E00004250",127,127,0
"E00004251",104,95,9
"E00004252",117,115,2
"E00004253",135,132,3
"E00004254",119,119,0
"E00004255",130,128,2
"E00004256",155,149,6
"E00004257",117,113,4
"E00004258",118,111,7
"E00004259",105,104,1
"E00004260",137,136,1
"E00004261",116,114,2
"E00004262",114,114,0
"E00004263",123,121,2
"E00004264",180,176,4
"E00004265",118,112,6
"E00004266",158,156,2
"E00004268",144,142,2
"E00004269",121,121,0
"E00004270",206,189,17
"E00004271",177,142,35
"E00004272",119,113,6
"E00004273",164,159,5
"E00004274",130,130,0
"E00004275",110,104,6
"E00004276",122,122,0
"E00004277",140,135,5
"E00004278",104,102,2
"E00004279",144,134,10
"E00004280",117,108,9
"E00004281",120,115,5
"E00004282",155,149,6
"E00004283",142,137,5
"E00004284",140,128,12
"E00004285",154,144,10
"E00004286",163,158,5
