"GeographyCode","QS106EW0001","QS106EW0002","QS106EW0003","QS106EW0004"
"E01000842",1444,1300,63,81
"E01000843",1678,1487,91,100
"E01000844",1772,1558,106,108
"E01000845",1464,1300,78,86
"E01000846",1501,1407,52,42
"E01000847",1686,1553,34,99
"E01000848",1588,1352,89,147
"E01000849",1569,1389,91,89
"E01000850",1694,1236,259,199
"E01000851",2383,1322,718,343
"E01000852",1587,825,356,406
"E01000853",1631,1453,81,97
"E01000854",1833,1179,260,394
"E01000855",1764,1295,256,213
"E01000856",1645,1511,99,35
"E01000857",1447,1257,100,90
"E01000858",1861,1718,77,66
"E01000859",1586,1357,124,105
"E01000860",1307,1109,86,112
"E01000861",1574,1331,170,73
"E01000862",1712,1356,165,191
"E01000863",1481,1260,127,94
"E01000864",1537,1353,111,73
"E01000865",1505,967,365,173
"E01000866",2030,1799,140,91
"E01000867",1608,1416,118,74
"E01000868",1442,1376,42,24
"E01000869",2110,1807,189,114
"E01000870",1693,1553,84,56
"E01000871",1664,1485,97,82
"E01000872",1902,1746,76,80
"E01000873",1639,1468,90,81
"E01000874",1559,1368,81,110
"E01000875",1654,1482,99,73
"E01000876",1748,1636,65,47
"E01000877",1574,1432,76,66
"E01000878",1624,1184,271,169
"E01000879",1458,1187,140,131
"E01000880",1602,1375,70,157
"E01000881",1510,1274,96,140
"E01000882",1513,1276,85,152
"E01000883",1326,1166,57,103
"E01000884",1469,1233,85,151
"E01000885",1484,1241,69,174
"E01000886",1445,1306,88,51
"E01000887",1486,1364,61,61
"E01000888",1605,1487,64,54
"E01000889",1670,1569,73,28
"E01000890",1640,1562,50,28
"E01000891",1575,1469,87,19
"E01000892",1843,1649,86,108
"E01000893",1566,1339,117,110
"E01000894",1389,1180,100,109
"E01000895",1630,1414,125,91
"E01000896",1692,1444,132,116
"E01000897",1597,1353,103,141
"E01000898",1729,1508,132,89
"E01000899",1667,1382,122,163
"E01000900",1801,1696,67,38
"E01000901",1977,1811,90,76
"E01000902",1451,1375,46,30
"E01000903",1439,1295,72,72
"E01000904",2120,1960,100,60
"E01000905",2044,1931,83,30
"E01000906",1532,1384,70,78
"E01000907",1430,1347,48,35
"E01000908",1581,1459,77,45
"E01000909",1614,1395,145,74
"E01000910",1472,1304,109,59
"E01000911",1559,1433,68,58
"E01000912",1589,1472,80,37
"E01000913",1710,1456,133,121
"E01000914",1762,1330,205,227
"E01000915",1527,1403,57,67
"E01000916",1796,1543,113,140
"E01000917",1888,1732,97,59
"E01000918",2090,1628,251,211
"E01000919",2014,1532,222,260
"E01000920",1946,1628,193,125
"E01000921",1966,1769,119,78
"E01000922",1547,1297,212,38
"E01000923",1494,1355,93,46
"E01000924",1637,1479,105,53
"E01000925",1563,1471,54,38
"E01000926",1791,1638,123,30
"E01000927",1738,1549,135,54
"E01000928",1681,1581,71,29
"E01000929",1675,1589,38,48
"E01000930",1910,1759,68,83
"E01000931",1910,1802,49,59
"E01000932",1838,1729,68,41
"E01000933",1671,1512,95,64
"E01000934",1619,1517,48,54
"E01000935",1415,1341,32,42
"E01000936",1839,1401,257,181
"E01000937",1504,946,245,313
"E01000938",1752,1454,204,94
"E01000939",1223,1078,85,60
"E01000940",1130,978,47,105
"E01000941",1230,1140,50,40
"E01000942",2111,1058,624,429
"E01000943",1054,788,107,159
"E01000944",1899,1351,351,197
"E01000945",1821,1253,365,203
"E01000946",1516,1260,121,135
"E01000947",1954,1655,190,109
"E01000948",1736,1486,114,136
"E01000949",1633,1485,99,49
"E01000950",1431,1286,87,58
"E01000951",1538,1352,120,66
"E01000952",1729,1518,131,80
"E01000953",1643,1469,107,67
"E01000954",1656,1562,53,41
"E01000955",1595,1388,90,117
"E01000956",1532,1330,96,106
"E01000957",1729,1567,106,56
"E01000958",2264,1870,228,166
"E01000959",1670,1479,128,63
"E01000960",1774,1620,76,78
"E01000961",1591,1450,43,98
"E01000962",1592,1433,80,79
"E01000963",1923,1639,41,243
"E01000964",1577,1440,61,76
"E01000965",1522,1391,50,81
"E01000966",1512,1342,77,93
"E01000967",1409,1188,80,141
"E01000968",1505,1373,62,70
"E01000969",2032,1818,110,104
"E01000970",1444,1308,73,63
"E01000971",1478,1373,53,52
"E01000972",2009,1878,69,62
"E01000973",1885,1761,75,49
"E01000974",1707,1570,88,49
