"GeographyCode","QS303EW0001","QS303EW0002","QS303EW0003","QS303EW0004"
"E01000842",1444,64,83,1297
"E01000843",1678,76,80,1522
"E01000844",1772,68,92,1612
"E01000845",1464,92,65,1307
"E01000846",1501,130,119,1252
"E01000847",1686,107,110,1469
"E01000848",1588,65,84,1439
"E01000849",1569,77,89,1403
"E01000850",1694,85,94,1515
"E01000851",2383,66,101,2216
"E01000852",1587,63,96,1428
"E01000853",1631,218,196,1217
"E01000854",1833,101,116,1616
"E01000855",1764,61,140,1563
"E01000856",1645,149,136,1360
"E01000857",1447,104,116,1227
"E01000858",1861,197,160,1504
"E01000859",1586,69,94,1423
"E01000860",1307,112,130,1065
"E01000861",1574,104,141,1329
"E01000862",1712,62,95,1555
"E01000863",1481,90,110,1281
"E01000864",1537,84,109,1344
"E01000865",1505,48,66,1391
"E01000866",2030,187,152,1691
"E01000867",1608,139,136,1333
"E01000868",1442,151,145,1146
"E01000869",2110,131,141,1838
"E01000870",1693,171,135,1387
"E01000871",1664,80,112,1472
"E01000872",1902,125,129,1648
"E01000873",1639,61,104,1474
"E01000874",1559,46,83,1430
"E01000875",1654,105,116,1433
"E01000876",1748,192,135,1421
"E01000877",1574,71,107,1396
"E01000878",1624,65,108,1451
"E01000879",1458,55,92,1311
"E01000880",1602,56,70,1476
"E01000881",1510,82,92,1336
"E01000882",1513,33,64,1416
"E01000883",1326,58,86,1182
"E01000884",1469,42,74,1353
"E01000885",1484,112,78,1294
"E01000886",1445,87,94,1264
"E01000887",1486,97,92,1297
"E01000888",1605,96,116,1393
"E01000889",1670,187,180,1303
"E01000890",1640,248,196,1196
"E01000891",1575,230,167,1178
"E01000892",1843,131,132,1580
"E01000893",1566,63,89,1414
"E01000894",1389,47,68,1274
"E01000895",1630,132,117,1381
"E01000896",1692,66,89,1537
"E01000897",1597,65,85,1447
"E01000898",1729,136,127,1466
"E01000899",1667,73,87,1507
"E01000900",1801,174,157,1470
"E01000901",1977,193,166,1618
"E01000902",1451,138,148,1165
"E01000903",1439,112,114,1213
"E01000904",2120,197,180,1743
"E01000905",2044,236,216,1592
"E01000906",1532,86,126,1320
"E01000907",1430,155,133,1142
"E01000908",1581,161,144,1276
"E01000909",1614,114,131,1369
"E01000910",1472,65,116,1291
"E01000911",1559,93,145,1321
"E01000912",1589,155,167,1267
"E01000913",1710,70,94,1546
"E01000914",1762,102,129,1531
"E01000915",1527,147,130,1250
"E01000916",1796,113,131,1552
"E01000917",1888,189,206,1493
"E01000918",2090,161,203,1726
"E01000919",2014,112,141,1761
"E01000920",1946,125,161,1660
"E01000921",1966,86,122,1758
"E01000922",1547,93,119,1335
"E01000923",1494,163,115,1216
"E01000924",1637,110,90,1437
"E01000925",1563,141,167,1255
"E01000926",1791,89,91,1611
"E01000927",1738,108,123,1507
"E01000928",1681,169,143,1369
"E01000929",1675,160,155,1360
"E01000930",1910,199,222,1489
"E01000931",1910,185,187,1538
"E01000932",1838,138,154,1546
"E01000933",1671,129,120,1422
"E01000934",1619,205,144,1270
"E01000935",1415,120,111,1184
"E01000936",1839,110,116,1613
"E01000937",1504,77,72,1355
"E01000938",1752,101,106,1545
"E01000939",1223,90,124,1009
"E01000940",1130,88,94,948
"E01000941",1230,142,149,939
"E01000942",2111,69,117,1925
"E01000943",1054,54,74,926
"E01000944",1899,130,123,1646
"E01000945",1821,86,131,1604
"E01000946",1516,91,111,1314
"E01000947",1954,160,130,1664
"E01000948",1736,138,161,1437
"E01000949",1633,131,183,1319
"E01000950",1431,145,127,1159
"E01000951",1538,153,156,1229
"E01000952",1729,196,172,1361
"E01000953",1643,229,152,1262
"E01000954",1656,154,153,1349
"E01000955",1595,164,144,1287
"E01000956",1532,119,126,1287
"E01000957",1729,144,127,1458
"E01000958",2264,144,146,1974
"E01000959",1670,194,178,1298
"E01000960",1774,85,131,1558
"E01000961",1591,138,122,1331
"E01000962",1592,45,63,1484
"E01000963",1923,142,122,1659
"E01000964",1577,97,114,1366
"E01000965",1522,94,86,1342
"E01000966",1512,45,61,1406
"E01000967",1409,71,95,1243
"E01000968",1505,100,80,1325
"E01000969",2032,74,85,1873
"E01000970",1444,59,62,1323
"E01000971",1478,85,80,1313
"E01000972",2009,202,157,1650
"E01000973",1885,121,121,1643
"E01000974",1707,159,128,1420
