"GeographyCode","QS803EW0001","QS803EW0002","QS803EW0003","QS803EW0004","QS803EW0005","QS803EW0006"
"E02000166",7924,5703,153,194,309,1565
"E02000167",7944,4917,489,589,519,1430
"E02000168",8172,5880,192,294,328,1478
"E02000169",7637,4215,689,567,579,1587
"E02000170",8338,4823,514,604,685,1712
"E02000171",7818,5095,348,427,454,1494
"E02000172",10147,6595,473,372,520,2187
"E02000173",7675,3693,784,710,724,1764
"E02000174",8714,5520,348,508,487,1851
"E02000175",8848,4953,655,735,730,1775
"E02000176",6373,3251,585,633,611,1293
"E02000177",8948,5762,362,347,531,1946
"E02000178",8857,4838,519,599,766,2135
"E02000179",6329,3573,366,371,485,1534
"E02000180",8202,5119,602,323,485,1673
"E02000181",7708,4191,572,721,685,1539
"E02000182",6697,3006,812,688,614,1577
"E02000183",7913,4967,461,465,479,1541
"E02000184",8882,5180,552,550,608,1992
"E02000185",8290,4242,475,531,721,2321
"E02000186",6687,3689,573,593,497,1335
"E02000187",8155,4698,467,370,496,2124
"E02000188",8322,4566,579,599,591,1987
"E02000189",5944,2937,662,644,428,1273
"E02000190",7530,3791,1288,544,487,1420
"E02000191",7497,3434,1253,859,668,1283
"E02000192",7157,4123,425,469,458,1682
"E02000193",7630,3934,857,778,619,1442
