"GeographyCode","QS701EW0001","QS701EW0002","QS701EW0003","QS701EW0004","QS701EW0005","QS701EW0006","QS701EW0007","QS701EW0008","QS701EW0009","QS701EW0010","QS701EW0011","QS701EW0012","QS701EW0013"
"E01000935",1000,25,154,38,162,0,7,81,3,35,82,7,406
"E01000936",1469,42,109,37,87,2,3,54,11,57,203,7,857
"E01000937",1322,37,97,38,60,4,1,39,3,30,201,3,809
"E01000938",1354,31,197,43,150,3,11,47,5,69,221,24,553
"E01000939",897,22,88,34,80,1,0,28,1,13,115,9,506
"E01000940",875,14,78,26,65,1,2,21,4,31,145,7,481
"E01000941",933,28,105,36,87,2,3,46,4,23,132,10,457
"E01000942",1957,68,174,35,92,3,2,29,7,49,225,10,1263
"E01000943",923,29,125,33,54,3,5,17,2,35,189,7,424
"E01000944",1552,20,135,30,151,1,2,58,2,20,138,7,988
"E01000945",1509,31,197,34,100,1,7,41,7,33,189,27,842
"E01000946",1199,60,217,32,115,15,2,62,9,32,201,11,443
"E01000947",1715,64,284,57,183,4,6,72,6,68,264,6,701
"E01000948",1380,91,223,45,141,8,8,78,16,93,196,6,475
"E01000949",1201,14,181,35,190,4,5,56,6,49,202,7,452
"E01000950",1041,16,101,30,137,7,5,49,3,24,112,1,556
"E01000951",1106,10,109,27,114,2,5,51,5,28,142,4,609
"E01000952",1318,35,155,34,149,9,5,70,0,35,155,7,664
"E01000953",1256,25,135,44,115,8,3,61,3,33,162,5,662
"E01000954",1097,8,99,31,177,0,3,54,6,15,129,5,570
"E01000955",1141,15,109,30,110,6,6,45,4,30,164,4,618
"E01000956",1150,32,121,34,151,3,10,46,2,24,160,3,564
"E01000957",1379,44,201,50,231,5,7,64,5,62,152,8,550
"E01000958",1820,30,251,49,264,4,6,91,8,61,192,13,851
"E01000959",1252,24,115,45,170,5,13,66,7,28,124,5,650
"E01000960",1380,78,528,45,80,6,7,65,7,34,65,11,454
"E01000961",1123,55,255,33,95,3,3,74,9,18,73,4,501
"E01000962",1330,67,644,68,68,3,12,76,1,52,80,5,254
"E01000963",1416,103,426,34,82,10,7,100,9,17,56,9,563
"E01000964",1220,67,443,66,59,6,7,77,4,38,70,5,378
"E01000965",1243,53,451,91,103,2,19,112,4,33,57,3,315
"E01000966",1237,92,516,62,63,5,15,104,8,52,68,12,240
"E01000967",1031,94,247,21,58,11,15,113,6,32,72,15,347
"E01000968",1275,57,563,93,56,4,7,87,3,51,45,7,302
"E01000969",1720,70,725,227,63,3,16,135,5,45,70,10,351
"E01000970",1331,48,580,185,70,4,8,98,10,54,37,4,233
"E01000971",1177,71,417,148,59,5,9,99,7,38,43,7,274
"E01000972",1611,47,475,106,92,4,7,90,6,56,89,13,626
"E01000973",1613,51,614,156,88,3,11,101,4,42,78,1,464
"E01000974",1414,38,464,101,92,3,11,107,3,45,74,2,474
