"GeographyCode","QS612EW0001","QS612EW0002","QS612EW0003","QS612EW0004","QS612EW0005","QS612EW0006","QS612EW0007","QS612EW0008","QS612EW0009","QS612EW0010","QS612EW0011","QS612EW0012"
"E01000941",933,476,457,9,52,28,10,19,10,46,92,191
"E01000942",1957,694,1263,62,380,64,38,16,6,45,58,594
"E01000943",923,499,424,17,84,42,21,11,10,17,37,185
"E01000944",1552,564,988,43,127,175,29,17,15,43,76,463
"E01000945",1509,667,842,45,211,58,26,12,11,20,64,395
"E01000946",1199,756,443,17,61,29,20,15,10,44,81,166
"E01000947",1715,1014,701,28,115,62,78,12,13,51,79,263
"E01000948",1380,905,475,14,53,42,16,21,16,61,115,137
"E01000949",1201,749,452,23,69,31,26,11,12,40,67,173
"E01000950",1041,485,556,15,69,31,16,8,12,35,79,291
"E01000951",1106,497,609,24,110,35,25,14,16,45,81,259
"E01000952",1318,654,664,19,116,52,25,19,11,37,111,274
"E01000953",1256,594,662,17,73,34,21,25,10,69,132,281
"E01000954",1097,527,570,17,65,30,26,17,13,51,75,276
"E01000955",1141,523,618,18,87,50,23,23,18,34,100,265
"E01000956",1150,586,564,24,86,40,26,23,7,36,65,257
"E01000957",1379,829,550,23,75,42,36,11,10,45,89,219
"E01000958",1820,969,851,31,177,43,35,12,15,57,90,391
"E01000959",1252,602,650,21,103,31,33,18,15,67,116,246
"E01000960",1380,926,454,10,68,39,32,12,14,46,93,140
"E01000961",1123,622,501,18,52,32,29,13,15,59,74,209
"E01000962",1330,1076,254,21,51,32,14,7,7,36,37,49
"E01000963",1416,853,563,20,51,43,29,14,19,50,89,248
"E01000964",1220,842,378,16,60,36,29,15,9,43,50,120
"E01000965",1243,928,315,6,48,21,20,5,11,35,58,111
"E01000966",1237,997,240,10,44,18,19,8,14,26,48,53
"E01000967",1031,684,347,18,33,19,15,12,7,35,92,116
"E01000968",1275,973,302,7,60,36,16,12,6,34,56,75
"E01000969",1720,1369,351,20,71,38,18,6,11,39,60,88
"E01000970",1331,1098,233,7,54,19,18,8,6,28,42,51
"E01000971",1177,903,274,15,44,28,17,8,11,38,51,62
"E01000972",1611,985,626,22,84,48,24,18,12,58,130,230
"E01000973",1613,1149,464,22,71,47,18,19,9,42,75,161
"E01000974",1414,940,474,19,59,28,24,14,11,42,84,193
