"GeographyCode","KS402EW0001","KS402EW0002","KS402EW0003","KS402EW0004","KS402EW0005","KS402EW0006","KS402EW0007","KS402EW0008","KS402EW0009","KS402EW0010","KS402EW0011","KS402EW0012","KS402EW0013","KS402EW0014","KS402EW0015","KS402EW0016","KS402EW0017"
"E02000166",3537,895,700,29,1118,154,514,57,70,25.3039298840826,19.7907831495618,0.819903873338988,31.6087079445858,4.35397229290359,14.5320893412496,1.61153519932146,1.97907831495618
"E02000167",3629,1347,670,8,238,66,1152,59,89,37.1176632681179,18.462386332323,0.220446403968035,6.55828051804905,1.81868283273629,31.7442821713971,1.62579222926426,2.45246624414439
"E02000168",3535,744,741,28,577,457,900,43,45,21.046676096181,20.961810466761,0.792079207920792,16.3224893917963,12.9278642149929,25.4596888260255,1.21640735502122,1.27298444130127
"E02000169",2942,1017,614,5,170,49,973,28,86,34.5683208701564,20.8701563562203,0.169952413324269,5.77838205302515,1.66553365057784,33.0727396329028,0.951733514615908,2.92318150917743
"E02000170",3685,781,862,24,234,182,1504,50,48,21.1940298507463,23.3921302578019,0.651289009497965,6.35006784260516,4.93894165535957,40.8141112618725,1.35685210312076,1.30257801899593
"E02000171",3502,772,745,31,614,292,938,53,57,22.0445459737293,21.2735579668761,0.885208452312964,17.5328383780697,8.33809251856082,26.7846944603084,1.51342090234152,1.62764134780126
"E02000172",4186,404,507,64,2019,446,658,37,51,9.65121834687052,12.111801242236,1.52890587673196,48.2322025800287,10.6545628284759,15.7190635451505,0.883898709985667,1.21834687052078
"E02000173",3569,875,536,12,289,234,1480,59,84,24.5166713365088,15.0182123844214,0.336228635472121,8.09750630428691,6.55645839170636,41.4681983748949,1.6531241244046,2.35360044830485
"E02000174",3822,525,650,21,1295,286,933,57,55,13.7362637362637,17.0068027210884,0.549450549450549,33.8827838827839,7.48299319727891,24.4113029827316,1.49136577708006,1.43903715332287
"E02000175",4277,649,744,19,444,426,1888,49,58,15.174187514613,17.3953705868599,0.44423661444938,10.3811082534487,9.960252513444,44.1430909516016,1.14566284779051,1.35609071779285
"E02000176",3261,873,620,9,114,172,1369,42,62,26.7709291628335,19.0125728304201,0.275988960441582,3.49586016559338,5.27445568843913,41.9809874271696,1.28794848206072,1.90125728304201
"E02000177",3865,477,536,22,1736,162,841,53,38,12.3415265200517,13.8680465717982,0.569210866752911,44.9159120310479,4.19146183699871,21.7593790426908,1.37128072445019,0.983182406209573
"E02000178",4280,432,721,25,931,470,1608,49,44,10.0934579439252,16.8457943925234,0.58411214953271,21.7523364485981,10.981308411215,37.5700934579439,1.14485981308411,1.02803738317757
"E02000179",2870,612,437,6,815,101,821,40,38,21.3240418118467,15.2264808362369,0.209059233449477,28.397212543554,3.5191637630662,28.6062717770035,1.39372822299652,1.32404181184669
"E02000180",3394,441,545,16,903,395,972,82,40,12.9935179728933,16.0577489687684,0.47142015321155,26.6057748968768,11.6381850324101,28.6387743076017,2.41602828520919,1.17855038302887
"E02000181",3657,742,812,9,320,242,1428,62,42,20.2898550724638,22.2039923434509,0.246103363412633,8.75034181022696,6.61744599398414,39.0484003281378,1.69537872573147,1.14848236259229
"E02000182",2963,699,434,13,413,130,1111,47,116,23.5909551130611,14.6473169085386,0.438744515693554,13.9385757678029,4.38744515693554,37.4957813027337,1.58623017212285,3.91495106311171
"E02000183",3881,890,625,20,476,654,1047,106,63,22.9322339603195,16.1040968822468,0.515331100231899,12.2648801855192,16.8513269775831,26.9775830971399,2.73125483122906,1.62329296573048
"E02000184",3655,313,427,124,1350,324,1018,68,31,8.56361149110807,11.6826265389877,3.39261285909713,36.9357045143639,8.86456908344733,27.8522571819425,1.86046511627907,0.848153214774282
"E02000185",3938,367,448,65,1295,495,1149,59,60,9.31945149822245,11.3763331640427,1.65058405281869,32.8847130523108,12.5698324022346,29.1772473336719,1.49822244794312,1.52361604875571
"E02000186",3099,497,363,25,519,346,1175,97,77,16.0374314294934,11.7134559535334,0.806711842529848,16.7473378509197,11.1648919006131,37.9154565989029,3.13004194901581,2.48467247499193
"E02000187",3290,168,228,12,1583,705,505,36,53,5.1063829787234,6.93009118541034,0.364741641337386,48.1155015197568,21.4285714285714,15.3495440729483,1.09422492401216,1.61094224924012
"E02000188",3170,217,218,19,1382,575,672,47,40,6.84542586750789,6.87697160883281,0.599369085173502,43.596214511041,18.1388012618297,21.198738170347,1.48264984227129,1.26182965299685
"E02000189",2253,145,140,12,612,647,595,41,61,6.4358632933866,6.21393697292499,0.532623169107856,27.1637816245007,28.7172658677319,26.4092321349312,1.81979582778518,2.7075011096316
"E02000190",3181,395,269,6,996,395,967,71,82,12.4174787802578,8.45646023263125,0.188619930839359,31.3109085193335,12.4174787802578,30.3992455202766,2.23200251493241,2.57780572147124
"E02000191",2868,432,283,12,399,264,1261,126,91,15.0627615062762,9.86750348675035,0.418410041841004,13.9121338912134,9.20502092050209,43.9679218967922,4.39330543933054,3.17294281729428
"E02000192",3375,316,360,6,1132,576,856,62,67,9.36296296296296,10.6666666666667,0.177777777777778,33.5407407407407,17.0666666666667,25.362962962963,1.83703703703704,1.98518518518519
"E02000193",3850,619,489,32,499,577,1371,148,115,16.0779220779221,12.7012987012987,0.831168831168831,12.961038961039,14.987012987013,35.6103896103896,3.84415584415584,2.98701298701299
