"GeographyCode","KS206EW0001","KS206EW0002","KS206EW0003","KS206EW0004","KS206EW0005","KS206EW0006","KS206EW0007","KS206EW0008","KS206EW0009"
"E00004120",143,112,18,0,13,78.3216783216783,12.5874125874126,0,9.09090909090909
"E00004121",118,90,16,2,10,76.271186440678,13.5593220338983,1.69491525423729,8.47457627118644
"E00004122",103,72,11,1,19,69.9029126213592,10.6796116504854,0.970873786407767,18.4466019417476
"E00004123",108,81,17,1,9,75,15.7407407407407,0.925925925925926,8.33333333333333
"E00004124",100,81,5,0,14,81,5,0,14
"E00004125",178,144,8,2,24,80.8988764044944,4.49438202247191,1.12359550561798,13.4831460674157
"E00004126",144,107,11,0,26,74.3055555555556,7.63888888888889,0,18.0555555555556
"E00004127",124,94,16,3,11,75.8064516129032,12.9032258064516,2.41935483870968,8.87096774193548
"E00004128",161,127,10,3,21,78.8819875776398,6.2111801242236,1.86335403726708,13.0434782608696
"E00004129",142,106,18,0,18,74.6478873239437,12.6760563380282,0,12.6760563380282
"E00004130",128,94,15,0,19,73.4375,11.71875,0,14.84375
"E00004131",119,87,8,1,23,73.109243697479,6.72268907563025,0.840336134453782,19.327731092437
"E00004132",92,69,13,1,9,75,14.1304347826087,1.08695652173913,9.78260869565217
"E00004133",118,91,15,1,11,77.1186440677966,12.7118644067797,0.847457627118644,9.32203389830508
"E00004134",100,79,9,1,11,79,9,1,11
"E00004135",105,82,6,0,17,78.0952380952381,5.71428571428571,0,16.1904761904762
"E00004136",110,78,14,2,16,70.9090909090909,12.7272727272727,1.81818181818182,14.5454545454545
"E00004137",147,115,9,2,21,78.2312925170068,6.12244897959184,1.36054421768707,14.2857142857143
"E00004138",142,106,9,1,26,74.6478873239437,6.33802816901408,0.704225352112676,18.3098591549296
"E00004139",140,65,21,18,36,46.4285714285714,15,12.8571428571429,25.7142857142857
"E00004140",111,77,19,1,14,69.3693693693694,17.1171171171171,0.900900900900901,12.6126126126126
"E00004141",114,94,11,1,8,82.4561403508772,9.64912280701754,0.87719298245614,7.01754385964912
"E00004142",133,102,11,2,18,76.6917293233083,8.27067669172932,1.50375939849624,13.5338345864662
"E00004143",126,98,11,1,16,77.7777777777778,8.73015873015873,0.793650793650794,12.6984126984127
"E00004144",102,82,13,2,5,80.3921568627451,12.7450980392157,1.96078431372549,4.90196078431373
"E00004145",110,83,13,1,13,75.4545454545455,11.8181818181818,0.909090909090909,11.8181818181818
"E00004146",126,102,10,0,14,80.9523809523809,7.93650793650794,0,11.1111111111111
"E00004147",126,103,11,0,12,81.7460317460317,8.73015873015873,0,9.52380952380952
"E00004148",106,82,6,0,18,77.3584905660377,5.66037735849057,0,16.9811320754717
"E00004149",149,115,16,1,17,77.1812080536913,10.738255033557,0.671140939597315,11.4093959731544
"E00004150",147,116,11,0,20,78.9115646258503,7.48299319727891,0,13.6054421768707
"E00004151",148,119,13,2,14,80.4054054054054,8.78378378378378,1.35135135135135,9.45945945945946
"E00004152",113,90,10,0,13,79.646017699115,8.84955752212389,0,11.5044247787611
"E00004153",108,77,13,1,17,71.2962962962963,12.037037037037,0.925925925925926,15.7407407407407
"E00004154",122,74,19,1,28,60.655737704918,15.5737704918033,0.819672131147541,22.9508196721311
"E00004155",103,71,15,4,13,68.9320388349515,14.5631067961165,3.88349514563107,12.621359223301
"E00004156",126,98,7,3,18,77.7777777777778,5.55555555555556,2.38095238095238,14.2857142857143
"E00004157",94,68,7,2,17,72.3404255319149,7.4468085106383,2.12765957446809,18.0851063829787
"E00004158",124,90,12,3,19,72.5806451612903,9.67741935483871,2.41935483870968,15.3225806451613
"E00004159",160,93,22,14,31,58.125,13.75,8.75,19.375
"E00004160",103,74,12,8,9,71.8446601941748,11.6504854368932,7.76699029126214,8.7378640776699
"E00004161",96,65,16,1,14,67.7083333333333,16.6666666666667,1.04166666666667,14.5833333333333
"E00004162",128,81,14,2,31,63.28125,10.9375,1.5625,24.21875
"E00004163",163,118,23,2,20,72.3926380368098,14.1104294478528,1.22699386503067,12.2699386503067
"E00004164",160,89,31,13,27,55.625,19.375,8.125,16.875
"E00004165",146,83,20,11,32,56.8493150684932,13.6986301369863,7.53424657534247,21.9178082191781
"E00004166",157,95,18,20,24,60.5095541401274,11.4649681528662,12.7388535031847,15.2866242038217
"E00004167",99,78,11,2,8,78.7878787878788,11.1111111111111,2.02020202020202,8.08080808080808
"E00004168",109,87,10,0,12,79.8165137614679,9.1743119266055,0,11.0091743119266
"E00004169",149,104,18,1,26,69.7986577181208,12.0805369127517,0.671140939597315,17.4496644295302
"E00004172",148,103,22,1,22,69.5945945945946,14.8648648648649,0.675675675675676,14.8648648648649
"E00004173",127,82,14,2,29,64.5669291338583,11.0236220472441,1.5748031496063,22.8346456692913
"E00004174",131,75,20,3,33,57.2519083969466,15.2671755725191,2.29007633587786,25.1908396946565
"E00004175",128,80,13,3,32,62.5,10.15625,2.34375,25
"E00004177",74,49,5,0,20,66.2162162162162,6.75675675675676,0,27.027027027027
"E00004179",190,139,19,2,30,73.1578947368421,10,1.05263157894737,15.7894736842105
"E00004180",128,61,18,7,42,47.65625,14.0625,5.46875,32.8125
"E00004181",212,158,15,3,36,74.5283018867924,7.07547169811321,1.41509433962264,16.9811320754717
"E00004182",76,58,6,3,9,76.3157894736842,7.89473684210526,3.94736842105263,11.8421052631579
"E00004183",106,89,7,1,9,83.9622641509434,6.60377358490566,0.943396226415094,8.49056603773585
"E00004184",112,84,12,2,14,75,10.7142857142857,1.78571428571429,12.5
