"GeographyCode","QS210EW0001","QS210EW0002","QS210EW0003","QS210EW0004","QS210EW0005","QS210EW0006","QS210EW0007","QS210EW0008","QS210EW0009","QS210EW0010","QS210EW0011","QS210EW0012","QS210EW0013","QS210EW0014","QS210EW0015","QS210EW0016","QS210EW0017","QS210EW0018","QS210EW0019","QS210EW0020","QS210EW0021","QS210EW0022","QS210EW0023","QS210EW0024","QS210EW0025","QS210EW0026","QS210EW0027","QS210EW0028","QS210EW0029","QS210EW0030","QS210EW0031","QS210EW0032","QS210EW0033","QS210EW0034","QS210EW0035","QS210EW0036","QS210EW0037","QS210EW0038","QS210EW0039","QS210EW0040","QS210EW0041","QS210EW0042","QS210EW0043","QS210EW0044","QS210EW0045","QS210EW0046","QS210EW0047","QS210EW0048","QS210EW0049","QS210EW0050","QS210EW0051","QS210EW0052","QS210EW0053","QS210EW0054","QS210EW0055","QS210EW0056","QS210EW0057","QS210EW0058","QS210EW0059"
"E01000863",1481,490,18,14,42,91,4,9,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,494,478,2,3,0,0,0,11,0,319
"E01000864",1537,482,14,18,18,131,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1,2,1,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,2,576,559,3,6,0,0,0,8,0,278
"E01000865",1505,424,23,31,21,55,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,588,572,3,2,0,0,2,9,0,350
"E01000866",2030,652,8,14,47,200,1,13,0,2,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,689,667,4,4,0,2,1,11,0,406
"E01000867",1608,484,30,18,13,337,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,413,1,1,0,1,0,9,0,298
"E01000868",1442,519,22,4,12,319,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,293,288,0,1,0,0,1,3,0,270
"E01000869",2110,630,27,20,33,222,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,751,727,4,4,0,0,1,15,0,417
"E01000870",1693,627,14,3,28,139,2,13,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,2,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,538,525,0,7,0,0,1,5,0,329
"E01000871",1664,539,18,30,215,195,6,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,2,319,311,0,3,0,0,2,3,0,334
"E01000872",1902,750,31,24,26,149,6,8,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,478,467,3,1,0,0,1,6,0,430
