"GeographyCode","QS111EW0001","QS111EW0002","QS111EW0003","QS111EW0004","QS111EW0005","QS111EW0006","QS111EW0007","QS111EW0008","QS111EW0009","QS111EW0010","QS111EW0011","QS111EW0012","QS111EW0013","QS111EW0014","QS111EW0015","QS111EW0016","QS111EW0017"
"E00004736",130,54,12,39,3,43,19,18,6,18,13,4,1,15,9,6,0
"E00004738",113,32,4,22,6,39,10,19,10,24,9,12,3,18,11,6,1
"E00004739",131,70,10,48,12,44,12,17,15,8,3,4,1,9,6,3,0
"E00004740",99,33,1,14,18,40,5,7,28,17,4,10,3,9,3,6,0
"E00004741",132,46,10,29,7,50,17,16,17,9,2,3,4,27,9,16,2
"E00004742",185,82,5,29,48,65,32,15,18,15,6,6,3,23,14,9,0
"E00004743",136,41,4,31,6,39,7,13,19,15,6,7,2,41,15,24,2
"E00004744",126,32,7,17,8,46,12,17,17,16,6,8,2,32,16,16,0
"E00004745",127,28,9,10,9,43,16,9,18,19,11,6,2,37,19,16,2
"E00004746",152,30,8,12,10,71,29,16,26,20,7,10,3,31,20,11,0
"E00004747",132,38,6,19,13,52,16,6,30,17,6,9,2,25,14,10,1
"E00004748",151,60,26,23,11,53,23,10,20,16,7,6,3,22,15,4,3
"E00004749",178,52,11,31,10,76,16,17,43,19,8,10,1,31,9,21,1
"E00004750",144,64,9,53,2,58,13,18,27,13,6,7,0,9,2,6,1
"E00004751",147,28,10,14,4,25,11,6,8,33,22,9,2,61,52,8,1
"E00004752",127,20,1,14,5,62,13,13,36,19,11,5,3,26,12,13,1
"E00004753",125,40,8,20,12,46,15,11,20,11,8,1,2,28,13,14,1
"E00004754",134,56,9,37,10,52,22,15,15,11,4,7,0,15,6,9,0
"E00004755",111,25,2,15,8,39,14,9,16,16,8,5,3,31,16,13,2
"E00004756",112,34,3,18,13,52,25,5,22,12,7,5,0,14,7,7,0
"E00004757",116,21,1,8,12,58,10,9,39,13,4,8,1,24,12,10,2
"E00004758",80,27,3,8,16,34,5,5,24,11,3,7,1,8,4,4,0
"E00004759",104,27,8,11,8,49,19,9,21,12,10,2,0,16,7,9,0
"E00004760",104,27,8,2,17,39,17,5,17,11,7,4,0,27,20,6,1
"E00004761",136,21,3,1,17,79,28,10,41,20,9,7,4,16,9,6,1
"E00004762",133,39,20,12,7,44,17,8,19,26,17,7,2,24,20,3,1
"E00004763",110,29,8,14,7,47,13,17,17,15,8,7,0,19,15,4,0
"E00004764",93,27,3,19,5,39,18,7,14,9,4,2,3,18,9,9,0
"E00004765",102,23,11,4,8,49,16,7,26,14,6,6,2,16,12,2,2
"E00004766",121,44,11,30,3,40,20,8,12,15,8,6,1,22,14,8,0
"E00004767",142,60,14,40,6,57,21,15,21,9,3,4,2,16,12,4,0
"E00004768",99,31,6,22,3,45,17,14,14,13,2,8,3,10,7,3,0
"E00004769",151,64,25,34,5,55,30,10,15,14,9,5,0,18,14,4,0
"E00004770",91,22,7,11,4,36,10,10,16,16,8,5,3,17,6,11,0
"E00004771",117,11,2,7,2,52,11,10,31,15,4,8,3,39,12,27,0
"E00004772",124,27,5,20,2,49,12,12,25,22,9,11,2,26,17,9,0
"E00004773",133,42,19,21,2,48,20,11,17,16,7,7,2,27,20,7,0
"E00004774",108,49,14,30,5,31,8,12,11,9,4,5,0,19,10,9,0
"E00004775",113,24,4,19,1,52,18,9,25,14,5,6,3,23,13,10,0
"E00004776",138,55,5,43,7,53,15,17,21,18,9,8,1,12,5,7,0
"E00004777",115,28,9,9,10,59,13,15,31,11,2,7,2,17,9,8,0
"E00004778",105,21,7,10,4,42,14,12,16,18,8,8,2,24,13,11,0
"E00004779",142,28,15,6,7,53,14,7,32,18,8,8,2,43,23,18,2
"E00004780",124,30,3,19,8,43,11,10,22,20,6,12,2,31,20,11,0
"E00004781",134,41,7,25,9,51,19,11,21,15,5,7,3,27,12,14,1
"E00004782",114,11,3,5,3,48,12,8,28,16,6,9,1,39,24,14,1
"E00004783",124,25,6,10,9,50,7,9,34,15,7,7,1,34,13,20,1
"E00004784",121,14,5,6,3,46,12,8,26,22,15,6,1,39,22,16,1
"E00004785",123,28,5,10,13,44,10,12,22,19,9,10,0,32,17,13,2
"E00004786",107,37,17,19,1,30,11,12,7,11,5,6,0,29,14,15,0
"E00004787",145,52,19,29,4,57,25,18,14,17,8,7,2,19,12,6,1
"E00004788",125,65,22,37,6,37,13,7,17,9,7,2,0,14,10,4,0
"E00004789",87,44,10,17,17,39,12,3,24,2,1,1,0,2,0,2,0
"E00004790",130,52,25,23,4,49,18,18,13,15,4,8,3,14,9,5,0
"E00004791",106,26,8,15,3,42,9,15,18,17,8,8,1,21,10,11,0
"E00004792",117,31,12,17,2,56,14,24,18,18,7,9,2,12,6,6,0
"E00004793",121,32,10,14,8,52,15,12,25,9,3,3,3,28,18,10,0
"E00004794",198,27,7,9,11,89,23,12,54,32,6,22,4,50,18,32,0
"E00004795",101,21,5,11,5,50,18,11,21,17,5,8,4,13,7,5,1
"E00004796",132,50,15,33,2,53,18,20,15,13,7,4,2,16,8,8,0
"E00004797",143,34,9,13,12,63,19,12,32,18,10,8,0,28,15,12,1
"E00004798",111,30,6,19,5,52,15,20,17,11,3,4,4,18,11,5,2
"E00004799",142,64,20,40,4,46,11,10,25,19,8,7,4,13,6,7,0
"E00004801",133,43,4,37,2,68,23,26,19,14,7,7,0,8,5,3,0
"E00004802",108,45,11,26,8,44,15,14,15,10,2,7,1,9,5,4,0
"E00004803",82,25,4,19,2,28,11,10,7,13,10,3,0,16,11,4,1
"E00004804",113,51,15,28,8,44,26,11,7,6,4,1,1,12,5,7,0
"E00004805",96,27,5,10,12,38,10,8,20,15,10,3,2,16,6,10,0
"E00004806",124,48,19,27,2,53,15,17,21,11,4,7,0,12,7,5,0
"E00004807",109,37,11,19,7,36,8,9,19,8,3,3,2,28,14,13,1
"E00004808",93,55,16,37,2,13,3,6,4,6,1,4,1,19,8,11,0
"E00004809",117,32,9,18,5,36,10,6,20,17,7,8,2,32,16,16,0
"E00004810",126,32,1,27,4,58,15,20,23,10,6,3,1,26,10,16,0
"E00004811",122,41,8,29,4,46,15,17,14,19,7,9,3,16,12,4,0
"E00004812",160,45,21,15,9,71,23,17,31,25,8,17,0,19,8,10,1
"E00004813",174,49,18,26,5,67,18,21,28,24,12,9,3,34,16,17,1
"E00004814",124,50,17,32,1,41,24,10,7,13,7,6,0,20,13,7,0
"E00004815",242,103,38,50,15,85,29,22,34,28,11,12,5,26,15,11,0
"E00004816",131,47,24,21,2,57,30,15,12,15,8,6,1,12,7,5,0
"E00004817",112,32,11,17,4,45,13,7,25,11,8,3,0,24,11,13,0
"E00004818",138,77,51,24,2,44,28,15,1,11,8,3,0,6,2,4,0
"E00004819",138,30,6,19,5,65,17,16,32,25,6,13,6,18,6,12,0
"E00004820",136,55,21,30,4,57,17,21,19,16,10,4,2,8,4,4,0
"E00004821",109,52,23,27,2,35,18,8,9,9,8,0,1,13,7,6,0
"E00004822",130,38,2,28,8,61,12,18,31,12,3,7,2,19,12,7,0
"E00004823",180,41,11,20,10,72,22,14,36,16,10,6,0,51,34,15,2
"E00004824",130,60,22,35,3,47,31,11,5,10,9,1,0,13,7,6,0
"E00004825",110,55,23,29,3,38,21,11,6,14,7,5,2,3,2,1,0
"E00004826",125,58,17,40,1,49,23,16,10,7,4,2,1,11,3,6,2
"E00004827",168,41,13,19,9,81,36,14,31,27,19,7,1,19,13,4,2
"E00004828",133,40,15,21,4,46,19,9,18,20,15,4,1,27,14,13,0
"E00004829",109,49,19,28,2,34,15,12,7,15,7,4,4,11,7,4,0
"E00004830",139,54,22,28,4,51,17,15,19,16,9,6,1,18,12,5,1
"E00004831",117,21,6,3,12,67,28,10,29,20,13,5,2,9,5,4,0
"E00004832",147,55,18,33,4,56,17,20,19,26,12,8,6,10,3,7,0
"E00004833",156,63,9,46,8,57,25,15,17,12,8,3,1,24,13,11,0
"E00004834",185,63,15,42,6,82,26,21,35,14,9,5,0,26,14,10,2
"E00004835",167,87,26,58,3,52,27,17,8,14,7,5,2,14,9,2,3
"E00004836",171,54,24,23,7,54,26,14,14,35,10,6,19,28,21,7,0
"E00004837",191,96,21,66,9,63,28,9,26,16,11,4,1,16,10,6,0
"E00004838",131,34,9,19,6,53,28,11,14,20,14,5,1,24,13,10,1
"E00004839",178,69,27,34,8,80,45,19,16,14,11,3,0,15,11,4,0
"E00004840",117,55,18,34,3,43,16,12,15,8,3,5,0,11,4,7,0
"E00004841",133,47,12,28,7,45,15,9,21,15,9,4,2,26,15,11,0
"E00004842",116,44,7,28,9,39,11,14,14,19,8,10,1,14,9,5,0
"E00004843",110,49,16,30,3,35,16,7,12,13,11,2,0,13,10,3,0
"E00004844",139,55,20,32,3,49,14,20,15,19,10,8,1,16,13,3,0
"E00004845",131,48,10,34,4,44,21,13,10,13,8,4,1,26,20,6,0
"E00004846",127,51,13,31,7,47,14,19,14,14,4,10,0,15,8,7,0
"E00004847",137,62,18,38,6,32,17,7,8,12,8,3,1,31,28,3,0
"E00004848",159,53,17,35,1,70,31,15,24,13,6,3,4,23,16,7,0
"E00004849",138,39,4,32,3,51,19,15,17,25,9,14,2,23,14,8,1
"E00004850",203,84,15,65,4,82,20,26,36,11,2,7,2,26,22,3,1
"E00004851",95,50,13,34,3,33,11,14,8,5,2,3,0,7,5,2,0
"E00004852",138,41,9,29,3,54,15,21,18,18,8,10,0,25,14,11,0
"E00004853",144,92,24,64,4,39,15,15,9,4,4,0,0,9,7,2,0
"E00174649",108,60,19,32,9,45,8,12,25,2,2,0,0,1,0,0,1
"E00174650",92,53,27,25,1,28,16,11,1,7,6,1,0,4,1,2,1
"E00174651",81,27,12,13,2,40,15,11,14,10,7,3,0,4,3,1,0
"E00174652",84,33,9,21,3,33,11,13,9,9,5,3,1,9,5,4,0
"E00174653",105,22,6,11,5,36,8,13,15,18,4,9,5,29,13,14,2
"E00174654",98,40,8,27,5,43,12,14,17,5,3,2,0,10,3,7,0
"E00174655",160,75,40,35,0,32,12,13,7,22,16,6,0,31,18,13,0
"E00174656",115,40,10,27,3,25,6,10,9,13,6,7,0,37,34,3,0
"E00174657",100,41,8,26,7,42,11,8,23,8,3,5,0,9,4,5,0
"E00174658",80,22,6,15,1,34,10,16,8,12,8,1,3,12,8,4,0
"E00174659",161,58,21,36,1,61,30,21,10,19,9,7,3,23,15,8,0
"E00174660",51,6,2,4,0,24,5,7,12,11,2,8,1,10,4,4,2
"E00174661",84,25,8,8,9,34,4,12,18,14,5,5,4,11,2,6,3
"E00174662",90,69,57,12,0,18,9,8,1,1,1,0,0,2,2,0,0
"E00174663",111,67,56,10,1,32,26,5,1,6,6,0,0,6,4,2,0
"E00174664",100,60,56,4,0,31,23,5,3,3,1,2,0,6,6,0,0
"E00174665",113,48,17,23,8,44,12,13,19,9,6,3,0,12,8,4,0
"E00174666",80,46,20,18,8,33,17,5,11,1,1,0,0,0,0,0,0
"E00174667",87,34,11,19,4,32,12,15,5,13,3,8,2,8,6,2,0
"E00174668",108,14,2,10,2,39,5,12,22,15,5,8,2,40,24,11,5
"E00174669",125,30,5,6,19,69,10,8,51,16,7,5,4,10,7,2,1
"E00174670",107,40,9,10,21,54,21,9,24,6,2,3,1,7,3,4,0
"E00174671",87,24,9,13,2,38,13,18,7,17,10,3,4,8,4,4,0
"E00174672",141,61,29,30,2,74,39,24,11,4,2,1,1,2,2,0,0
"E00174673",91,27,22,4,1,61,52,7,2,2,2,0,0,1,1,0,0
"E00174674",88,49,20,29,0,33,14,17,2,4,3,1,0,2,2,0,0
"E00174675",117,43,7,33,3,44,21,13,10,14,7,5,2,16,11,3,2
"E00174676",152,147,108,38,1,2,1,1,0,1,0,1,0,2,1,1,0
"E00174677",160,54,15,25,14,68,19,16,33,11,7,3,1,27,19,8,0
"E00174678",113,53,17,30,6,29,7,12,10,11,2,9,0,20,10,9,1
"E00174679",49,40,35,4,1,8,2,5,1,0,0,0,0,1,0,1,0
"E00174680",91,32,6,18,8,30,9,3,18,14,5,9,0,15,8,6,1
