"GeographyCode","QS202EW0001","QS202EW0002","QS202EW0003","QS202EW0004","QS202EW0005","QS202EW0006"
"E00004120",143,52,56,9,16,10
"E00004121",118,42,43,7,24,2
"E00004122",103,40,34,5,19,5
"E00004123",108,20,58,4,16,10
"E00004124",100,62,26,1,8,3
"E00004125",178,119,25,6,15,13
"E00004126",144,65,42,5,26,6
"E00004127",124,43,40,9,16,16
"E00004128",161,80,46,5,23,7
"E00004129",142,56,49,5,24,8
"E00004130",128,59,30,3,20,16
"E00004131",119,41,40,6,17,15
"E00004132",92,32,42,3,10,5
"E00004133",118,51,32,3,17,15
"E00004134",100,51,29,3,13,4
"E00004135",105,74,15,0,12,4
"E00004136",110,47,36,1,17,9
"E00004137",147,74,37,5,24,7
"E00004138",142,88,32,4,16,2
"E00004139",140,22,75,20,18,5
"E00004140",111,49,29,1,25,7
"E00004141",114,64,24,6,16,4
"E00004142",133,76,31,1,14,11
"E00004143",126,58,41,6,19,2
"E00004144",102,31,35,5,25,6
"E00004145",110,48,32,7,21,2
"E00004146",126,57,34,2,23,10
"E00004147",126,58,37,1,21,9
"E00004148",106,71,22,2,8,3
"E00004149",149,53,55,4,26,11
"E00004150",147,56,42,3,22,24
"E00004151",148,71,35,1,31,10
"E00004152",113,51,28,1,22,11
"E00004153",108,51,31,3,11,12
"E00004154",122,48,35,5,19,15
"E00004155",103,33,34,6,22,8
"E00004156",126,69,29,4,21,3
"E00004157",94,30,40,4,16,4
"E00004158",124,57,43,7,9,8
"E00004159",160,62,70,18,6,4
"E00004160",103,46,37,7,12,1
"E00004161",96,37,31,6,14,8
"E00004162",128,56,35,6,22,9
"E00004163",163,59,64,11,19,10
"E00004164",160,62,58,17,11,12
"E00004165",146,57,54,17,8,10
"E00004166",157,57,61,22,10,7
"E00004167",99,20,48,6,20,5
"E00004168",109,58,27,3,14,7
"E00004169",149,70,36,3,10,30
"E00004172",148,85,26,2,26,9
"E00004173",127,83,28,0,8,8
"E00004174",131,68,26,5,4,28
"E00004175",128,73,26,6,10,13
"E00004177",74,53,12,0,2,7
"E00004179",190,113,51,9,10,7
"E00004180",128,58,24,20,9,17
"E00004181",212,127,59,4,13,9
"E00004182",76,39,19,4,4,10
"E00004183",106,59,31,7,5,4
"E00004184",112,56,30,4,10,12
"E00004185",171,71,32,27,17,24
"E00004187",226,95,61,5,21,44
"E00004188",109,65,18,1,8,17
"E00004189",118,45,31,0,8,34
"E00004190",384,313,32,3,22,14
"E00004193",119,50,30,2,16,21
"E00004194",144,79,32,4,12,17
"E00004195",133,50,42,2,14,25
"E00004196",101,50,26,2,9,14
"E00004197",116,45,30,0,18,23
"E00004198",182,87,39,2,15,39
"E00004199",163,89,38,4,15,17
"E00004200",136,75,24,3,16,18
"E00004201",144,69,44,8,18,5
"E00004202",160,153,5,1,1,0
"E00004203",164,65,49,5,24,21
"E00004204",149,58,52,3,26,10
"E00004205",145,36,62,7,23,17
"E00004206",127,48,52,9,7,11
"E00004207",128,38,52,9,16,13
"E00004208",125,42,44,14,13,12
"E00004209",113,40,37,8,12,16
"E00004210",126,46,56,11,7,6
"E00004211",124,44,41,1,14,24
"E00004212",134,42,49,5,25,13
"E00004213",167,49,69,19,15,15
"E00004214",243,108,78,14,31,12
"E00004215",129,58,34,4,23,10
"E00004216",146,69,50,6,16,5
"E00004217",141,76,31,3,15,16
"E00004218",131,49,50,9,10,13
"E00004219",190,102,34,12,21,21
"E00004220",87,44,30,4,4,5
"E00004221",111,43,30,3,30,5
"E00004222",109,55,26,4,20,4
