"GeographyCode","KS610EW0001","KS610EW0002","KS610EW0003","KS610EW0004","KS610EW0005","KS610EW0006","KS610EW0007","KS610EW0008","KS610EW0009","KS610EW0010","KS610EW0011","KS610EW0012","KS610EW0013","KS610EW0014","KS610EW0015","KS610EW0016","KS610EW0017","KS610EW0018","KS610EW0019"
"E01000842",399,59,146,114,31,3,21,11,1,13,14.7869674185464,36.5914786967419,28.5714285714286,7.76942355889724,0.75187969924812,5.26315789473684,2.75689223057644,0.25062656641604,3.25814536340852
"E01000843",454,52,167,119,39,7,31,18,2,19,11.4537444933921,36.784140969163,26.2114537444934,8.59030837004405,1.54185022026432,6.82819383259912,3.9647577092511,0.440528634361234,4.18502202643172
"E01000844",495,74,201,130,37,2,21,16,1,13,14.9494949494949,40.6060606060606,26.2626262626263,7.47474747474747,0.404040404040404,4.24242424242424,3.23232323232323,0.202020202020202,2.62626262626263
"E01000845",415,74,145,104,32,5,24,23,0,8,17.8313253012048,34.9397590361446,25.0602409638554,7.71084337349398,1.20481927710843,5.78313253012048,5.54216867469879,0,1.92771084337349
"E01000846",274,32,68,63,30,3,32,27,0,19,11.6788321167883,24.8175182481752,22.992700729927,10.9489051094891,1.09489051094891,11.6788321167883,9.85401459854015,0,6.93430656934307
"E01000847",308,29,95,73,48,1,30,18,1,13,9.41558441558442,30.8441558441558,23.7012987012987,15.5844155844156,0.324675324675325,9.74025974025974,5.84415584415584,0.324675324675325,4.22077922077922
"E01000848",487,78,178,125,38,10,24,20,2,12,16.0164271047228,36.5503080082135,25.6673511293634,7.80287474332649,2.05338809034908,4.92813141683778,4.10677618069815,0.410677618069815,2.46406570841889
"E01000849",495,71,190,107,66,3,30,15,0,13,14.3434343434343,38.3838383838384,21.6161616161616,13.3333333333333,0.606060606060606,6.06060606060606,3.03030303030303,0,2.62626262626263
"E01000850",378,22,154,80,48,9,24,21,1,19,5.82010582010582,40.7407407407407,21.1640211640212,12.6984126984127,2.38095238095238,6.34920634920635,5.55555555555556,0.264550264550265,5.02645502645503
"E01000851",392,43,117,81,49,4,22,38,1,37,10.969387755102,29.8469387755102,20.6632653061225,12.5,1.02040816326531,5.61224489795918,9.69387755102041,0.255102040816327,9.43877551020408
"E01000852",220,16,77,30,32,1,21,18,2,23,7.27272727272727,35,13.6363636363636,14.5454545454545,0.454545454545455,9.54545454545455,8.18181818181818,0.909090909090909,10.4545454545455
"E01000853",316,23,100,47,61,6,22,34,3,20,7.27848101265823,31.6455696202532,14.873417721519,19.3037974683544,1.89873417721519,6.9620253164557,10.7594936708861,0.949367088607595,6.32911392405063
"E01000854",282,27,85,49,34,6,23,39,1,18,9.57446808510638,30.1418439716312,17.3758865248227,12.0567375886525,2.12765957446809,8.15602836879433,13.8297872340426,0.354609929078014,6.38297872340426
"E01000855",510,45,253,99,58,2,26,8,0,19,8.82352941176471,49.6078431372549,19.4117647058824,11.3725490196078,0.392156862745098,5.09803921568627,1.56862745098039,0,3.72549019607843
"E01000856",336,29,87,74,43,3,44,32,1,23,8.63095238095238,25.8928571428571,22.0238095238095,12.797619047619,0.892857142857143,13.0952380952381,9.52380952380952,0.297619047619048,6.8452380952381
"E01000857",361,46,121,95,45,3,21,21,0,9,12.7423822714681,33.5180055401662,26.3157894736842,12.4653739612188,0.831024930747922,5.81717451523546,5.81717451523546,0,2.49307479224377
"E01000858",372,29,104,65,47,7,59,27,3,31,7.79569892473118,27.9569892473118,17.4731182795699,12.6344086021505,1.88172043010753,15.8602150537634,7.25806451612903,0.806451612903226,8.33333333333333
"E01000859",470,81,168,128,36,9,19,12,1,16,17.2340425531915,35.7446808510638,27.2340425531915,7.65957446808511,1.91489361702128,4.04255319148936,2.5531914893617,0.212765957446809,3.40425531914894
"E01000860",340,50,150,67,23,5,20,12,3,10,14.7058823529412,44.1176470588235,19.7058823529412,6.76470588235294,1.47058823529412,5.88235294117647,3.52941176470588,0.882352941176471,2.94117647058824
