"GeographyCode","KS102EW0001","KS102EW0002","KS102EW0003","KS102EW0004","KS102EW0005","KS102EW0006","KS102EW0007","KS102EW0008","KS102EW0009","KS102EW0010","KS102EW0011","KS102EW0012","KS102EW0013","KS102EW0014","KS102EW0015","KS102EW0016","KS102EW0017","KS102EW0020","KS102EW0021","KS102EW0022","KS102EW0023","KS102EW0024","KS102EW0025","KS102EW0026","KS102EW0027","KS102EW0028","KS102EW0029","KS102EW0030","KS102EW0031","KS102EW0032","KS102EW0033","KS102EW0034","KS102EW0035"
"E01000842",1444,96,38,17,33,3,18,13,63,146,502,239,75,119,53,19,10,6.64819944598338,2.63157894736842,1.17728531855956,2.28531855955679,0.207756232686981,1.24653739612188,0.900277008310249,4.36288088642659,10.1108033240997,34.7645429362881,16.5512465373961,5.19390581717451,8.2409972299169,3.67036011080332,1.31578947368421,0.692520775623269
"E01000843",1678,190,54,22,36,6,15,22,112,190,571,203,74,112,55,10,6,11.3230035756853,3.2181168057211,1.31108462455304,2.14541120381406,0.357568533969011,0.893921334922527,1.31108462455304,6.6746126340882,11.3230035756853,34.0286054827175,12.0977353992849,4.41001191895113,6.6746126340882,3.2777115613826,0.595947556615018,0.357568533969011
"E01000844",1772,177,45,26,38,3,11,4,68,217,682,252,78,96,58,10,7,9.98871331828442,2.53950338600451,1.46726862302483,2.14446952595937,0.169300225733634,0.620767494356659,0.225733634311512,3.83747178329571,12.2460496613995,38.4875846501129,14.2212189616253,4.40180586907449,5.4176072234763,3.27313769751693,0.564334085778781,0.395033860045147
"E01000845",1464,86,34,26,50,12,13,16,83,211,459,219,82,83,61,20,9,5.87431693989071,2.3224043715847,1.77595628415301,3.41530054644809,0.819672131147541,0.887978142076503,1.09289617486339,5.66939890710383,14.4125683060109,31.3524590163934,14.9590163934426,5.60109289617486,5.66939890710383,4.16666666666667,1.36612021857923,0.614754098360656
"E01000846",1501,115,85,40,101,34,33,38,77,113,352,251,50,113,70,18,11,7.66155896069287,5.66289140572951,2.66489007328448,6.7288474350433,2.26515656229181,2.19853431045969,2.53164556962025,5.12991339107262,7.52831445702865,23.4510326449034,16.7221852098601,3.3311125916056,7.52831445702865,4.66355762824783,1.19920053297801,0.732844770153231
"E01000847",1686,158,85,50,118,17,31,35,88,170,397,281,67,102,62,21,4,9.37129300118624,5.04151838671412,2.9655990510083,6.9988137603796,1.00830367734282,1.83867141162515,2.07591933570581,5.21945432977461,10.0830367734282,23.5468564650059,16.6666666666667,3.97390272835113,6.04982206405694,3.6773428232503,1.24555160142349,0.237247924080664
"E01000848",1588,116,36,20,30,22,7,18,39,155,592,280,79,103,68,19,4,7.30478589420655,2.26700251889169,1.25944584382872,1.88916876574307,1.38539042821159,0.44080604534005,1.13350125944584,2.45591939546599,9.76070528967254,37.27959697733,17.632241813602,4.97481108312343,6.48614609571788,4.28211586901763,1.19647355163728,0.251889168765743
"E01000849",1569,94,41,20,35,7,19,13,78,234,557,200,70,103,74,17,7,5.99107711918419,2.61312938177183,1.27469725940089,2.23072020395156,0.446144040790312,1.21096239643085,0.82855321861058,4.97131931166348,14.9139579349904,35.5003186743149,12.7469725940089,4.46144040790312,6.5646908859146,4.7163798597833,1.08349267049076,0.446144040790312
"E01000850",1694,41,18,5,17,1,6,156,279,284,470,239,37,77,48,12,4,2.42030696576151,1.06257378984652,0.295159386068477,1.00354191263282,0.0590318772136954,0.354191263282172,9.20897284533648,16.469893742621,16.7650531286895,27.7449822904368,14.1086186540732,2.18417945690673,4.54545454545455,2.83353010625738,0.708382526564345,0.236127508854782
"E01000851",2383,42,28,17,43,6,8,525,601,243,473,232,55,69,33,5,3,1.76248426353336,1.17498950902224,0.713386487620646,1.80444817456987,0.251783466219052,0.335711288292069,22.031053294167,25.2203105329417,10.1972303818716,19.8489299202686,9.73562736047,2.30801510700797,2.89550986151909,1.38480906420478,0.209819555182543,0.125891733109526
