"GeographyCode","QS701EW0001","QS701EW0002","QS701EW0003","QS701EW0004","QS701EW0005","QS701EW0006","QS701EW0007","QS701EW0008","QS701EW0009","QS701EW0010","QS701EW0011","QS701EW0012","QS701EW0013"
"E02000166",6020,449,955,240,712,22,68,600,34,417,405,26,2092
"E02000167",5885,669,1796,155,299,56,71,562,40,201,395,52,1589
"E02000168",6371,419,1441,347,670,27,61,430,24,543,465,36,1908
"E02000169",5586,506,1477,161,224,37,37,628,52,130,279,51,2004
"E02000170",6748,363,2172,546,546,24,74,626,53,255,284,33,1772
"E02000171",6026,427,1381,240,670,20,75,471,22,373,490,41,1816
"E02000172",7637,255,972,301,939,19,50,470,44,406,720,32,3429
"E02000173",5963,471,2056,165,315,32,51,437,21,153,583,30,1649
"E02000174",6919,333,1284,336,1024,20,39,412,28,466,620,30,2327
"E02000175",7452,287,2811,822,372,19,51,523,32,235,317,35,1948
"E02000176",5130,427,2083,117,281,31,55,352,28,176,353,25,1202
"E02000177",6704,257,1326,210,832,24,38,428,37,300,611,26,2615
"E02000178",7266,216,2370,470,602,13,64,510,34,210,365,27,2385
"E02000179",4663,313,1270,148,324,33,42,367,25,165,336,27,1613
"E02000180",6578,298,916,244,947,24,42,379,23,448,641,27,2589
"E02000181",6305,336,2617,380,349,20,60,456,20,226,320,32,1489
"E02000182",4950,330,1456,133,315,30,32,352,31,101,266,39,1865
"E02000183",6267,492,1221,154,533,90,72,465,34,400,716,65,2025
"E02000184",7036,230,978,240,1028,23,42,367,29,267,733,33,3066
"E02000185",6195,228,1215,271,899,10,37,455,30,169,404,31,2446
"E02000186",5584,319,1003,180,580,33,22,266,35,253,857,34,2002
"E02000187",5962,115,619,173,702,26,27,276,15,137,770,24,3078
"E02000188",6409,91,723,156,692,15,24,255,23,154,783,46,3447
"E02000189",4595,109,472,140,382,7,16,150,21,170,684,47,2397
"E02000190",6366,204,613,174,401,18,15,163,19,181,976,40,3562
"E02000191",6788,248,741,156,335,25,9,154,14,160,1215,32,3699
"E02000192",5684,251,550,153,560,34,39,176,13,220,1383,88,2217
"E02000193",6744,341,787,277,543,38,24,174,12,156,1670,86,2636
