"GeographyCode","QS101EW0001","QS101EW0002","QS101EW0003","QS101EW0004"
"E00004353",251,251,0,0
"E00004354",250,250,0,0
"E00004355",261,261,0,0
"E00004356",315,315,0,0
"E00004357",350,350,0,0
"E00004358",272,272,0,0
"E00004359",314,314,0,0
"E00004360",275,275,0,0
"E00004361",369,216,153,0
"E00004362",336,336,0,0
"E00004363",416,401,15,0
"E00004364",550,509,41,0
"E00004365",251,251,0,0
"E00004366",281,281,0,0
"E00004367",347,347,0,0
"E00004368",362,362,0,0
"E00004369",267,267,0,0
"E00004370",243,243,0,0
"E00004371",227,227,0,0
"E00004372",305,305,0,0
"E00004373",336,336,0,0
"E00004374",229,229,0,0
"E00004375",253,253,0,0
"E00004376",401,401,0,0
"E00004377",222,222,0,0
"E00004378",309,309,0,0
"E00004379",267,267,0,0
"E00004380",347,347,0,0
"E00004381",286,286,0,0
"E00004382",291,291,0,0
"E00004383",206,206,0,0
"E00004384",220,220,0,0
"E00004385",226,226,0,0
"E00004386",258,258,0,0
"E00004387",203,203,0,0
"E00004388",235,235,0,0
"E00004389",275,275,0,0
"E00004390",275,275,0,0
"E00004391",310,310,0,0
"E00004392",239,239,0,0
"E00004393",280,280,0,0
"E00004394",199,199,0,0
"E00004395",271,263,8,0
"E00004396",279,279,0,0
"E00004397",298,298,0,0
"E00004398",232,232,0,0
"E00004399",392,392,0,0
"E00004400",340,340,0,0
"E00004401",289,289,0,0
"E00004402",251,251,0,0
"E00004403",282,282,0,0
"E00004404",266,266,0,0
"E00004405",304,303,1,0
"E00004406",238,238,0,0
"E00004407",341,281,60,0
"E00004408",259,259,0,0
"E00004409",250,250,0,0
"E00004410",260,260,0,0
"E00004411",252,252,0,0
"E00004412",267,267,0,0
"E00004413",243,243,0,0
"E00004414",284,284,0,0
"E00004415",303,303,0,0
"E00004416",258,258,0,0
"E00004417",283,283,0,0
"E00004418",260,260,0,0
"E00004419",244,244,0,0
"E00004420",266,266,0,0
"E00004421",298,298,0,0
"E00004422",183,183,0,0
"E00004423",245,245,0,0
"E00004424",228,228,0,0
"E00004425",352,352,0,0
"E00004426",299,299,0,0
"E00004427",296,296,0,0
"E00004428",220,220,0,0
"E00004429",253,240,13,0
"E00004430",170,169,1,0
"E00004431",265,265,0,0
"E00004432",272,272,0,0
"E00004433",300,300,0,0
"E00004435",249,235,14,0
"E00004436",333,328,5,0
"E00004437",260,260,0,0
"E00004438",229,211,18,0
"E00004439",245,243,2,0
"E00004440",255,255,0,0
"E00004441",265,261,4,0
"E00004442",247,247,0,0
"E00004444",432,432,0,0
"E00004445",236,236,0,0
"E00004446",304,304,0,0
"E00004447",106,106,0,0
"E00004448",334,328,6,0
"E00004450",381,381,0,0
"E00004451",263,263,0,0
"E00004452",316,316,0,0
"E00004453",409,409,0,0
"E00004454",473,473,0,0
"E00004455",351,351,0,0
"E00004456",322,322,0,0
"E00004457",246,246,0,0
"E00004458",440,440,0,0
"E00004459",310,310,0,0
"E00004460",220,220,0,0
"E00004461",388,388,0,0
"E00004462",237,237,0,0
"E00004463",364,364,0,0
"E00004464",110,110,0,0
"E00004465",373,373,0,0
"E00004466",220,220,0,0
"E00004467",304,304,0,0
"E00004468",516,437,79,0
"E00004469",262,262,0,0
"E00004470",329,329,0,0
"E00004471",218,218,0,0
"E00004472",356,356,0,0
"E00004473",240,240,0,0
"E00004474",362,362,0,0
"E00004475",291,291,0,0
"E00004476",352,352,0,0
"E00004477",298,298,0,0
"E00004478",438,438,0,0
"E00004479",294,294,0,0
"E00004480",243,226,17,0
"E00004481",313,313,0,0
"E00004482",293,293,0,0
