"GeographyCode","QS103EW0001","QS103EW0002","QS103EW0003","QS103EW0004","QS103EW0005","QS103EW0006","QS103EW0007","QS103EW0008","QS103EW0009","QS103EW0010","QS103EW0011","QS103EW0012","QS103EW0013","QS103EW0014","QS103EW0015","QS103EW0016","QS103EW0017","QS103EW0018","QS103EW0019","QS103EW0020","QS103EW0021","QS103EW0022","QS103EW0023","QS103EW0024","QS103EW0025","QS103EW0026","QS103EW0027","QS103EW0028","QS103EW0029","QS103EW0030","QS103EW0031","QS103EW0032","QS103EW0033","QS103EW0034","QS103EW0035","QS103EW0036","QS103EW0037","QS103EW0038","QS103EW0039","QS103EW0040","QS103EW0041","QS103EW0042","QS103EW0043","QS103EW0044","QS103EW0045","QS103EW0046","QS103EW0047","QS103EW0048","QS103EW0049","QS103EW0050","QS103EW0051","QS103EW0052","QS103EW0053","QS103EW0054","QS103EW0055","QS103EW0056","QS103EW0057","QS103EW0058","QS103EW0059","QS103EW0060","QS103EW0061","QS103EW0062","QS103EW0063","QS103EW0064","QS103EW0065","QS103EW0066","QS103EW0067","QS103EW0068","QS103EW0069","QS103EW0070","QS103EW0071","QS103EW0072","QS103EW0073","QS103EW0074","QS103EW0075","QS103EW0076","QS103EW0077","QS103EW0078","QS103EW0079","QS103EW0080","QS103EW0081","QS103EW0082","QS103EW0083","QS103EW0084","QS103EW0085","QS103EW0086","QS103EW0087","QS103EW0088","QS103EW0089","QS103EW0090","QS103EW0091","QS103EW0092","QS103EW0093","QS103EW0094","QS103EW0095","QS103EW0096","QS103EW0097","QS103EW0098","QS103EW0099","QS103EW0100","QS103EW0101","QS103EW0102"
"E01000852",1587,3,4,2,3,5,1,1,6,1,3,2,3,1,4,1,3,1,7,106,210,145,107,109,64,59,38,36,28,27,27,24,22,31,24,20,17,11,15,11,10,10,9,15,17,11,13,7,8,6,14,8,10,8,7,4,10,10,14,7,12,6,6,12,4,11,12,3,17,8,13,10,7,3,11,3,1,7,3,4,7,5,8,2,6,5,4,4,1,2,3,0,1,3,0,0,3,0,0,0,0,0
"E01000853",1631,14,19,11,27,14,16,15,25,17,27,13,6,16,8,11,9,8,11,13,16,34,44,35,35,35,36,25,28,20,26,22,27,22,25,15,16,21,29,30,19,12,16,39,16,31,25,23,18,13,16,18,18,12,25,10,19,17,11,24,18,23,13,19,23,15,22,26,13,21,11,10,11,18,19,14,10,18,15,7,9,13,12,15,6,8,6,9,3,2,6,5,2,4,1,1,0,0,0,0,0,0
"E01000854",1833,13,14,18,22,15,18,13,31,18,23,11,3,5,4,4,5,10,6,43,89,169,115,117,106,61,39,33,30,42,27,25,33,31,25,23,30,20,33,32,21,17,10,15,16,12,10,15,21,15,16,12,12,17,12,11,11,9,13,11,3,12,12,7,13,9,10,16,11,14,8,5,4,9,6,5,6,5,4,3,8,7,6,4,0,4,0,1,0,3,0,0,0,2,0,2,0,1,1,0,0,0
"E01000855",1764,9,3,5,7,3,3,4,5,1,3,0,2,1,1,1,3,2,3,19,7,59,66,50,53,52,30,51,72,46,85,62,52,46,46,50,35,27,29,24,31,27,25,36,26,23,11,23,33,17,13,26,8,21,21,8,19,18,12,14,18,18,16,15,22,24,21,18,11,14,18,10,11,16,9,4,9,8,7,9,15,5,7,2,6,5,2,4,5,0,0,2,3,0,0,0,0,1,0,0,0,0
"E01000856",1645,21,20,20,22,20,13,21,32,18,16,21,20,16,16,54,21,17,16,19,24,38,41,38,42,34,52,42,34,39,36,44,41,29,33,14,31,20,53,20,20,23,15,22,19,19,14,26,22,23,20,27,15,15,13,18,14,9,6,9,16,11,13,17,14,8,5,8,8,8,3,4,3,10,8,4,5,2,4,3,3,4,3,7,6,0,3,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0
"E01000857",1447,20,16,19,15,8,24,21,17,14,13,12,20,15,18,8,6,16,6,10,8,6,6,13,8,18,25,27,32,22,27,38,32,32,26,34,30,34,15,23,16,28,25,19,30,25,36,18,19,21,21,18,20,19,23,16,18,13,15,18,20,11,21,10,11,13,18,15,17,12,12,12,12,13,10,9,3,8,4,6,10,4,7,2,7,3,3,3,3,1,6,0,5,0,2,0,0,1,1,0,0,0
"E01000858",1861,21,16,24,25,11,23,17,22,22,25,21,24,26,22,29,30,31,34,21,31,38,37,37,58,36,43,54,49,47,40,44,33,34,36,29,27,34,22,27,26,25,23,29,26,25,19,35,25,24,25,18,28,22,23,20,16,16,9,9,17,15,11,13,8,14,7,15,7,15,9,12,9,6,6,8,6,4,0,9,3,4,0,3,2,3,2,1,2,1,2,2,0,0,0,0,0,2,0,0,0,0
"E01000859",1586,17,13,25,20,20,11,19,18,12,14,10,20,10,6,11,13,9,9,10,2,1,5,12,9,16,12,29,25,32,45,42,40,35,38,44,44,35,24,51,37,39,33,39,30,16,23,16,24,23,21,17,14,29,21,11,23,17,29,17,20,16,16,14,23,18,18,22,17,10,10,13,7,14,12,11,5,8,3,4,4,3,3,3,7,1,2,2,3,4,1,1,2,0,1,1,0,0,0,0,0,0
"E01000860",1307,23,9,9,13,9,10,9,11,10,8,9,9,12,11,4,7,7,8,8,4,6,4,8,15,11,15,17,15,18,15,24,19,25,29,19,20,34,18,26,14,22,21,18,14,16,16,23,21,21,18,14,17,14,22,19,14,20,15,7,11,28,19,26,20,27,23,21,31,13,30,7,25,18,19,10,13,15,10,10,6,9,8,6,1,0,6,1,2,5,2,1,5,3,0,0,0,1,0,1,0,0
"E01000861",1574,12,12,11,9,14,9,15,10,12,12,9,15,11,11,17,11,12,13,15,40,55,60,49,48,33,52,53,34,53,56,21,42,36,20,28,23,29,28,23,32,31,20,22,23,33,20,24,30,16,9,19,10,17,16,12,14,9,9,15,9,13,8,10,10,10,7,11,12,9,7,8,6,6,4,5,9,3,6,6,1,4,0,1,2,4,1,2,2,0,1,1,0,0,0,0,1,0,0,1,0,0
"E01000862",1712,21,19,23,12,7,19,13,15,20,10,19,5,13,17,16,18,4,11,4,5,8,9,16,28,23,24,29,42,43,46,40,55,72,38,34,33,28,41,28,30,28,28,27,26,24,22,19,24,24,27,20,21,21,18,29,19,24,8,12,15,16,16,20,16,24,17,21,20,14,14,10,9,15,6,15,6,8,8,12,6,10,4,13,6,4,3,2,3,3,3,3,2,0,3,6,0,0,0,0,0,0
"E01000863",1481,11,13,16,8,6,11,9,10,11,9,12,5,9,7,4,4,10,11,18,20,28,35,33,60,45,63,51,48,56,48,46,49,60,31,26,23,23,18,22,36,24,23,19,12,21,14,16,27,18,16,17,16,15,18,8,14,11,9,8,11,10,9,12,6,9,4,8,9,8,11,7,6,5,4,5,4,4,6,8,3,5,2,0,3,1,2,1,1,2,1,1,0,0,1,0,0,0,0,0,0,1
"E01000864",1537,15,16,25,18,15,4,6,13,10,7,16,13,12,16,9,11,14,14,14,16,31,28,39,52,33,43,54,45,40,49,51,32,38,35,21,36,26,21,15,22,26,31,25,21,23,29,20,30,24,17,23,15,14,12,19,11,8,13,11,14,5,9,11,13,12,10,9,12,5,5,3,7,2,13,5,2,5,3,3,4,6,5,4,4,4,2,2,2,4,4,1,0,0,0,0,0,0,0,0,0,0
"E01000865",1505,10,11,5,10,3,12,5,12,6,8,9,8,9,8,11,10,10,8,100,191,118,32,43,57,35,32,29,39,36,23,27,25,18,16,21,11,17,16,19,16,12,23,18,19,13,8,11,21,11,18,12,16,10,14,6,10,15,16,7,6,9,9,15,12,4,7,16,5,8,4,7,12,6,6,5,9,1,5,3,2,2,1,1,1,2,1,0,4,3,1,0,1,0,0,0,0,1,0,0,0,0
"E01000866",2030,25,22,23,22,23,19,21,11,22,25,17,15,16,18,17,17,16,22,27,17,24,34,43,41,37,42,51,60,61,55,35,56,43,33,58,42,26,25,26,22,24,35,26,25,23,24,38,26,19,21,38,26,34,20,19,31,15,18,29,19,11,11,23,10,16,16,17,14,20,9,6,14,15,10,8,8,16,12,2,8,5,17,8,5,2,2,4,6,6,0,1,5,1,0,1,0,0,0,1,0,1
"E01000867",1608,18,24,20,25,18,21,11,21,15,23,23,18,24,16,12,18,11,12,14,32,42,39,47,41,52,48,51,39,47,32,31,43,33,30,27,36,25,23,20,29,25,25,18,15,17,20,8,11,11,8,15,11,10,12,14,15,13,6,18,13,10,14,15,13,7,7,10,9,8,5,11,6,5,7,9,10,6,4,3,5,6,6,3,3,5,2,6,2,3,2,3,1,2,2,2,0,0,0,0,0,0
"E01000868",1442,45,29,30,22,16,34,14,20,19,22,25,31,28,15,25,18,13,9,20,10,12,14,13,24,18,35,35,24,24,25,29,25,28,26,23,25,26,21,29,24,26,18,27,19,26,17,28,27,20,6,17,12,11,26,11,14,12,19,22,9,13,11,14,11,12,8,7,4,5,8,4,4,6,3,5,5,4,1,5,4,7,3,0,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"E01000869",2110,39,21,21,23,19,16,11,22,18,13,15,36,10,13,8,20,11,18,17,33,57,68,59,59,49,64,56,38,61,72,50,69,47,55,38,42,28,32,38,49,32,36,25,32,21,17,32,25,14,26,13,17,25,16,10,11,14,20,21,9,17,27,11,18,17,19,8,17,15,20,4,10,12,8,4,9,7,6,2,7,5,3,10,4,5,4,2,1,1,2,2,0,1,1,0,0,0,0,0,0,0
"E01000870",1693,19,17,17,18,16,17,10,12,8,19,19,24,15,21,15,22,28,16,12,16,18,23,29,36,34,38,50,47,36,50,37,37,40,33,33,32,23,21,20,16,20,20,20,20,38,31,22,30,21,22,35,29,17,21,19,20,15,24,19,17,11,12,18,13,13,24,11,8,13,11,6,14,5,6,7,4,8,8,3,8,3,4,7,0,5,3,2,1,3,2,2,0,0,2,0,2,0,0,0,0,0
