"GeographyCode","QS801EW0001","QS801EW0002","QS801EW0003","QS801EW0004","QS801EW0005","QS801EW0006","QS801EW0007","QS801EW0008","QS801EW0009","QS801EW0010","QS801EW0011","QS801EW0012","QS801EW0013"
"E01000842",1444,736,5,13,29,38,40,73,116,50,79,147,118
"E01000843",1678,972,3,5,21,37,22,55,147,91,125,140,60
"E01000844",1772,828,7,10,13,37,50,66,164,103,156,197,141
"E01000845",1464,829,5,9,17,42,38,73,115,65,89,116,66
"E01000846",1501,847,4,9,27,34,60,97,221,56,37,76,33
"E01000847",1686,925,7,10,19,51,73,98,206,67,70,86,74
"E01000848",1588,822,8,7,18,46,45,52,135,92,118,174,71
"E01000849",1569,865,12,13,19,48,43,63,107,58,109,129,103
"E01000850",1694,829,6,10,19,26,40,48,129,81,135,183,188
"E01000851",2383,1168,4,13,12,39,50,72,185,82,195,299,264
"E01000852",1587,678,1,11,11,17,35,37,94,44,90,228,341
"E01000853",1631,914,2,14,35,53,77,90,148,52,105,96,45
"E01000854",1833,759,0,2,11,42,43,122,186,96,171,270,131
"E01000855",1764,969,4,8,24,36,41,72,115,65,113,212,105
"E01000856",1645,970,0,8,14,35,47,97,183,64,88,97,42
"E01000857",1447,907,0,16,27,32,44,56,101,57,70,96,41
"E01000858",1861,1150,2,8,28,39,63,112,176,55,64,103,61
"E01000859",1586,1024,0,9,25,38,56,40,99,45,70,127,53
"E01000860",1307,819,5,10,33,48,65,38,86,40,42,66,55
"E01000861",1574,946,1,5,26,27,37,81,156,50,77,107,61
"E01000862",1712,1067,9,14,12,30,51,60,90,73,86,117,103
"E01000863",1481,837,2,4,20,29,27,59,119,56,92,157,79
"E01000864",1537,1039,3,11,17,32,39,72,92,49,57,79,47
"E01000865",1505,935,4,3,16,20,32,48,94,27,44,50,232
"E01000866",2030,1341,5,7,42,53,52,90,155,53,56,129,47
"E01000867",1608,919,1,7,30,36,56,84,144,72,74,91,94
"E01000868",1442,872,0,5,18,26,41,92,213,54,47,50,24
"E01000869",2110,1354,4,2,27,47,67,67,199,83,81,116,63
"E01000870",1693,1188,4,12,14,46,33,78,137,39,55,53,34
"E01000871",1664,1039,6,9,33,56,72,59,130,52,70,88,50
"E01000872",1902,906,3,4,30,30,40,96,166,98,196,235,98
"E01000873",1639,1113,2,3,33,31,45,49,100,45,77,89,52
"E01000874",1559,840,7,7,34,33,65,61,163,65,106,94,84
"E01000875",1654,862,2,5,26,47,38,73,169,75,115,134,108
"E01000876",1748,958,1,9,31,54,73,109,213,70,94,82,54
"E01000877",1574,925,7,5,18,31,46,65,144,77,100,93,63
"E01000878",1624,877,22,9,17,39,54,59,114,61,91,101,180
"E01000879",1458,817,13,12,24,27,32,45,104,79,91,101,113
"E01000880",1602,805,9,19,9,22,47,77,153,118,114,144,85
"E01000881",1510,650,6,8,19,34,47,46,124,163,110,180,123
"E01000882",1513,764,9,11,25,31,46,58,134,88,97,121,129
"E01000883",1326,541,10,8,13,26,43,51,115,65,113,178,163
"E01000884",1469,848,14,6,14,39,47,56,136,57,75,106,71
"E01000885",1484,868,23,12,17,29,41,64,116,38,96,118,62
"E01000886",1445,1018,8,5,24,27,36,32,104,33,48,80,30
"E01000887",1486,925,3,11,23,38,33,71,89,42,80,112,59
"E01000888",1605,1085,4,6,16,37,31,74,121,38,59,80,54
"E01000889",1670,1155,6,8,24,28,39,84,160,43,38,59,26
"E01000890",1640,1015,2,8,41,35,46,103,202,55,52,52,29
"E01000891",1575,974,2,8,19,45,54,102,166,57,59,60,29
"E01000892",1843,1162,13,13,38,42,55,97,138,62,95,78,50
"E01000893",1566,994,11,15,34,32,39,65,105,34,71,115,51
"E01000894",1389,819,15,6,12,21,37,46,77,69,84,128,75
"E01000895",1630,989,12,13,29,36,28,27,123,53,80,171,69
"E01000896",1692,1044,16,15,30,53,51,49,97,50,128,98,61
"E01000897",1597,849,14,7,23,37,58,44,170,68,133,122,72
"E01000898",1729,889,9,6,31,39,42,93,177,100,142,111,90
"E01000899",1667,1071,12,7,27,44,63,61,105,44,64,101,68
"E01000900",1801,1255,5,5,30,32,26,69,133,48,80,83,35
"E01000901",1977,1208,4,2,13,26,41,102,221,78,58,83,141
"E01000902",1451,941,1,7,19,28,53,80,171,45,49,40,17
"E01000903",1439,905,6,16,21,42,47,72,88,40,65,99,38
"E01000904",2120,1384,0,6,25,48,58,94,176,87,74,103,65
"E01000905",2044,1235,4,16,36,47,47,137,278,83,59,67,35
"E01000906",1532,947,13,11,17,31,35,58,113,58,81,106,62
"E01000907",1430,1032,1,3,19,41,38,61,98,38,41,50,8
"E01000908",1581,1115,5,6,23,39,70,70,129,29,33,50,12
"E01000909",1614,1206,8,19,31,38,58,49,95,38,32,30,10
"E01000910",1472,1141,6,11,39,33,34,38,69,11,41,31,18
"E01000911",1559,1145,3,5,20,42,33,50,113,50,42,42,14
"E01000912",1589,1118,8,11,29,48,36,85,125,32,33,39,25
"E01000913",1710,1232,11,15,17,65,49,54,94,37,50,52,34
"E01000914",1762,897,4,7,27,37,41,66,148,47,123,223,142
"E01000915",1527,919,1,7,12,34,52,141,153,62,61,54,31
"E01000916",1796,974,0,13,13,36,54,76,175,67,93,175,120
"E01000917",1888,1082,0,4,20,46,58,146,256,66,57,107,46
"E01000918",2090,1087,3,4,25,63,59,88,199,106,116,268,72
"E01000919",2014,981,1,4,14,44,49,84,166,83,152,208,228
"E01000920",1946,1148,5,4,25,36,49,93,146,83,88,198,71
"E01000921",1966,1324,3,5,21,26,46,83,163,54,92,115,34
"E01000922",1547,1087,4,7,22,24,32,75,125,40,37,64,30
"E01000923",1494,1105,2,11,31,37,44,62,91,24,29,42,16
"E01000924",1637,1126,6,4,27,35,43,55,82,48,69,95,47
"E01000925",1563,925,2,11,25,36,46,115,202,61,39,53,48
"E01000926",1791,940,1,7,12,34,25,65,278,42,107,249,31
