"GeographyCode","QS413EW0001","QS413EW0002","QS413EW0003","QS413EW0004","QS413EW0005"
"E01000842",724,153,421,56,94
"E01000843",846,138,423,70,215
"E01000844",870,178,464,111,117
"E01000845",731,181,392,55,103
"E01000846",616,123,270,102,121
"E01000847",677,135,316,108,118
"E01000848",805,176,441,69,119
"E01000849",862,177,490,84,111
"E01000850",664,138,351,51,124
"E01000851",861,127,488,79,167
"E01000852",625,108,391,33,93
"E01000853",840,126,495,72,147
"E01000854",718,95,382,103,138
"E01000855",1111,142,754,58,157
"E01000856",628,98,284,89,157
"E01000857",686,164,362,68,92
"E01000858",775,124,381,103,167
"E01000859",807,187,433,72,115
"E01000860",797,116,544,41,96
"E01000861",729,99,412,81,137
"E01000862",816,191,404,69,152
"E01000863",667,101,375,64,127
"E01000864",717,98,397,74,148
"E01000865",451,102,250,42,57
"E01000866",926,136,495,103,192
"E01000867",675,86,346,79,164
"E01000868",584,39,285,61,199
"E01000869",967,173,531,78,185
"E01000870",774,113,424,86,151
"E01000871",632,160,317,61,94
"E01000872",913,126,494,95,198
"E01000873",710,133,410,84,83
"E01000874",704,170,382,74,78
"E01000875",839,153,428,79,179
"E01000876",800,133,413,83,171
"E01000877",726,122,419,76,109
"E01000878",550,167,259,63,61
"E01000879",602,158,284,69,91
"E01000880",621,124,323,91,83
"E01000881",632,110,335,84,103
"E01000882",728,172,374,69,113
"E01000883",638,113,358,65,102
"E01000884",577,172,296,57,52
"E01000885",592,196,282,83,31
"E01000886",606,122,310,92,82
"E01000887",690,134,385,61,110
"E01000888",697,118,406,61,112
"E01000889",657,92,318,113,134
"E01000890",767,97,411,70,189
"E01000891",672,70,359,73,170
"E01000892",823,177,420,86,140
"E01000893",715,173,369,82,91
"E01000894",619,154,343,56,66
"E01000895",841,169,461,77,134
"E01000896",756,186,383,94,93
"E01000897",721,189,356,81,95
"E01000898",850,96,529,72,153
"E01000899",698,204,372,67,55
"E01000900",757,126,390,99,142
"E01000901",703,98,302,113,190
"E01000902",590,85,297,76,132
"E01000903",686,148,356,91,91
"E01000904",918,123,483,122,190
"E01000905",812,101,398,100,213
"E01000906",788,170,396,64,158
"E01000907",627,105,311,84,127
"E01000908",827,124,487,67,149
"E01000909",661,176,345,80,60
"E01000910",588,111,331,60,86
"E01000911",663,121,337,81,124
"E01000912",700,138,368,88,106
"E01000913",722,245,348,69,60
"E01000914",970,204,544,64,158
"E01000915",635,106,301,72,156
"E01000916",881,138,480,61,202
"E01000917",913,104,484,91,234
"E01000918",935,117,551,71,196
"E01000919",834,143,488,63,140
"E01000920",946,136,541,84,185
"E01000921",946,114,512,92,228
"E01000922",653,134,329,73,117
"E01000923",656,141,342,82,91
"E01000924",795,125,425,59,186
"E01000925",629,119,289,88,133
"E01000926",698,92,381,95,130
"E01000927",734,143,349,104,138
"E01000928",682,123,333,97,129
"E01000929",685,107,321,94,163
"E01000930",1076,143,656,67,210
"E01000931",873,103,462,69,239
"E01000932",947,163,505,84,195
"E01000933",821,173,424,81,143
"E01000934",732,93,381,82,176
"E01000935",624,106,247,74,197
"E01000936",536,51,276,71,138
"E01000937",502,52,305,37,108
"E01000938",737,75,372,102,188
"E01000939",446,57,209,58,122
"E01000940",534,62,290,54,128
"E01000941",557,58,284,51,164
"E01000942",686,91,411,43,141
"E01000943",596,80,370,35,111
"E01000944",667,74,355,64,174
"E01000945",611,95,286,82,148
"E01000946",715,160,375,65,115
"E01000947",871,111,477,80,203
"E01000948",846,152,463,66,165
"E01000949",739,93,381,82,183
"E01000950",550,66,248,70,166
"E01000951",603,115,250,80,158
"E01000952",675,95,314,97,169
"E01000953",708,111,340,76,181
"E01000954",642,92,269,90,191
"E01000955",657,93,331,82,151
"E01000956",608,81,292,65,170
"E01000957",765,129,378,95,163
"E01000958",835,106,400,147,182
"E01000959",698,125,345,85,143
"E01000960",841,163,404,87,187
"E01000961",652,136,290,84,142
"E01000962",745,137,381,102,125
"E01000963",851,247,393,119,92
"E01000964",713,156,369,85,103
"E01000965",764,155,381,85,143
"E01000966",675,153,352,90,80
"E01000967",619,182,300,68,69
"E01000968",760,137,414,74,135
"E01000969",954,200,544,96,114
"E01000970",831,135,509,52,135
"E01000971",649,123,374,45,107
"E01000972",949,119,502,104,224
"E01000973",894,104,531,91,168
"E01000974",821,123,452,64,182
