"GeographyCode","QS117EW0001","QS117EW0002","QS117EW0003"
"E00004120",208,42,166
"E00004121",158,27,131
"E00004122",151,32,119
"E00004123",187,9,178
"E00004124",121,49,72
"E00004125",207,88,119
"E00004126",206,51,155
"E00004127",190,41,149
"E00004128",211,60,151
"E00004129",207,40,167
"E00004130",202,52,150
"E00004131",197,35,162
"E00004132",139,27,112
"E00004133",176,43,133
"E00004134",134,44,90
"E00004135",124,64,60
"E00004136",162,40,122
"E00004137",197,53,144
"E00004138",152,60,92
"E00004139",200,74,126
"E00004140",145,32,113
"E00004141",133,50,83
"E00004142",180,59,121
"E00004143",181,48,133
"E00004144",155,27,128
"E00004145",148,34,114
"E00004146",200,45,155
"E00004147",169,40,129
"E00004148",122,54,68
"E00004149",235,42,193
"E00004150",250,46,204
"E00004151",217,59,158
"E00004152",152,33,119
"E00004153",157,48,109
"E00004154",194,42,152
"E00004155",169,30,139
"E00004156",151,52,99
"E00004157",163,24,139
"E00004158",194,59,135
"E00004159",227,80,147
"E00004160",101,26,75
"E00004161",145,28,117
"E00004162",198,52,146
"E00004163",260,57,203
"E00004164",227,64,163
"E00004165",208,59,149
"E00004166",230,62,168
"E00004167",161,13,148
"E00004168",132,38,94
"E00004169",232,53,179
"E00004172",198,82,116
"E00004173",124,47,77
"E00004174",211,55,156
"E00004175",217,63,154
"E00004177",84,44,40
"E00004179",181,64,117
"E00004180",187,67,120
"E00004181",180,54,126
"E00004182",113,28,85
"E00004183",135,56,79
"E00004184",148,46,102
"E00004185",293,82,211
"E00004187",401,86,315
"E00004188",157,58,99
"E00004189",256,41,215
"E00004190",373,242,131
"E00004193",208,39,169
"E00004194",211,69,142
"E00004195",264,36,228
"E00004196",146,26,120
"E00004197",190,28,162
"E00004198",311,75,236
"E00004199",238,78,160
"E00004200",213,65,148
"E00004201",179,58,121
"E00004202",67,60,7
"E00004203",266,61,205
"E00004204",190,43,147
"E00004205",260,30,230
"E00004206",199,45,154
"E00004207",228,39,189
"E00004208",199,45,154
"E00004209",219,35,184
"E00004210",196,50,146
"E00004211",251,44,207
"E00004212",236,39,197
"E00004213",296,64,232
"E00004214",385,119,266
"E00004215",200,49,151
"E00004216",198,61,137
"E00004217",201,68,133
"E00004218",196,37,159
"E00004219",287,96,191
"E00004220",98,24,74
"E00004221",162,29,133
"E00004222",153,47,106
"E00004223",241,32,209
"E00004224",210,67,143
"E00004225",357,85,272
"E00004226",158,32,126
"E00004227",190,65,125
"E00004228",144,39,105
"E00004229",260,75,185
"E00004230",216,56,160
"E00004231",223,40,183
"E00004232",107,42,65
"E00004233",161,40,121
"E00004234",176,33,143
"E00004235",245,73,172
"E00004236",275,64,211
"E00004237",203,49,154
"E00004238",198,32,166
"E00004239",143,47,96
"E00004240",258,54,204
"E00004241",197,33,164
"E00004242",141,69,72
"E00004243",183,19,164
"E00004244",183,38,145
"E00004245",221,66,155
"E00004246",188,48,140
"E00004247",222,49,173
"E00004248",329,93,236
"E00004249",176,41,135
"E00004250",210,45,165
"E00004251",159,30,129
"E00004252",180,42,138
"E00004253",206,46,160
"E00004254",202,43,159
"E00004255",209,50,159
"E00004256",238,29,209
"E00004257",193,33,160
"E00004258",215,42,173
"E00004259",172,44,128
"E00004260",166,88,78
"E00004261",202,37,165
"E00004262",171,50,121
"E00004263",225,42,183
"E00004264",307,61,246
"E00004265",170,52,118
"E00004266",236,59,177
"E00004268",229,65,164
"E00004269",168,38,130
"E00004270",337,57,280
"E00004271",256,44,212
"E00004272",179,18,161
"E00004273",269,39,230
"E00004274",226,42,184
"E00004275",146,38,108
"E00004276",196,37,159
"E00004277",189,59,130
"E00004278",171,38,133
"E00004279",213,53,160
"E00004280",153,42,111
"E00004281",184,38,146
"E00004282",224,66,158
"E00004283",205,63,142
"E00004284",182,59,123
"E00004285",219,60,159
"E00004286",226,61,165
"E00004287",189,37,152
"E00004288",250,78,172
