"GeographyCode","QS601EW0001","QS601EW0002","QS601EW0003","QS601EW0004","QS601EW0005","QS601EW0006","QS601EW0007","QS601EW0008","QS601EW0009","QS601EW0010","QS601EW0011","QS601EW0012","QS601EW0013","QS601EW0014","QS601EW0015","QS601EW0016"
"E01000842",1175,887,54,543,6,34,81,112,35,22,288,100,74,47,24,43
"E01000843",1299,983,81,580,4,41,67,118,67,25,316,81,82,70,35,48
"E01000844",1408,1125,74,724,5,64,63,138,35,22,283,74,63,74,41,31
"E01000845",1166,887,65,557,9,42,56,95,33,30,279,82,85,50,29,33
"E01000846",1027,655,113,310,5,23,51,54,62,37,372,100,94,79,53,46
"E01000847",1171,785,100,407,13,39,46,91,68,21,386,79,104,92,61,50
"E01000848",1273,1050,85,656,6,60,72,116,41,14,223,81,44,49,21,28
"E01000849",1274,1020,96,652,4,27,70,104,33,34,254,86,75,44,25,24
"E01000850",1548,989,76,643,3,44,33,80,31,79,559,64,404,21,45,25
"E01000851",2206,1119,82,581,8,50,46,111,44,197,1087,59,928,28,35,37
"E01000852",1475,574,52,258,4,14,25,31,24,166,901,77,744,15,38,27
"E01000853",1231,733,123,367,1,12,45,52,98,35,498,161,180,40,84,33
"E01000854",1559,750,93,361,6,29,35,58,49,119,809,70,604,39,53,43
"E01000855",1623,1180,96,783,2,23,44,118,53,61,443,132,222,22,26,41
"E01000856",1246,839,130,378,11,21,39,116,100,44,407,70,140,66,78,53
"E01000857",1122,801,63,461,4,65,69,101,24,14,321,113,66,57,54,31
"E01000858",1457,904,134,474,6,29,40,83,88,50,553,100,172,89,128,64
"E01000859",1289,1034,83,544,12,68,86,177,41,23,255,107,47,49,28,24
"E01000860",1039,687,70,380,10,37,51,87,31,21,352,164,66,44,39,39
"E01000861",1339,914,112,485,6,25,57,106,68,55,425,59,231,40,51,44
"E01000862",1360,1055,85,578,15,80,76,173,31,17,305,93,106,60,16,30
"E01000863",1290,984,79,557,4,29,55,121,64,75,306,43,133,34,60,36
"E01000864",1276,946,100,531,8,35,58,113,55,46,330,60,147,41,42,40
"E01000865",1330,713,62,320,5,38,58,68,34,128,617,63,490,19,31,14
"E01000866",1606,1140,143,610,5,43,70,128,81,60,466,120,147,58,102,39
"E01000867",1225,772,109,412,3,23,34,58,54,79,453,80,171,72,65,65
"E01000868",1014,700,143,333,10,18,29,47,90,30,314,52,74,68,87,33
"E01000869",1733,1254,136,682,8,40,66,163,77,82,479,112,199,50,62,56
"E01000870",1357,955,123,500,3,33,55,124,71,46,402,93,121,38,115,35
"E01000871",1267,933,109,489,6,57,65,111,61,35,334,99,92,62,38,43
"E01000872",1623,1270,120,808,14,33,55,118,70,52,353,74,109,52,70,48
"E01000873",1317,1053,100,688,1,31,75,99,44,15,264,99,68,42,37,18
"E01000874",1245,984,75,628,7,43,86,77,35,33,261,95,90,47,7,22
"E01000875",1394,1047,96,695,7,14,54,93,60,28,347,72,135,38,60,42
"E01000876",1359,942,112,554,9,20,34,75,91,47,417,108,114,63,85,47
"E01000877",1296,1033,92,664,4,34,52,108,54,25,263,76,68,48,42,29
"E01000878",1289,739,78,381,11,54,38,51,33,93,550,91,319,79,18,43
"E01000879",1119,795,66,448,9,45,55,71,36,65,324,83,116,60,19,46
"E01000880",1104,819,58,507,9,61,64,80,27,13,285,70,80,92,12,31
"E01000881",1162,842,75,496,8,35,45,108,39,36,320,61,142,64,34,19
"E01000882",1198,980,86,604,6,55,55,127,25,22,218,68,52,63,8,27
"E01000883",1065,761,60,503,4,42,33,64,38,17,304,66,118,60,16,44
"E01000884",1056,743,92,362,8,72,78,83,25,23,313,75,95,93,17,33
"E01000885",1018,688,79,339,19,54,71,88,21,17,330,131,62,87,12,38
"E01000886",1112,841,93,451,8,34,76,118,37,24,271,101,78,35,27,30
"E01000887",1190,944,95,579,4,31,46,107,55,27,246,75,72,31,38,30
"E01000888",1204,877,104,481,7,23,59,108,58,37,327,83,115,46,51,32
"E01000889",1216,764,153,384,2,6,26,53,90,50,452,98,110,95,105,44
"E01000890",1186,679,154,301,3,16,31,36,90,48,507,135,103,69,148,52
"E01000891",1138,638,125,306,3,11,29,34,88,42,500,103,142,75,119,61
"E01000892",1372,998,107,584,6,48,49,124,50,30,374,118,99,62,60,35
"E01000893",1194,936,105,458,12,52,107,151,34,17,258,89,75,50,19,25
"E01000894",1034,799,68,440,12,62,80,91,29,17,235,90,51,60,13,21
"E01000895",1201,925,80,536,5,47,79,125,28,25,276,95,59,72,17,33
"E01000896",1255,951,89,544,6,60,80,119,37,16,304,101,70,75,20,38
"E01000897",1161,901,70,544,7,54,79,102,30,15,260,87,64,75,10,24
"E01000898",1377,1039,79,725,5,27,35,83,52,33,338,111,82,40,57,48
"E01000899",1201,848,76,437,13,90,83,116,21,12,353,131,66,93,15,48
"E01000900",1400,985,128,569,6,23,42,94,87,36,415,110,117,75,74,39
"E01000901",1418,806,130,406,5,11,37,41,92,84,612,79,264,115,101,53
"E01000902",1026,630,124,312,1,20,26,42,67,38,396,74,111,85,87,39
"E01000903",1148,832,69,454,9,42,62,105,57,34,316,91,97,39,56,33
"E01000904",1640,1139,154,631,6,25,58,84,100,81,501,137,142,79,97,46
"E01000905",1392,804,158,385,3,14,32,54,96,62,588,141,145,117,117,68
"E01000906",1246,989,63,638,5,41,61,111,39,31,257,81,83,36,33,24
"E01000907",1062,719,111,371,8,28,44,60,71,26,343,80,89,64,80,30
"E01000908",1184,833,135,402,11,24,80,86,67,28,351,125,58,55,82,31
"E01000909",1253,886,120,437,9,54,82,121,43,20,367,142,89,52,53,31
"E01000910",1133,853,98,443,8,34,68,139,33,30,280,111,78,49,22,20
"E01000911",1133,814,111,430,5,19,70,107,52,20,319,97,81,52,62,27
"E01000912",1235,848,108,440,7,20,56,95,75,47,387,113,111,43,91,29
"E01000913",1286,963,125,463,16,94,89,136,20,20,323,135,80,62,16,30
"E01000914",1524,1015,84,568,10,63,46,146,51,47,509,75,308,43,49,34
"E01000915",1158,770,103,427,13,25,30,58,79,35,388,94,114,69,69,42
"E01000916",1492,1041,105,646,5,45,31,110,59,40,451,85,224,52,54,36
"E01000917",1415,864,161,406,7,19,38,69,121,43,551,111,161,96,130,53
"E01000918",1800,1139,144,574,10,39,60,118,86,108,661,120,296,66,111,68
"E01000919",1797,1080,167,565,2,45,46,107,51,97,717,98,444,55,71,49
"E01000920",1619,1169,116,626,7,63,64,176,67,50,450,98,194,56,62,40
"E01000921",1662,1326,131,822,9,38,66,148,63,49,336,81,114,42,55,44
"E01000922",1260,820,89,474,2,31,37,82,49,56,440,74,229,41,61,35
"E01000923",1179,863,97,473,3,26,59,109,61,35,316,84,93,40,79,20
"E01000924",1382,1050,119,597,2,28,73,145,52,34,332,103,103,37,51,38
"E01000925",1084,679,112,329,3,15,37,61,81,41,405,84,131,81,62,47
"E01000926",1490,1152,109,776,4,23,37,116,45,42,338,56,144,45,50,43
"E01000927",1419,1055,110,606,4,42,74,134,48,37,364,89,109,58,71,37
"E01000928",1264,900,130,486,1,39,66,106,51,21,364,109,93,48,81,33
"E01000929",1188,738,103,371,7,11,46,67,90,43,450,121,91,95,85,58
"E01000930",1415,912,128,507,4,25,41,68,85,54,503,167,122,62,88,64
"E01000931",1494,1022,156,589,5,14,42,59,111,46,472,123,124,65,105,55
"E01000932",1605,1282,118,888,4,30,48,104,54,36,323,87,68,48,80,40
"E01000933",1414,1119,108,693,6,24,52,121,73,42,295,93,77,52,44,29
"E01000934",1178,755,136,383,3,7,36,52,85,53,423,109,121,60,84,49
"E01000935",1000,676,126,363,4,9,26,40,70,38,324,69,85,62,71,37
"E01000936",1469,715,91,311,5,23,41,56,73,115,754,71,546,51,57,29
"E01000937",1322,600,56,277,1,10,35,37,44,140,722,32,603,36,24,27
"E01000938",1354,904,130,432,3,19,45,45,95,135,450,64,254,49,52,31
"E01000939",897,475,114,185,5,10,12,21,65,63,422,76,192,65,40,49
"E01000940",875,467,60,210,3,9,18,39,57,71,408,78,219,38,38,35
"E01000941",933,553,111,250,6,13,24,44,67,38,380,66,104,54,117,39
"E01000942",1957,793,53,368,2,20,33,55,34,228,1164,62,1017,21,45,19
"E01000943",923,554,61,286,6,17,25,57,42,60,369,47,246,22,26,28
"E01000944",1552,662,136,300,8,9,21,38,78,72,890,60,632,72,72,54
"E01000945",1509,763,128,332,4,18,27,44,52,158,746,73,554,50,42,27
"E01000946",1199,798,90,481,9,40,31,75,38,34,401,87,174,62,43,35
"E01000947",1715,1131,115,637,4,39,42,95,89,110,584,56,292,56,122,58
"E01000948",1380,955,110,551,8,40,50,114,44,38,425,116,140,57,74,38
"E01000949",1201,827,126,541,2,7,18,32,70,31,374,87,146,47,50,44
"E01000950",1041,583,116,246,6,8,27,40,78,62,458,52,169,88,85,64
"E01000951",1106,593,107,274,2,8,23,33,80,66,513,76,251,70,65,51
"E01000952",1318,750,136,357,1,15,28,55,76,82,568,98,268,69,91,42
"E01000953",1256,672,123,355,3,6,13,35,61,76,584,135,194,84,117,54
"E01000954",1097,626,135,294,2,10,15,37,84,49,471,67,157,109,89,49
"E01000955",1141,607,144,273,6,13,13,27,63,68,534,85,242,56,101,50
"E01000956",1150,680,109,340,5,13,24,39,74,76,470,47,232,72,69,50
"E01000957",1379,927,118,536,10,13,42,72,82,54,452,83,168,66,90,45
"E01000958",1820,1105,136,614,7,20,45,73,93,117,715,58,398,86,98,75
"E01000959",1252,685,151,326,5,9,22,26,64,82,567,104,228,78,96,61
"E01000960",1380,1007,105,602,5,28,58,102,67,40,373,102,110,82,35,44
"E01000961",1123,707,100,377,8,25,38,45,72,42,416,81,122,99,65,49
"E01000962",1330,1131,74,781,3,36,54,106,50,27,199,56,70,30,22,21
"E01000963",1416,896,66,603,4,40,53,71,38,21,520,99,173,158,21,69
"E01000964",1220,896,82,576,4,35,42,85,51,21,324,78,101,59,41,45
"E01000965",1243,964,88,683,4,27,34,68,29,31,279,78,88,38,45,30
"E01000966",1237,1019,65,685,10,61,57,97,20,24,218,64,63,53,15,23
"E01000967",1031,716,75,424,2,50,43,79,25,18,315,90,70,76,27,52
"E01000968",1275,1013,84,729,2,34,38,67,39,20,262,85,55,59,32,31
"E01000969",1720,1430,91,996,9,60,74,117,56,27,290,85,96,54,25,30
"E01000970",1331,1140,65,833,4,28,42,109,39,20,191,53,56,20,35,27
"E01000971",1177,945,86,604,2,35,59,91,38,30,232,82,60,39,36,15
"E01000972",1611,1096,111,668,11,29,39,90,90,58,515,109,140,77,123,66
"E01000973",1613,1247,115,825,1,26,45,100,88,47,366,82,126,50,70,38
"E01000974",1414,1033,120,640,3,23,34,79,79,55,381,78,129,43,82,49
