"GeographyCode","QS108EW0001","QS108EW0002","QS108EW0003","QS108EW0004","QS108EW0005","QS108EW0006","QS108EW0007","QS108EW0008","QS108EW0009","QS108EW0010","QS108EW0011"
"E00004237",226,72,48,14,10,154,119,3,12,12,8
"E00004238",247,124,88,30,6,123,89,3,3,12,16
"E00004239",182,70,48,20,2,112,71,4,7,21,9
"E00004240",288,66,46,14,6,222,180,7,9,17,9
"E00004241",248,150,112,24,14,98,71,6,2,13,6
"E00004242",150,54,38,16,0,96,66,12,4,11,3
"E00004243",225,142,118,16,8,83,61,7,3,11,1
"E00004244",207,76,72,4,0,131,80,12,12,15,12
"E00004245",276,94,42,46,6,182,119,7,9,22,25
"E00004246",219,80,38,30,12,139,103,8,7,11,10
"E00004247",273,100,70,24,6,173,119,3,9,25,17
"E00004248",371,128,66,50,12,243,185,6,9,35,8
"E00004249",202,80,44,30,6,122,88,8,1,18,7
"E00004250",237,92,62,24,6,145,120,4,6,11,4
"E00004251",194,88,64,18,6,106,87,4,5,8,2
"E00004252",209,96,60,32,4,113,84,3,2,15,9
"E00004253",248,64,34,24,6,184,134,12,6,15,17
"E00004254",235,96,80,10,6,139,93,5,8,19,14
"E00004255",232,84,60,24,0,148,121,5,10,9,3
"E00004256",292,122,70,48,4,170,105,13,11,23,18
"E00004257",219,106,56,44,6,113,85,4,5,12,7
"E00004258",227,62,18,40,4,165,141,3,2,15,4
"E00004259",210,73,64,8,1,137,85,12,10,18,12
"E00004260",183,50,28,18,4,133,100,2,8,19,4
"E00004261",224,66,38,24,4,158,112,10,6,20,10
"E00004262",192,74,56,16,2,118,71,5,11,23,8
"E00004263",248,114,80,34,0,134,97,3,13,15,6
"E00004264",327,122,46,62,14,205,174,9,3,16,3
"E00004265",202,56,24,28,4,146,118,5,3,11,9
"E00004266",276,90,54,30,6,186,134,6,14,19,13
"E00004268",256,80,32,42,6,176,127,4,14,27,4
"E00004269",203,76,30,38,8,127,94,4,5,13,11
"E00004270",371,124,64,48,12,247,204,10,11,18,4
"E00004271",281,104,52,44,8,177,145,7,6,14,5
"E00004272",237,132,102,26,4,105,85,3,1,9,7
"E00004273",328,130,90,38,2,198,151,7,5,27,8
"E00004274",250,118,62,54,2,132,106,6,4,7,9
"E00004275",178,72,42,24,6,106,82,4,1,16,3
"E00004276",234,82,38,36,8,152,115,7,2,20,8
"E00004277",223,88,48,34,6,135,100,7,6,15,7
"E00004278",186,68,38,18,12,118,95,2,3,13,5
