"GeographyCode","QS118EW0001","QS118EW0002","QS118EW0003","QS118EW0004","QS118EW0005","QS118EW0006","QS118EW0007","QS118EW0008","QS118EW0009","QS118EW0010","QS118EW0011","QS118EW0012"
"E02000166",2031,1135,143,100,172,153,112,71,67,69,9,1590
"E02000167",2101,1223,168,91,129,183,121,48,64,62,12,1535
"E02000168",1974,1110,146,85,137,170,123,71,76,47,9,1562
"E02000169",1824,981,156,59,106,175,129,43,89,76,10,1592
"E02000170",1972,1141,204,65,117,155,127,63,65,30,5,1417
"E02000171",1904,1037,172,90,149,154,117,43,82,54,6,1545
"E02000172",2299,1091,207,159,190,173,155,71,143,96,14,2277
"E02000173",1823,1081,159,60,84,181,108,38,52,59,1,1358
"E02000174",1933,1051,161,104,155,130,121,58,83,64,6,1634
"E02000175",2018,1252,209,88,121,119,84,44,59,38,4,1278
"E02000176",1526,941,176,42,74,150,62,15,42,20,4,966
"E02000177",2083,1089,180,127,171,125,119,52,134,76,10,1895
"E02000178",1996,1183,216,89,134,97,70,60,80,61,6,1440
"E02000179",1547,764,187,79,83,149,93,44,86,58,4,1450
"E02000180",1665,905,144,91,90,144,79,56,101,46,9,1493
"E02000181",1918,1216,215,53,76,159,81,39,39,36,4,1181
"E02000182",1630,875,176,79,101,111,97,45,84,52,10,1351
"E02000183",1859,1085,131,91,129,115,107,51,73,64,13,1418
"E02000184",1865,947,204,101,152,116,105,41,100,94,5,1707
"E02000185",1869,940,168,111,135,135,130,48,132,58,12,1765
"E02000186",1388,875,105,59,93,73,66,30,44,38,5,899
"E02000187",1757,770,141,118,146,153,118,49,163,93,6,1993
"E02000188",1557,712,122,100,137,115,98,44,150,77,2,1683
"E02000189",1090,519,81,44,82,59,54,17,149,71,14,1271
"E02000190",1089,610,84,64,76,58,52,21,88,31,5,899
"E02000191",891,607,65,30,44,35,26,9,50,20,5,528
"E02000192",1554,866,106,104,113,114,72,27,86,61,5,1310
"E02000193",1177,810,60,41,71,60,62,21,21,31,0,648
