"GeographyCode","QS701EW0001","QS701EW0002","QS701EW0003","QS701EW0004","QS701EW0005","QS701EW0006","QS701EW0007","QS701EW0008","QS701EW0009","QS701EW0010","QS701EW0011","QS701EW0012","QS701EW0013"
"E00004120",264,26,90,4,16,2,4,22,1,7,14,1,77
"E00004121",186,21,72,1,7,2,2,13,3,5,15,1,44
"E00004122",165,15,50,6,8,0,1,20,0,12,12,1,40
"E00004123",214,32,69,6,6,0,6,28,2,12,9,0,44
"E00004124",131,12,48,1,13,0,1,7,2,3,4,0,40
"E00004125",234,15,101,10,19,0,1,13,1,4,15,0,55
"E00004126",220,9,99,9,13,2,3,19,0,4,11,1,50
"E00004127",213,9,88,9,14,0,2,9,0,7,29,0,46
"E00004128",231,18,105,2,6,2,2,15,3,4,14,0,60
"E00004129",232,15,92,7,20,0,1,10,2,13,18,0,54
"E00004130",218,15,93,9,10,3,2,9,0,11,19,1,46
"E00004131",214,25,63,6,32,0,2,21,3,8,18,1,35
"E00004132",158,15,74,3,8,3,1,12,0,4,9,1,28
"E00004133",201,17,79,4,6,0,2,12,3,9,18,0,51
"E00004134",148,15,47,4,6,4,0,11,0,5,12,0,44
"E00004135",134,11,70,1,5,1,5,8,0,6,8,0,19
"E00004136",183,13,64,12,10,0,2,19,0,5,16,3,39
"E00004137",218,27,72,4,20,2,3,21,2,10,16,3,38
"E00004138",181,12,77,3,7,0,2,10,1,0,13,1,55
"E00004139",207,4,16,8,31,1,0,7,0,2,11,0,127
"E00004140",159,16,68,3,5,3,0,12,0,5,7,3,37
"E00004141",162,11,51,2,5,0,2,7,0,6,14,0,64
"E00004142",200,18,78,5,10,1,5,12,0,5,16,1,49
"E00004143",190,12,79,3,7,5,1,17,2,5,8,2,49
"E00004144",171,20,74,4,8,0,1,12,0,3,8,1,40
"E00004145",213,19,92,7,5,0,0,12,0,7,16,3,52
"E00004146",216,19,65,12,10,3,1,23,0,14,24,1,44
"E00004147",193,13,82,2,10,2,2,10,2,10,17,2,41
"E00004148",137,16,37,3,10,2,3,11,1,10,7,1,36
"E00004149",257,19,89,14,18,4,4,22,1,6,18,1,61
"E00004150",264,10,155,5,9,0,1,14,1,13,13,1,42
"E00004151",227,21,105,4,12,2,2,14,2,5,25,3,32
"E00004152",177,23,59,3,6,0,5,17,3,4,10,0,47
"E00004153",175,9,55,2,11,6,1,16,2,8,12,1,52
"E00004154",201,22,77,4,12,2,1,16,0,9,15,2,41
"E00004155",185,29,72,2,4,1,2,13,0,1,10,1,50
"E00004156",173,7,67,4,10,2,4,12,0,7,16,3,41
"E00004157",177,15,68,3,10,0,0,10,0,7,17,1,46
"E00004158",213,4,44,5,17,2,2,13,1,8,13,2,102
"E00004159",257,6,27,9,33,0,4,15,0,7,16,3,137
"E00004160",141,2,18,2,12,1,2,10,0,5,10,0,79
"E00004161",157,8,56,6,9,0,2,17,2,10,11,0,36
"E00004162",209,21,75,6,10,0,0,18,1,13,13,0,52
"E00004163",283,19,98,7,16,3,2,25,0,8,16,0,89
"E00004164",262,12,39,13,26,1,0,23,0,6,16,1,125
"E00004165",246,3,34,8,27,1,2,12,3,2,18,1,135
"E00004166",263,11,24,11,21,1,0,18,3,2,20,1,151
"E00004167",190,25,32,4,6,0,3,21,5,18,15,3,58
"E00004168",143,4,64,3,9,0,3,11,1,6,7,0,35
"E00004169",278,13,41,12,26,2,2,3,0,8,71,5,95
"E00004172",210,12,26,7,19,2,0,9,0,12,60,2,61
"E00004173",573,17,31,18,29,2,0,7,1,6,52,1,409
"E00004174",231,6,16,2,13,0,0,4,0,2,34,0,154
"E00004175",247,7,16,8,16,0,0,6,1,3,42,3,145
"E00004177",283,8,21,7,8,1,0,3,1,5,40,5,184
