"GeographyCode","QS115EW0001","QS115EW0002","QS115EW0003","QS115EW0004","QS115EW0005","QS115EW0006","QS115EW0007","QS115EW0008","QS115EW0009","QS115EW0010","QS115EW0011","QS115EW0012"
"E01000842",724,340,106,234,384,12,46,77,175,9,16,49
"E01000843",846,354,90,264,492,65,49,114,188,10,20,46
"E01000844",870,362,81,281,508,14,39,126,220,13,28,68
"E01000845",731,340,75,265,391,17,39,68,164,13,21,69
"E01000846",616,220,86,134,396,61,60,70,64,23,43,75
"E01000847",677,233,72,161,444,48,55,93,97,32,46,73
"E01000848",805,348,90,258,457,6,66,90,212,15,27,41
"E01000849",862,466,118,348,396,20,33,71,168,8,23,73
"E01000850",664,324,77,247,340,9,33,29,155,5,12,97
"E01000851",861,423,55,368,438,20,24,24,219,7,15,129
"E01000852",625,388,79,309,237,7,42,18,109,0,5,56
"E01000853",840,469,197,272,371,57,58,33,107,15,19,82
"E01000854",718,310,64,246,408,38,27,25,121,12,24,161
"E01000855",1111,750,134,616,361,1,41,26,169,1,8,115
"E01000856",628,205,38,167,423,30,23,52,114,41,48,115
"E01000857",686,301,101,200,385,15,45,64,130,25,24,82
"E01000858",775,287,55,232,488,55,30,70,132,17,62,122
"E01000859",807,380,80,300,427,7,46,92,172,16,23,71
"E01000860",797,515,195,320,282,15,55,55,99,9,15,34
"E01000861",729,315,41,274,414,32,28,41,155,7,32,119
"E01000862",816,293,76,217,523,15,83,88,218,16,26,77
"E01000863",667,255,30,225,412,25,29,41,197,7,16,97
"E01000864",717,265,42,223,452,36,38,59,188,6,27,98
"E01000865",451,182,31,151,269,11,33,33,94,12,27,59
"E01000866",926,364,97,267,562,40,67,83,185,21,33,133
"E01000867",675,239,74,165,436,43,32,41,164,19,29,108
"E01000868",584,219,39,180,365,55,19,75,92,23,48,53
"E01000869",967,364,104,260,603,41,32,86,257,16,25,146
"E01000870",774,316,86,230,458,36,32,74,163,12,35,106
"E01000871",632,183,51,132,449,17,48,67,116,19,65,117
"E01000872",913,382,51,331,531,31,27,75,232,8,35,123
"E01000873",710,235,61,174,475,27,38,91,147,10,26,136
"E01000874",704,227,61,166,477,11,67,103,171,10,17,98
"E01000875",839,369,75,294,470,41,32,57,220,8,18,94
"E01000876",800,342,78,264,458,46,39,57,152,21,42,101
"E01000877",726,274,45,229,452,13,43,91,176,11,15,103
"E01000878",550,188,72,116,362,8,75,76,101,10,24,68
"E01000879",602,237,64,173,365,12,62,84,109,19,12,67
"E01000880",621,191,57,134,430,16,38,111,126,39,37,63
"E01000881",632,247,57,190,385,10,39,69,145,34,23,65
"E01000882",728,281,67,214,447,12,59,91,192,20,16,57
"E01000883",638,258,69,189,380,12,43,72,160,10,17,66
"E01000884",577,181,61,120,396,12,51,97,94,30,39,73
"E01000885",592,172,78,94,420,15,112,93,91,25,20,64
"E01000886",606,187,41,146,419,37,48,81,112,19,25,97
"E01000887",690,262,60,202,428,25,35,78,174,14,21,81
"E01000888",697,252,56,196,445,32,45,89,143,19,37,80
"E01000889",657,224,69,155,433,61,43,70,79,20,56,104
"E01000890",767,357,118,239,410,59,69,49,82,25,49,77
"E01000891",672,279,77,202,393,76,30,50,100,20,41,76
"E01000892",823,308,95,213,515,38,65,97,163,20,34,98
"E01000893",715,281,82,199,434,20,69,96,120,15,34,80
"E01000894",619,209,74,135,410,8,70,94,138,19,20,61
"E01000895",841,403,172,231,438,19,53,103,168,10,19,66
"E01000896",756,258,89,169,498,7,95,112,153,25,27,79
"E01000897",721,243,82,161,478,4,88,125,170,23,21,47
"E01000898",850,418,88,330,432,25,44,76,163,18,22,84
"E01000899",698,229,65,164,469,14,103,110,116,27,36,63
"E01000900",757,256,72,184,501,43,50,74,156,15,50,113
"E01000901",703,228,51,177,475,91,27,80,83,35,63,96
"E01000902",590,216,83,133,374,56,27,68,92,19,38,74
"E01000903",686,301,117,184,385,14,34,77,151,6,24,79
"E01000904",918,309,80,229,609,68,62,75,198,26,38,142
"E01000905",812,300,125,175,512,95,51,65,113,34,46,108
"E01000906",788,319,95,224,469,12,67,56,229,12,13,80
"E01000907",627,207,57,150,420,68,44,69,123,12,24,80
"E01000908",827,420,103,317,407,61,55,76,114,14,19,68
"E01000909",661,199,82,117,462,13,78,68,113,15,39,136
"E01000910",588,173,53,120,415,7,62,67,108,21,39,111
"E01000911",663,220,75,145,443,40,57,81,132,14,38,81
"E01000912",700,270,111,159,430,40,42,71,106,8,43,120
"E01000913",722,210,85,125,512,8,118,101,146,21,30,88
"E01000914",970,483,109,374,487,19,45,36,257,4,20,106
"E01000915",635,247,69,178,388,36,42,50,107,21,36,96
"E01000916",881,392,64,328,489,45,44,44,236,16,27,77
"E01000917",913,458,99,359,455,65,24,91,142,25,37,71
"E01000918",935,482,122,360,453,23,47,37,166,14,37,129
"E01000919",834,434,73,361,400,17,34,25,163,5,51,105
"E01000920",946,409,87,322,537,33,43,69,229,12,25,126
"E01000921",946,381,50,331,565,41,24,89,253,8,42,108
"E01000922",653,266,57,209,387,30,27,45,127,11,36,111
"E01000923",656,266,53,213,390,28,30,72,122,15,25,98
"E01000924",795,307,55,252,488,24,45,64,231,6,33,85
"E01000925",629,246,107,139,383,60,30,55,77,24,47,90
"E01000926",698,204,49,155,494,42,27,52,134,15,29,195
"E01000927",734,205,63,142,529,29,52,85,177,12,19,155
"E01000928",682,234,59,175,448,46,52,81,120,10,36,103
"E01000929",685,245,69,176,440,53,45,78,105,28,49,82
"E01000930",1076,628,235,393,448,62,39,78,165,19,18,67
"E01000931",873,357,83,274,516,59,44,75,170,17,42,109
"E01000932",947,402,85,317,545,43,28,54,276,6,15,123
"E01000933",821,340,95,245,481,20,37,58,213,11,22,120
"E01000934",732,338,106,232,394,43,29,73,126,22,29,72
"E01000935",624,241,50,191,383,68,21,81,107,26,28,52
"E01000936",536,194,50,144,342,50,21,40,91,9,51,80
"E01000937",502,296,40,256,206,22,13,17,77,5,15,57
"E01000938",737,305,38,267,432,95,20,27,128,11,28,123
"E01000939",446,156,49,107,290,31,25,31,51,24,39,89
"E01000940",534,253,61,192,281,23,31,48,89,14,20,56
"E01000941",557,242,56,186,315,51,35,44,73,10,28,74
"E01000942",686,381,73,308,305,19,19,26,150,6,8,77
"E01000943",596,359,54,305,237,19,11,29,123,3,10,42
"E01000944",667,188,54,134,479,35,35,41,91,17,45,215
"E01000945",611,223,36,187,388,41,27,37,118,17,29,119
"E01000946",715,312,84,228,403,35,49,51,131,11,28,98
"E01000947",871,344,44,300,527,18,26,42,212,11,36,182
"E01000948",846,362,103,259,484,42,65,76,175,8,27,91
"E01000949",739,331,103,228,408,50,49,74,105,23,29,78
"E01000950",550,192,48,144,358,40,26,61,68,31,37,95
"E01000951",603,230,97,133,373,36,34,52,59,25,51,116
"E01000952",675,206,56,150,469,56,46,52,108,21,46,140
"E01000953",708,299,132,167,409,37,45,55,108,14,51,99
"E01000954",642,202,61,141,440,87,40,57,76,41,50,89
"E01000955",657,293,83,210,364,46,31,82,63,18,38,86
"E01000956",608,221,28,193,387,42,17,51,113,23,47,94
"E01000957",765,263,58,205,502,51,29,62,205,14,42,99
"E01000958",835,237,34,203,598,73,33,64,166,20,76,166
"E01000959",698,264,83,181,434,50,49,45,88,24,45,133
"E01000960",841,321,72,249,520,30,57,91,217,19,32,74
"E01000961",652,197,59,138,455,49,68,78,110,29,40,81
"E01000962",745,236,37,199,509,17,29,114,252,2,13,82
"E01000963",851,311,117,194,540,21,69,123,179,14,28,106
"E01000964",713,260,70,190,453,30,47,90,153,10,26,97
"E01000965",764,313,69,244,451,27,39,66,214,10,19,76
"E01000966",675,222,55,167,453,7,43,104,185,6,20,88
"E01000967",619,225,84,141,394,14,66,76,104,25,31,78
"E01000968",760,314,88,226,446,19,25,72,222,4,12,92
"E01000969",954,341,79,262,613,26,38,98,266,11,20,154
"E01000970",831,406,39,367,425,12,30,39,250,2,6,86
"E01000971",649,222,50,172,427,10,36,104,155,12,13,97
"E01000972",949,414,88,326,535,60,45,81,176,16,48,109
"E01000973",894,341,53,288,553,38,24,61,259,15,21,135
"E01000974",821,358,72,286,463,36,30,52,184,10,30,121
