"GeographyCode","KS601EW0001","KS601EW0002","KS601EW0003","KS601EW0004","KS601EW0005","KS601EW0006","KS601EW0007","KS601EW0008","KS601EW0009","KS601EW0010","KS601EW0011","KS601EW0012","KS601EW0013","KS601EW0014","KS601EW0015","KS601EW0016","KS601EW0017","KS601EW0018","KS601EW0019","KS601EW0020","KS601EW0021","KS601EW0022","KS601EW0023","KS601EW0024","KS601EW0025","KS601EW0026","KS601EW0027","KS601EW0028","KS601EW0029"
"E02000166",6020,599,2113,1120,276,141,595,427,276,322,151,49,55,47,110,9.95016611295681,35.0996677740864,18.6046511627907,4.58471760797342,2.3421926910299,9.88372093023256,7.09302325581395,4.58471760797342,5.34883720930233,2.50830564784053,0.813953488372093,0.913621262458472,0.780730897009967,1.82724252491694
"E02000167",5885,418,2415,1390,149,87,506,321,350,84,165,18,40,16,58,7.10280373831776,41.036533559898,23.6193712829227,2.53186066270178,1.47833474936279,8.5981308411215,5.45454545454545,5.94732370433305,1.42735768903993,2.80373831775701,0.305862361937128,0.679694137638063,0.271877655055225,0.985556499575191
"E02000168",6371,567,2654,1120,260,155,482,459,231,299,144,55,48,34,109,8.89970177366191,41.6575105948831,17.5796578245173,4.08099199497724,2.43289907392874,7.5655313137655,7.20452048344059,3.6258044263067,4.69314079422383,2.26024172029509,0.863286768168262,0.753413906765029,0.533668183958562,1.71087741327892
"E02000169",5586,373,2037,1021,142,211,450,672,411,78,191,23,27,11,49,6.67740780522735,36.4661654135338,18.2778374507698,2.54206945936269,3.77730039384175,8.05585392051558,12.0300751879699,7.35767991407089,1.39634801288937,3.41926244181883,0.411743644826352,0.483351235230934,0.196920873612603,0.87719298245614
"E02000170",6748,496,3277,1076,264,160,443,427,251,194,160,38,36,50,79,7.35032602252519,48.5625370480142,15.9454653230587,3.9122703023118,2.371072910492,6.56490812092472,6.32780082987552,3.71962062833432,2.87492590397155,2.371072910492,0.563129816241849,0.533491404860699,0.740960284528749,1.17071724955542
"E02000171",6026,468,2549,1066,257,152,468,461,213,232,160,49,61,30,92,7.76634583471623,42.3000331895121,17.6900099568536,4.26485230667109,2.52240292067707,7.76634583471623,7.65018254231663,3.53468304015931,3.84998340524394,2.65516096913375,0.813143046797212,1.01228011948224,0.497842681712579,1.52671755725191
"E02000172",7637,761,2477,750,457,317,578,957,453,605,282,110,86,125,182,9.96464580332591,32.4342019117454,9.8206101872463,5.98402514076208,4.1508445724761,7.56841691763782,12.5310985989263,5.93164855309677,7.92195888437868,3.69254943040461,1.44035616079612,1.12609663480424,1.63676836454105,2.38313473877177
"E02000173",5963,370,2872,974,184,123,393,458,302,125,162,29,35,19,84,6.20493040415898,48.1636760020124,16.3340600368942,3.08569511990609,2.06272010732853,6.59064229414724,7.68069763541841,5.0645648163676,2.09626027167533,2.71675331209123,0.486332383028677,0.586952876069093,0.31863156129465,1.40868690256582
"E02000174",6919,606,2812,1005,330,223,456,646,259,380,202,74,51,62,120,8.75849111143229,40.6417112299465,14.5252204075734,4.76947535771065,3.22300910536205,6.59054776701836,9.33660933660934,3.74331550802139,5.49212313918196,2.9194970371441,1.06951871657754,0.737100737100737,0.896083249024425,1.73435467553115
"E02000175",7452,468,3926,971,311,182,411,478,240,289,176,52,60,54,116,6.28019323671498,52.6838432635534,13.0300590445518,4.17337627482555,2.4422973698336,5.51529790660225,6.41438539989265,3.22061191626409,3.87815351583468,2.361782071927,0.697799248523886,0.805152979066022,0.72463768115942,1.55662909286098
