"GeographyCode","QS413EW0001","QS413EW0002","QS413EW0003","QS413EW0004","QS413EW0005"
"E00004120",143,24,87,5,27
"E00004121",118,23,65,17,13
"E00004122",103,33,38,21,11
"E00004123",108,24,60,21,3
"E00004124",100,23,57,11,9
"E00004125",178,36,116,9,17
"E00004126",144,26,84,13,21
"E00004127",124,33,57,19,15
"E00004128",161,41,88,14,18
"E00004129",142,35,74,12,21
"E00004130",128,25,72,16,15
"E00004131",119,21,74,9,15
"E00004132",92,22,45,9,16
"E00004133",118,22,64,14,18
"E00004134",100,24,54,5,17
"E00004135",105,5,80,3,17
"E00004136",110,24,64,11,11
"E00004137",147,31,76,12,28
"E00004138",142,20,90,8,24
"E00004139",140,2,29,5,104
"E00004140",111,34,57,8,12
"E00004141",114,23,70,11,10
"E00004142",133,21,87,9,16
"E00004143",126,22,80,12,12
"E00004144",102,27,52,16,7
"E00004145",110,22,56,13,19
"E00004146",126,20,64,16,26
"E00004147",126,21,70,9,26
"E00004148",106,36,57,3,10
"E00004149",149,43,76,16,14
"E00004150",147,34,79,16,18
"E00004151",148,39,80,6,23
"E00004152",113,29,64,10,10
"E00004153",108,19,59,11,19
"E00004154",122,28,58,21,15
"E00004155",103,29,41,18,15
"E00004156",126,25,71,14,16
"E00004157",94,18,45,20,11
"E00004158",124,23,68,12,21
"E00004159",160,25,71,24,40
"E00004160",103,27,40,16,20
"E00004161",96,21,52,7,16
"E00004162",128,17,70,13,28
"E00004163",163,26,91,27,19
"E00004164",160,28,70,22,40
"E00004165",146,27,64,23,32
"E00004166",157,25,63,16,53
"E00004167",99,25,44,20,10
"E00004168",109,33,44,12,20
"E00004169",149,39,71,16,23
"E00004172",148,25,78,7,38
"E00004173",127,17,79,8,23
"E00004174",131,14,76,12,29
"E00004175",128,20,70,10,28
"E00004177",74,6,52,2,14
"E00004179",190,35,109,15,31
"E00004180",128,17,68,21,22
"E00004181",212,31,136,15,30
"E00004182",76,7,51,3,15
"E00004183",106,16,61,8,21
"E00004184",112,17,67,13,15
"E00004185",171,9,93,38,31
"E00004187",226,41,118,21,46
"E00004188",109,13,63,13,20
"E00004189",118,21,52,21,24
"E00004190",384,4,313,0,67
"E00004193",119,23,63,8,25
"E00004194",144,23,85,12,24
"E00004195",133,27,63,14,29
"E00004196",101,40,48,6,7
"E00004197",116,23,73,9,11
"E00004198",182,27,100,24,31
"E00004199",163,23,99,16,25
"E00004200",136,8,98,9,21
"E00004201",144,41,72,11,20
"E00004202",160,3,151,0,6
"E00004203",164,32,87,10,35
"E00004204",149,38,70,8,33
"E00004205",145,22,82,18,23
"E00004206",127,19,68,12,28
"E00004207",128,25,47,22,34
"E00004208",125,15,59,19,32
"E00004209",113,23,54,13,23
"E00004210",126,24,49,18,35
"E00004211",124,14,64,10,36
"E00004212",134,20,74,19,21
"E00004213",167,25,80,23,39
"E00004214",243,42,120,36,45
"E00004215",129,36,73,10,10
"E00004216",146,43,73,12,18
"E00004217",141,34,72,12,23
"E00004218",131,35,60,13,23
"E00004219",190,25,105,18,42
"E00004220",87,13,50,10,14
"E00004221",111,13,64,10,24
"E00004222",109,16,65,13,15
"E00004223",116,15,50,20,31
"E00004224",147,29,81,9,28
"E00004225",195,21,120,17,37
"E00004226",119,51,50,12,6
"E00004227",145,29,79,11,26
"E00004228",107,16,67,9,15
"E00004229",174,37,87,13,37
"E00004230",130,19,72,19,20
"E00004231",142,32,80,16,14
"E00004232",132,8,107,5,12
"E00004233",124,33,60,14,17
"E00004234",124,26,60,5,33
"E00004235",163,26,86,19,32
"E00004236",150,19,86,20,25
"E00004237",123,18,65,9,31
"E00004238",126,37,51,18,20
"E00004239",111,26,57,11,17
"E00004240",136,18,84,15,19
"E00004241",133,33,80,12,8
"E00004242",105,9,78,3,15
"E00004243",110,20,56,13,21
"E00004244",100,9,45,13,33
"E00004245",163,27,94,16,26
"E00004246",121,23,65,12,21
"E00004247",156,24,92,12,28
"E00004248",207,30,106,29,42
"E00004249",114,16,57,7,34
"E00004250",127,30,73,11,13
"E00004251",95,30,45,14,6
"E00004252",115,15,64,12,24
"E00004253",132,24,66,10,32
"E00004254",119,15,51,16,37
"E00004255",128,26,67,13,22
"E00004256",149,18,70,18,43
"E00004257",113,14,53,14,32
"E00004258",111,18,60,15,18
"E00004259",104,13,44,18,29
"E00004260",136,2,94,7,33
"E00004261",114,14,63,13,24
"E00004262",114,6,47,11,50
"E00004263",121,8,46,16,51
"E00004264",176,17,103,20,36
"E00004265",112,18,58,14,22
"E00004266",156,19,94,17,26
"E00004268",142,13,77,19,33
"E00004269",121,23,59,6,33
"E00004270",189,29,95,16,49
"E00004271",142,16,80,12,34
"E00004272",113,22,63,13,15
"E00004273",159,29,85,16,29
"E00004274",130,18,73,17,22
"E00004275",104,11,63,4,26
"E00004276",122,11,67,14,30
"E00004277",135,34,63,13,25
"E00004278",102,20,54,7,21
"E00004279",134,9,84,12,29
"E00004280",108,19,67,5,17
"E00004281",115,14,65,15,21
"E00004282",149,37,72,18,22
"E00004283",137,21,86,10,20
"E00004284",128,23,73,10,22
"E00004285",144,19,85,6,34
"E00004286",158,26,79,13,40
"E00004287",111,25,50,19,17
"E00004288",166,24,92,13,37
"E00004289",129,14,80,7,28
"E00004290",164,28,74,12,50
"E00004291",138,19,72,18,29
"E00004292",121,27,41,15,38
"E00004293",119,27,48,19,25
"E00004294",119,15,74,8,22
"E00004295",175,57,89,9,20
"E00004296",133,28,52,17,36
"E00004297",154,22,101,13,18
"E00004298",112,30,54,10,18
"E00004299",135,24,80,15,16
"E00004300",111,27,53,14,17
"E00004301",241,25,135,26,55
"E00004302",143,17,82,18,26
"E00004303",113,28,68,10,7
"E00004304",178,29,98,25,26
"E00004305",134,29,73,21,11
"E00004306",157,46,86,10,15
"E00004307",150,42,83,15,10
"E00004308",123,20,74,14,15
"E00004309",115,28,55,17,15
"E00004310",128,35,66,18,9
"E00004311",99,17,54,15,13
"E00004312",150,17,86,27,20
"E00004313",131,31,69,14,17
"E00004314",153,16,85,16,36
"E00004315",154,29,88,11,26
"E00004316",122,15,64,8,35
"E00004317",161,25,91,19,26
"E00004318",126,29,76,9,12
"E00004319",143,26,75,13,29
"E00004320",112,35,50,17,10
"E00004321",114,28,57,15,14
"E00004322",114,36,61,9,8
"E00004323",96,14,43,15,24
"E00004324",122,40,36,23,23
"E00004325",113,28,57,10,18
"E00004326",117,15,64,15,23
"E00004327",140,29,71,22,18
"E00004328",95,33,42,9,11
"E00004329",124,22,62,11,29
"E00004330",146,30,74,16,26
"E00004331",112,21,56,17,18
"E00004332",87,8,50,14,15
"E00004333",133,35,71,9,18
"E00004334",106,13,69,8,16
"E00004335",145,35,73,13,24
"E00004336",175,30,89,22,34
"E00004337",114,16,69,15,14
"E00004338",112,20,58,16,18
"E00004339",112,15,65,12,20
"E00004340",95,21,47,12,15
"E00004341",132,32,68,7,25
"E00004342",94,15,54,7,18
"E00004343",120,26,66,8,20
"E00004344",118,30,61,11,16
"E00004345",121,36,66,15,4
"E00004346",94,25,46,17,6
"E00004347",97,32,47,6,12
"E00004348",131,35,69,10,17
"E00004349",117,28,66,14,9
"E00004350",125,39,57,17,12
"E00004351",131,53,59,16,3
"E00004352",118,41,53,18,6
"E00004353",137,54,64,10,9
"E00004354",108,35,51,17,5
"E00004355",122,28,69,11,14
"E00004356",121,19,78,14,10
"E00004357",118,25,56,23,14
"E00004358",114,31,59,12,12
"E00004359",121,43,54,18,6
"E00004360",118,29,56,21,12
"E00004361",99,32,48,9,10
"E00004362",127,22,50,27,28
"E00004363",153,23,67,19,44
"E00004364",225,30,117,23,55
"E00004365",139,24,80,10,25
"E00004366",165,11,118,8,28
"E00004367",148,35,59,14,40
"E00004368",175,30,98,15,32
"E00004369",123,29,59,16,19
"E00004370",117,17,67,11,22
"E00004371",103,4,59,8,32
"E00004372",109,20,53,18,18
"E00004373",146,22,66,17,41
"E00004374",97,10,46,16,25
"E00004375",119,21,69,8,21
"E00004376",176,21,102,29,24
"E00004377",95,14,46,12,23
"E00004378",137,27,76,17,17
"E00004379",135,44,65,14,12
"E00004380",152,12,91,14,35
"E00004381",117,23,59,20,15
"E00004382",139,25,85,7,22
"E00004383",103,28,59,6,10
"E00004384",101,24,44,19,14
"E00004385",91,18,53,7,13
"E00004386",101,17,56,11,17
"E00004387",89,14,52,7,16
"E00004388",99,14,61,7,17
"E00004389",108,16,59,17,16
"E00004390",113,24,61,14,14
"E00004391",128,21,78,16,13
"E00004392",95,24,49,14,8
"E00004393",113,21,54,14,24
"E00004394",94,17,46,15,16
"E00004395",133,23,79,10,21
"E00004396",131,19,74,11,27
"E00004397",106,13,48,19,26
"E00004398",99,22,52,9,16
"E00004399",131,19,51,27,34
"E00004400",180,12,101,10,57
"E00004401",128,28,74,12,14
"E00004402",127,31,68,9,19
"E00004403",128,35,79,13,1
"E00004404",116,34,60,13,9
"E00004405",128,35,67,17,9
"E00004406",117,39,57,5,16
"E00004407",118,33,71,9,5
"E00004408",106,34,52,10,10
"E00004409",108,21,55,18,14
"E00004410",120,33,62,14,11
"E00004411",114,23,55,13,23
"E00004412",128,30,68,11,19
"E00004413",101,28,46,13,14
"E00004414",123,21,74,17,11
"E00004415",139,28,76,14,21
"E00004416",114,28,60,13,13
"E00004417",125,37,71,8,9
"E00004418",114,32,51,14,17
"E00004419",126,19,74,11,22
"E00004420",112,36,48,16,12
"E00004421",123,27,73,12,11
"E00004422",92,16,48,6,22
"E00004423",122,39,61,14,8
"E00004424",117,25,58,15,19
"E00004425",140,25,75,24,16
"E00004426",143,30,75,16,22
"E00004427",117,39,59,14,5
"E00004428",131,45,46,13,27
"E00004429",127,28,65,11,23
"E00004430",125,7,100,1,17
"E00004431",106,31,48,17,10
"E00004432",135,31,71,9,24
"E00004433",139,35,65,18,21
"E00004435",119,12,72,7,28
"E00004436",166,38,105,10,13
"E00004437",116,27,64,9,16
"E00004438",118,13,81,9,15
"E00004439",113,37,57,13,6
"E00004440",112,28,51,15,18
"E00004441",115,27,57,16,15
"E00004442",109,13,64,12,20
"E00004444",160,9,74,16,61
"E00004445",105,9,64,16,16
"E00004446",118,18,60,13,27
"E00004447",77,7,62,6,2
"E00004448",142,17,82,15,28
"E00004450",175,19,103,13,40
"E00004451",118,29,51,14,24
