"GeographyCode","QS106EW0001","QS106EW0002","QS106EW0003","QS106EW0004"
"E00004120",314,278,11,25
"E00004121",250,223,7,20
"E00004122",236,205,9,22
"E00004123",296,270,5,21
"E00004124",176,155,11,10
"E00004125",268,234,20,14
"E00004126",274,241,17,16
"E00004127",265,233,20,12
"E00004128",293,245,16,32
"E00004129",265,245,8,12
"E00004130",268,232,6,30
"E00004131",280,215,21,44
"E00004132",204,181,10,13
"E00004133",255,238,12,5
"E00004134",188,153,21,14
"E00004135",143,122,9,12
"E00004136",228,193,17,18
"E00004137",272,225,17,30
"E00004138",225,194,13,18
"E00004139",333,325,3,5
"E00004140",206,184,10,12
"E00004141",188,168,11,9
"E00004142",237,216,10,11
"E00004143",242,221,9,12
"E00004144",230,207,10,13
"E00004145",256,236,10,10
"E00004146",249,219,16,14
"E00004147",225,196,11,18
"E00004148",175,143,11,21
"E00004149",337,291,24,22
"E00004150",304,251,33,20
"E00004151",261,233,13,15
"E00004152",243,218,11,14
"E00004153",206,191,6,9
"E00004154",255,233,8,14
"E00004155",250,214,15,21
"E00004156",223,197,20,6
"E00004157",226,210,6,10
"E00004158",284,265,8,11
"E00004159",394,376,10,8
"E00004160",214,208,4,2
"E00004161",201,177,16,8
"E00004162",248,219,14,15
"E00004163",393,348,10,35
"E00004164",383,364,12,7
"E00004165",345,334,3,8
"E00004166",416,396,7,13
"E00004167",284,249,20,15
"E00004168",194,175,13,6
"E00004169",317,239,30,48
"E00004172",229,190,18,21
"E00004173",609,298,171,140
"E00004174",274,173,27,74
"E00004175",289,256,15,18
"E00004177",296,102,108,86
"E00004179",327,303,11,13
"E00004180",283,225,25,33
"E00004181",355,337,14,4
"E00004182",180,142,14,24
"E00004183",197,190,2,5
"E00004184",210,173,9,28
"E00004185",413,296,46,71
"E00004187",488,335,95,58
"E00004188",182,106,26,50
"E00004189",317,155,20,142
"E00004190",471,311,95,65
"E00004193",657,401,141,115
"E00004194",252,197,31,24
"E00004195",311,246,40,25
"E00004196",211,172,23,16
"E00004197",257,189,42,26
"E00004198",350,245,37,68
"E00004199",286,227,37,22
"E00004200",248,213,12,23
"E00004201",272,223,26,23
"E00004202",171,160,4,7
