"GeographyCode","QS114EW0001","QS114EW0002","QS114EW0003","QS114EW0004","QS114EW0005","QS114EW0006","QS114EW0007","QS114EW0008","QS114EW0009","QS114EW0010","QS114EW0011","QS114EW0012"
"E00004120",286,52,15,37,234,12,26,68,82,0,10,36
"E00004121",250,42,17,25,208,2,32,88,52,5,0,29
"E00004122",236,40,10,30,196,7,16,68,36,21,23,25
"E00004123",296,20,11,9,276,4,28,78,32,30,27,77
"E00004124",176,62,15,47,114,3,10,43,22,6,11,19
"E00004125",268,119,37,82,149,13,4,17,58,0,8,49
"E00004126",274,65,15,50,209,2,20,51,74,25,5,32
"E00004127",265,43,13,30,222,24,18,26,66,5,27,56
"E00004128",293,80,21,59,213,2,28,65,76,6,17,19
"E00004129",265,56,16,40,209,0,30,34,94,5,16,30
"E00004130",268,59,9,50,209,5,8,39,60,10,39,48
"E00004131",280,41,8,33,239,7,28,56,48,16,60,24
"E00004132",196,32,7,25,164,0,10,67,58,10,9,10
"E00004133",255,51,11,40,204,5,10,59,42,15,31,42
"E00004134",188,51,8,43,137,2,20,36,34,5,9,31
"E00004135",143,74,12,62,69,2,2,6,48,0,4,7
"E00004136",228,47,10,37,181,2,16,49,50,13,24,27
"E00004137",272,74,23,51,198,4,16,41,74,16,25,22
"E00004138",225,88,30,58,137,5,18,53,52,0,9,0
"E00004139",333,22,4,18,311,127,0,125,34,5,11,9
"E00004140",206,49,19,30,157,5,16,27,66,10,13,20
"E00004141",188,64,19,45,124,6,14,32,48,0,0,24
"E00004142",237,76,17,59,161,0,6,44,50,10,10,41
"E00004143",242,58,14,44,184,8,6,44,70,22,15,19
"E00004144",230,31,6,25,199,6,22,81,44,5,10,31
"E00004145",208,48,17,31,160,5,10,46,68,6,13,12
"E00004146",249,57,12,45,192,0,6,25,84,10,25,42
"E00004147",225,58,20,38,167,4,16,21,78,15,8,25
"E00004148",175,71,19,52,104,6,6,20,20,11,14,27
"E00004149",317,53,15,38,264,6,20,75,74,5,22,62
"E00004150",304,56,12,44,248,3,2,63,84,5,16,75
"E00004151",261,71,12,59,190,0,10,43,96,11,0,30
"E00004152",243,51,19,32,192,0,20,54,36,20,32,30
"E00004153",206,51,6,45,155,2,18,35,54,5,24,17
"E00004154",255,48,8,40,207,4,8,51,72,0,55,17
"E00004155",250,33,3,30,217,0,10,65,42,21,33,46
"E00004156",223,69,22,47,154,11,10,68,44,5,0,16
"E00004157",226,30,9,21,196,8,12,64,36,5,19,52
"E00004158",284,57,11,46,227,26,10,40,38,16,54,43
"E00004159",394,62,13,49,332,76,28,54,22,22,93,37
"E00004160",214,46,35,11,168,41,24,17,20,15,8,43
"E00004161",201,37,12,25,164,6,14,24,46,21,5,48
"E00004162",248,56,5,51,192,2,10,54,76,10,18,22
"E00004163",391,59,13,46,332,33,16,70,68,38,53,54
"E00004164",383,62,19,43,321,50,24,43,28,42,63,71
"E00004165",345,57,18,39,288,40,28,60,30,20,55,55
