"GeographyCode","QS113EW0001","QS113EW0002","QS113EW0003","QS113EW0004","QS113EW0005","QS113EW0006","QS113EW0007","QS113EW0008","QS113EW0009","QS113EW0010","QS113EW0011","QS113EW0012","QS113EW0013","QS113EW0014","QS113EW0015","QS113EW0016","QS113EW0017","QS113EW0018","QS113EW0019","QS113EW0020","QS113EW0021","QS113EW0022","QS113EW0023","QS113EW0024","QS113EW0025","QS113EW0026","QS113EW0027","QS113EW0028","QS113EW0029","QS113EW0030","QS113EW0031"
"E02000166",3537,1306,438,868,1775,176,816,254,150,284,128,11,11,0,0,0,346,231,49,37,29,426,156,112,158,456,52,60,11,24,309
"E02000167",3629,1380,482,898,1872,211,1088,373,231,378,106,25,23,1,1,0,387,301,41,32,13,161,68,24,69,377,43,59,3,20,252
"E02000168",3535,1274,290,984,1692,108,768,225,128,294,121,16,13,0,1,2,447,322,57,56,12,353,126,96,131,569,54,58,18,13,426
"E02000169",2942,969,332,637,1605,208,976,309,202,362,103,16,15,0,1,0,226,153,23,44,6,179,59,45,75,368,42,73,11,11,231
"E02000170",3685,1301,269,1032,1665,110,917,344,195,270,108,13,12,0,1,0,384,310,35,26,13,241,91,68,82,719,50,92,20,11,546
"E02000171",3502,1310,369,941,1634,98,772,226,157,299,90,18,17,0,0,1,418,299,55,46,18,328,138,63,127,558,62,52,28,17,399
"E02000172",4186,1559,435,1124,1892,89,710,188,123,289,110,23,21,0,1,1,346,209,50,70,17,724,274,218,232,735,82,92,81,10,470
"E02000173",3569,1447,363,1084,1583,145,889,348,187,299,55,17,16,0,1,0,361,299,21,35,6,171,55,31,85,539,39,77,27,8,388
"E02000174",3822,1437,394,1043,1626,67,582,193,106,195,88,17,16,1,0,0,492,351,64,65,12,468,172,135,161,759,65,78,50,14,552
"E02000175",4277,1724,309,1415,1759,71,829,363,185,211,70,13,13,0,0,0,507,429,45,29,4,339,143,71,125,794,40,40,31,10,673
"E02000176",3261,1516,395,1121,1374,87,779,345,173,213,48,20,18,0,0,2,359,304,30,20,5,129,48,22,59,371,43,41,11,8,268
"E02000177",3865,1400,455,945,1787,90,724,235,133,251,105,14,13,1,0,0,353,262,50,28,13,606,205,177,224,678,66,83,50,32,447
"E02000178",4280,1828,393,1435,1704,58,644,269,138,153,84,7,7,0,0,0,515,435,43,27,10,480,187,155,138,748,72,48,50,20,558
"E02000179",2870,1147,323,824,1367,87,657,207,146,250,54,11,9,2,0,0,281,210,32,29,10,331,128,114,89,356,37,49,13,10,247
"E02000180",3394,1269,290,979,1418,65,563,193,91,202,77,11,10,0,0,1,404,294,38,58,14,375,135,120,120,707,53,60,102,7,485
"E02000181",3657,1345,319,1026,1683,75,860,360,189,239,72,20,20,0,0,0,486,409,50,20,7,242,76,61,105,629,29,41,28,6,525
"E02000182",2963,1054,332,722,1432,128,799,284,197,243,75,12,12,0,0,0,228,166,30,26,6,265,82,76,107,477,42,60,49,15,311
"E02000183",3881,1776,507,1269,1644,124,821,299,162,265,95,12,12,0,0,0,417,316,46,41,14,270,102,66,102,461,38,58,28,15,322
"E02000184",3655,1284,254,1030,1506,72,591,147,111,227,106,17,17,0,0,0,318,243,29,32,14,508,190,142,176,865,109,72,200,10,474
"E02000185",3938,1792,555,1237,1607,54,737,234,132,282,89,6,6,0,0,0,303,231,33,28,11,507,178,163,166,539,67,51,29,18,374
"E02000186",3099,1273,261,1012,1179,72,484,194,88,140,62,15,15,0,0,0,345,287,31,20,7,263,95,61,107,647,39,41,126,7,434
"E02000187",3290,1221,360,861,1475,66,647,127,81,319,120,4,3,1,0,0,213,124,33,36,20,545,210,158,177,594,66,81,181,10,256
"E02000188",3170,1164,338,826,1312,59,566,116,101,260,89,14,13,1,0,0,207,133,30,31,13,466,164,137,165,694,53,69,272,10,290
"E02000189",2253,908,198,710,910,28,364,108,67,136,53,13,13,0,0,0,162,121,14,20,7,343,87,173,83,435,33,40,122,8,232
"E02000190",3181,1747,420,1327,948,51,371,136,67,114,54,24,22,1,0,1,209,167,23,14,5,293,104,99,90,486,25,30,178,9,244
"E02000191",2868,1445,275,1170,748,62,314,150,52,73,39,28,28,0,0,0,211,193,10,7,1,133,42,45,46,675,24,25,289,5,332
"E02000192",3375,1506,319,1187,1322,60,508,179,86,192,51,38,38,0,0,0,334,258,41,26,9,382,141,102,139,547,42,55,101,7,342
"E02000193",3850,2149,438,1711,984,72,416,216,55,88,57,34,31,2,0,1,275,238,16,15,6,187,66,34,87,717,32,60,213,4,408
