"GeographyCode","QS612EW0001","QS612EW0002","QS612EW0003","QS612EW0004","QS612EW0005","QS612EW0006","QS612EW0007","QS612EW0008","QS612EW0009","QS612EW0010","QS612EW0011","QS612EW0012"
"E00004120",264,187,77,3,18,6,5,4,3,9,11,18
"E00004121",186,142,44,0,8,4,2,3,4,4,13,6
"E00004122",165,125,40,2,5,2,0,3,2,6,8,12
"E00004123",214,170,44,1,12,3,2,1,0,4,9,12
"E00004124",131,91,40,1,7,7,2,1,2,6,8,6
"E00004125",234,179,55,7,11,8,0,1,2,4,12,10
"E00004126",220,170,50,1,9,3,2,2,0,8,14,11
"E00004127",213,167,46,1,5,5,1,0,0,8,12,14
"E00004128",231,171,60,3,12,2,3,2,2,7,14,15
"E00004129",232,178,54,1,8,5,1,2,2,11,17,7
"E00004130",218,172,46,1,10,5,1,3,5,4,6,11
"E00004131",214,179,35,4,3,5,1,4,1,2,6,9
"E00004132",158,130,28,1,5,2,2,0,0,7,3,8
"E00004133",201,150,51,0,2,2,5,5,0,10,9,18
"E00004134",148,104,44,2,10,3,2,1,0,6,2,18
"E00004135",134,115,19,1,3,3,2,1,1,0,5,3
"E00004136",183,144,39,2,5,5,0,0,1,7,9,10
"E00004137",218,180,38,0,8,3,1,8,2,8,8,0
"E00004138",181,126,55,2,6,4,3,3,5,8,19,5
"E00004139",207,80,127,2,23,8,11,5,4,9,4,61
"E00004140",159,122,37,1,5,1,2,3,4,5,12,4
"E00004141",162,98,64,3,9,4,7,2,4,7,17,11
"E00004142",200,151,49,1,11,3,1,2,3,6,12,10
"E00004143",190,141,49,2,5,2,2,2,4,7,18,7
"E00004144",171,131,40,0,11,3,3,2,1,10,6,4
"E00004145",213,161,52,2,10,1,2,2,1,10,9,15
"E00004146",216,172,44,2,8,1,5,3,0,5,8,12
"E00004147",193,152,41,2,10,3,3,3,0,10,8,2
"E00004148",137,101,36,5,7,4,4,1,3,4,4,4
"E00004149",257,196,61,1,20,5,2,3,1,5,4,20
"E00004150",264,222,42,1,5,8,2,2,3,6,7,8
"E00004151",227,195,32,3,6,7,1,2,2,3,6,2
"E00004152",177,130,47,1,5,4,3,1,2,8,9,14
"E00004153",175,123,52,0,6,3,8,3,0,7,10,15
"E00004154",201,160,41,2,6,11,3,0,0,12,5,2
"E00004155",185,135,50,2,9,2,1,4,3,7,11,11
"E00004156",173,132,41,1,9,4,3,0,3,8,10,3
"E00004157",177,131,46,1,7,0,6,3,1,10,7,11
"E00004158",213,111,102,3,18,4,3,4,1,7,21,41
"E00004159",257,120,137,2,17,4,6,1,4,12,17,74
"E00004160",141,62,79,2,5,2,5,5,1,17,16,26
"E00004161",157,121,36,2,10,4,2,2,0,4,8,4
"E00004162",209,157,52,3,7,8,1,1,3,5,8,16
"E00004163",283,194,89,3,7,12,2,3,4,7,10,41
"E00004164",262,137,125,2,17,6,5,5,5,14,18,53
"E00004165",246,111,135,3,20,10,8,4,1,15,14,60
"E00004166",263,112,151,3,8,13,5,3,5,19,24,71
"E00004167",190,132,58,1,6,1,2,1,6,11,15,15
"E00004168",143,108,35,1,4,0,3,1,4,6,8,8
"E00004169",278,183,95,2,8,7,3,4,1,9,7,54
"E00004172",210,149,61,3,7,8,4,2,2,12,12,11
"E00004173",573,164,409,23,116,23,7,6,1,13,32,188
"E00004174",231,77,154,2,67,17,11,2,3,7,14,31
"E00004175",247,102,145,3,26,7,12,3,2,15,19,58
"E00004177",283,99,184,8,71,7,1,2,1,2,5,87
"E00004179",240,114,126,1,11,9,5,3,5,22,32,38
"E00004180",203,106,97,6,19,8,3,3,2,7,9,40
"E00004181",246,123,123,4,12,6,5,8,3,24,35,26
"E00004182",143,84,59,0,14,8,1,1,0,4,2,29
"E00004183",152,93,59,3,5,6,3,1,2,10,9,20
"E00004184",167,92,75,4,12,6,2,2,2,12,9,26
"E00004185",304,149,155,1,51,21,11,1,4,7,10,49
"E00004187",425,257,168,10,38,8,7,4,8,6,12,75
