"GeographyCode","QS502EW0001","QS502EW0002","QS502EW0003","QS502EW0004","QS502EW0005","QS502EW0006","QS502EW0007","QS502EW0008","QS502EW0009","QS502EW0010","QS502EW0011","QS502EW0012","QS502EW0013","QS502EW0014"
"E01000842",1257,52,244,25,577,48,17,504,40,793,24,313,183,435
"E01000843",1370,114,337,61,633,70,16,571,36,770,29,357,175,359
"E01000844",1483,68,310,24,711,44,23,630,39,963,18,443,170,497
"E01000845",1256,86,324,32,580,41,17,518,52,720,29,317,140,314
"E01000846",1126,206,256,54,390,82,22,297,59,392,36,165,122,243
"E01000847",1258,173,303,62,432,87,19,339,61,502,26,222,133,315
"E01000848",1364,101,281,26,611,22,22,544,40,823,29,350,147,397
"E01000849",1372,76,279,47,656,58,27,573,48,857,24,337,194,346
"E01000850",1612,75,416,46,735,80,20,742,54,811,37,325,137,502
"E01000851",2247,87,722,49,1217,71,21,1296,47,794,26,257,208,586
"E01000852",1544,101,415,34,718,54,21,805,38,563,17,167,113,450
"E01000853",1383,304,316,71,452,97,27,381,73,446,25,167,154,272
"E01000854",1616,145,432,64,800,75,10,844,38,597,17,180,136,361
"E01000855",1713,79,446,48,870,86,21,800,88,955,46,435,237,427
"E01000856",1294,225,351,83,433,113,23,366,72,443,24,134,122,260
"E01000857",1201,119,289,32,537,52,20,459,53,626,19,274,152,281
"E01000858",1503,319,423,80,488,148,30,390,92,472,31,158,163,255
"E01000859",1347,73,331,24,733,52,17,635,38,838,32,366,193,309
"E01000860",1144,184,271,36,455,59,18,352,36,564,16,304,132,226
"E01000861",1384,154,395,69,621,108,24,563,76,600,39,192,185,298
"E01000862",1465,63,393,32,816,58,12,714,34,917,36,376,189,352
"E01000863",1336,116,362,74,590,97,24,529,61,679,36,191,138,336
"E01000864",1331,143,414,65,661,94,19,581,75,670,42,213,192,238
"E01000865",1368,75,446,50,766,72,11,749,51,562,30,199,130,305
"E01000866",1717,245,501,78,758,137,31,629,97,784,38,270,214,342
"E01000867",1301,256,364,91,482,110,15,430,65,489,18,153,121,279
"E01000868",1049,242,270,84,298,122,13,180,100,294,39,108,106,171
"E01000869",1805,201,553,76,893,112,23,820,85,882,51,312,204,367
"E01000870",1424,225,400,87,641,129,32,508,84,633,33,206,183,183
"E01000871",1352,119,327,49,684,62,21,577,61,695,45,327,181,306
"E01000872",1668,187,408,68,641,126,38,560,94,758,44,287,196,476
"E01000873",1386,92,393,39,757,70,25,654,58,812,37,372,185,284
"E01000874",1332,58,317,24,662,41,17,616,28,822,30,348,156,402
"E01000875",1453,136,397,64,628,99,27,550,78,711,49,286,150,383
"E01000876",1427,244,368,95,526,129,25,414,83,532,45,243,186,329
"E01000877",1356,86,368,30,679,75,15,582,89,772,35,356,188,358
"E01000878",1432,110,349,35,666,49,23,597,40,567,21,240,145,404
"E01000879",1220,63,289,25,579,58,30,511,42,657,19,269,151,371
"E01000880",1212,59,240,10,518,41,10,437,26,738,20,302,148,413
"E01000881",1233,63,270,38,503,53,15,453,52,707,16,260,142,449
"E01000882",1269,40,267,26,597,37,13,531,40,830,25,345,138,419
"E01000883",1144,78,233,26,450,40,14,397,38,678,28,247,126,430
"E01000884",1132,55,226,20,586,33,12,494,29,665,23,322,125,312
"E01000885",1197,129,221,21,509,31,14,428,24,575,23,273,125,317
"E01000886",1173,91,340,46,632,84,17,543,59,656,32,280,199,251
"E01000887",1264,127,327,45,575,71,11,502,67,682,29,301,154,281
"E01000888",1279,148,371,44,638,91,32,524,63,679,34,283,165,258
"E01000889",1304,344,346,98,350,143,37,262,106,301,42,139,165,166
"E01000890",1321,404,302,105,299,152,26,193,81,250,34,109,147,205
"E01000891",1234,360,292,80,315,105,20,243,77,283,22,103,114,212
"E01000892",1481,141,399,50,697,88,24,576,75,741,33,368,200,343
"E01000893",1301,48,310,25,748,43,18,638,49,854,28,365,182,324
"E01000894",1130,34,254,21,592,29,9,518,34,723,30,340,155,319
"E01000895",1379,131,297,39,631,60,22,536,66,777,26,333,147,345
"E01000896",1391,65,369,30,780,37,19,676,36,939,26,427,172,356
"E01000897",1285,59,246,18,623,33,11,579,32,877,22,364,129,394
"E01000898",1472,147,341,43,592,100,18,536,55,757,28,477,187,343
"E01000899",1340,83,333,32,735,49,16,602,39,740,32,378,173,318
"E01000900",1480,282,435,109,594,114,38,514,103,558,36,212,168,226
"E01000901",1474,328,420,101,405,128,25,344,81,445,35,142,141,308
"E01000902",1102,241,300,91,328,106,21,230,66,335,29,130,117,199
"E01000903",1247,143,327,41,610,58,15,531,44,633,31,270,160,256
"E01000904",1739,315,461,117,635,166,36,514,100,615,42,216,226,311
"E01000905",1532,447,430,121,380,144,35,308,85,341,33,132,148,260
"E01000906",1380,99,326,32,720,60,18,616,48,823,25,339,179,288
"E01000907",1135,227,311,81,452,108,23,363,72,441,22,192,142,188
"E01000908",1289,193,356,66,543,120,17,407,70,532,49,264,196,237
"E01000909",1370,132,371,56,782,75,17,680,60,731,41,334,209,209
"E01000910",1221,84,372,24,778,63,18,639,56,722,33,328,163,166
"E01000911",1241,192,333,58,591,88,26,480,76,589,33,238,170,174
"E01000912",1329,239,408,94,539,104,23,429,88,528,36,233,179,205
"E01000913",1418,70,383,18,871,53,14,718,34,802,34,430,175,222
"E01000914",1626,124,400,33,726,66,16,749,58,840,34,335,168,440
"E01000915",1234,273,290,70,403,121,58,366,61,411,22,163,145,263
"E01000916",1560,191,413,74,597,107,25,551,87,742,27,252,188,369
"E01000917",1490,290,427,107,425,144,23,343,122,408,51,154,148,297
"E01000918",1886,211,487,77,796,128,28,695,94,789,35,267,187,447
"E01000919",1850,174,440,64,690,112,18,702,62,689,24,210,179,577
"E01000920",1702,205,479,58,746,98,45,686,82,833,31,319,194,390
"E01000921",1692,155,512,70,917,126,18,822,91,946,48,306,244,312
"E01000922",1322,189,414,79,660,114,23,583,85,525,30,197,191,186
"E01000923",1264,176,393,61,685,91,8,586,69,673,22,260,167,184
"E01000924",1436,122,435,47,772,97,20,655,69,831,38,303,198,271
"E01000925",1173,298,262,72,349,109,20,267,63,340,30,117,115,190
"E01000926",1537,166,450,66,694,104,31,626,95,880,25,168,185,282
"E01000927",1496,192,394,63,772,78,23,689,74,800,38,285,193,272
"E01000928",1377,237,365,54,626,94,30,505,69,613,37,259,184,226
"E01000929",1260,279,291,67,314,105,23,223,62,319,36,129,127,263
"E01000930",1586,352,338,72,408,119,29,347,83,527,44,195,166,405
"E01000931",1589,326,365,84,487,137,38,384,99,511,31,210,179,376
"E01000932",1670,166,435,83,701,118,30,628,81,928,49,340,212,432
"E01000933",1492,144,355,48,687,95,17,604,68,768,53,288,209,357
"E01000934",1310,273,280,65,335,100,18,245,74,387,27,165,150,351
"E01000935",1047,195,266,76,264,116,20,188,70,284,26,141,104,246
"E01000936",1525,174,402,44,587,79,20,576,64,567,58,157,144,386
"E01000937",1361,96,331,34,520,57,8,571,31,584,37,157,117,452
"E01000938",1390,157,440,83,547,120,14,497,71,464,47,166,128,350
"E01000939",947,247,235,54,311,75,10,245,55,175,27,74,78,182
"E01000940",939,162,204,37,300,67,11,238,39,394,13,118,90,295
"E01000941",1000,243,279,58,269,84,24,208,39,239,18,97,114,205
"E01000942",2006,85,678,52,1139,84,16,1195,45,634,26,201,157,560
"E01000943",957,66,245,22,347,43,9,348,39,478,22,160,91,285
"E01000944",1627,290,360,60,744,87,14,767,59,282,21,93,96,202
"E01000945",1553,176,435,95,667,94,13,675,65,454,16,134,124,384
"E01000946",1302,172,312,68,506,90,26,408,74,524,33,244,151,310
"E01000947",1765,238,465,78,694,135,18,596,70,812,28,191,164,370
"E01000948",1488,219,377,74,593,95,29,464,71,662,34,254,167,359
"E01000949",1322,299,358,73,380,125,28,293,85,299,25,175,174,215
"E01000950",1100,296,299,76,286,96,17,231,54,204,17,68,76,216
"E01000951",1218,302,308,73,341,107,16,311,64,294,23,72,98,238
"E01000952",1403,338,410,71,460,106,23,388,64,321,25,114,137,243
"E01000953",1349,361,350,97,360,129,16,295,68,290,21,98,125,252
"E01000954",1194,364,315,106,247,113,23,203,83,175,25,56,108,197
"E01000955",1253,347,296,97,320,142,24,253,77,231,21,72,137,212
"E01000956",1187,211,310,87,346,84,18,294,58,337,29,85,110,293
"E01000957",1435,223,374,86,548,112,25,478,86,518,40,198,180,304
"E01000958",1863,290,523,154,686,165,21,589,110,633,38,202,174,430
"E01000959",1376,378,376,97,414,122,32,352,75,304,19,113,123,226
"E01000960",1474,131,348,39,531,54,21,498,36,772,23,314,161,487
"E01000961",1228,205,272,46,359,87,13,291,67,472,27,179,117,348
"E01000962",1376,58,286,36,620,56,13,587,44,911,24,369,154,461
"E01000963",1626,192,218,43,416,38,13,346,25,773,17,287,160,600
"E01000964",1309,105,313,37,560,71,32,476,49,686,42,284,179,360
"E01000965",1315,100,309,57,615,73,14,566,59,774,33,363,149,334
"E01000966",1296,59,280,25,624,34,15,587,37,880,19,383,154,450
"E01000967",1149,123,252,26,486,35,21,389,31,561,14,233,108,293
"E01000968",1336,112,378,26,651,65,24,592,56,824,28,317,171,301
"E01000969",1791,73,421,43,872,69,24,826,58,1153,33,487,206,574
"E01000970",1362,60,329,32,741,65,20,676,58,901,32,383,193,349
"E01000971",1237,99,330,37,649,65,17,581,52,731,31,325,174,310
"E01000972",1676,251,415,78,541,123,36,480,101,691,55,292,176,432
"E01000973",1654,181,459,67,691,131,29,651,88,850,35,341,192,371
"E01000974",1491,230,407,72,575,113,37,476,76,609,43,233,162,335
