"GeographyCode","KS613EW0001","KS613EW0002","KS613EW0003","KS613EW0004","KS613EW0005","KS613EW0006","KS613EW0007","KS613EW0008","KS613EW0009","KS613EW0010","KS613EW0011","KS613EW0012","KS613EW0013","KS613EW0014","KS613EW0015","KS613EW0016","KS613EW0017","KS613EW0018","KS613EW0019","KS613EW0020","KS613EW0021","KS613EW0022","KS613EW0023","KS613EW0024","KS613EW0025","KS613EW0026","KS613EW0027","KS613EW0028","KS613EW0029","KS613EW0030","KS613EW0031"
"E00004120",135,34,6,28,47,11,9,1,8,0,4,3,1,21,21,0,25.1851851851852,4.44444444444444,20.7407407407407,34.8148148148148,8.14814814814815,6.66666666666667,0.740740740740741,5.92592592592593,0,2.96296296296296,2.22222222222222,0.740740740740741,15.5555555555556,15.5555555555556,0
"E00004121",98,35,2,33,31,13,3,1,5,1,7,5,2,2,2,0,35.7142857142857,2.04081632653061,33.6734693877551,31.6326530612245,13.265306122449,3.06122448979592,1.02040816326531,5.10204081632653,1.02040816326531,7.14285714285714,5.10204081632653,2.04081632653061,2.04081632653061,2.04081632653061,0
"E00004122",78,20,4,16,19,7,10,1,4,3,6,5,1,8,8,0,25.6410256410256,5.12820512820513,20.5128205128205,24.3589743589744,8.97435897435897,12.8205128205128,1.28205128205128,5.12820512820513,3.84615384615385,7.69230769230769,6.41025641025641,1.28205128205128,10.2564102564103,10.2564102564103,0
"E00004123",111,27,2,25,34,12,12,1,5,3,5,4,1,12,12,0,24.3243243243243,1.8018018018018,22.5225225225225,30.6306306306306,10.8108108108108,10.8108108108108,0.900900900900901,4.5045045045045,2.7027027027027,4.5045045045045,3.6036036036036,0.900900900900901,10.8108108108108,10.8108108108108,0
"E00004124",67,16,6,10,27,7,6,0,3,1,3,3,0,4,4,0,23.8805970149254,8.95522388059701,14.9253731343284,40.2985074626866,10.4477611940298,8.95522388059701,0,4.47761194029851,1.49253731343284,4.47761194029851,4.47761194029851,0,5.97014925373134,5.97014925373134,0
"E00004125",130,46,5,41,42,20,7,1,6,0,2,2,0,6,6,0,35.3846153846154,3.84615384615385,31.5384615384615,32.3076923076923,15.3846153846154,5.38461538461539,0.769230769230769,4.61538461538462,0,1.53846153846154,1.53846153846154,0,4.61538461538462,4.61538461538462,0
"E00004126",104,37,8,29,25,14,9,0,7,3,5,4,1,4,4,0,35.5769230769231,7.69230769230769,27.8846153846154,24.0384615384615,13.4615384615385,8.65384615384615,0,6.73076923076923,2.88461538461538,4.80769230769231,3.84615384615385,0.961538461538462,3.84615384615385,3.84615384615385,0
"E00004127",106,21,2,19,30,16,8,3,6,3,5,5,0,14,14,0,19.811320754717,1.88679245283019,17.9245283018868,28.3018867924528,15.0943396226415,7.54716981132075,2.83018867924528,5.66037735849057,2.83018867924528,4.71698113207547,4.71698113207547,0,13.2075471698113,13.2075471698113,0
"E00004128",125,38,6,32,45,9,9,0,3,3,5,4,1,13,13,0,30.4,4.8,25.6,36,7.2,7.2,0,2.4,2.4,4,3.2,0.8,10.4,10.4,0
"E00004129",119,40,6,34,38,12,7,2,9,2,4,0,4,5,5,0,33.6134453781513,5.04201680672269,28.5714285714286,31.9327731092437,10.0840336134454,5.88235294117647,1.68067226890756,7.56302521008403,1.68067226890756,3.36134453781513,0,3.36134453781513,4.20168067226891,4.20168067226891,0
"E00004130",112,27,3,24,48,9,2,2,6,5,2,2,0,11,11,0,24.1071428571429,2.67857142857143,21.4285714285714,42.8571428571429,8.03571428571429,1.78571428571429,1.78571428571429,5.35714285714286,4.46428571428571,1.78571428571429,1.78571428571429,0,9.82142857142857,9.82142857142857,0
"E00004131",108,23,3,20,45,8,13,7,6,0,4,3,1,2,2,0,21.2962962962963,2.77777777777778,18.5185185185185,41.6666666666667,7.40740740740741,12.037037037037,6.48148148148148,5.55555555555556,0,3.7037037037037,2.77777777777778,0.925925925925926,1.85185185185185,1.85185185185185,0
"E00004132",81,28,5,23,31,5,10,0,0,2,2,2,0,3,3,0,34.5679012345679,6.17283950617284,28.3950617283951,38.2716049382716,6.17283950617284,12.3456790123457,0,0,2.46913580246914,2.46913580246914,2.46913580246914,0,3.7037037037037,3.7037037037037,0
"E00004133",120,34,8,26,30,15,10,2,3,4,8,7,1,14,14,0,28.3333333333333,6.66666666666667,21.6666666666667,25,12.5,8.33333333333333,1.66666666666667,2.5,3.33333333333333,6.66666666666667,5.83333333333333,0.833333333333333,11.6666666666667,11.6666666666667,0
"E00004134",76,16,1,15,26,12,6,1,0,3,4,4,0,8,8,0,21.0526315789474,1.31578947368421,19.7368421052632,34.2105263157895,15.7894736842105,7.89473684210526,1.31578947368421,0,3.94736842105263,5.26315789473684,5.26315789473684,0,10.5263157894737,10.5263157894737,0
"E00004135",70,19,2,17,21,13,2,0,6,5,0,0,0,4,4,0,27.1428571428571,2.85714285714286,24.2857142857143,30,18.5714285714286,2.85714285714286,0,8.57142857142857,7.14285714285714,0,0,0,5.71428571428571,5.71428571428571,0
"E00004136",95,20,2,18,44,10,7,1,0,1,0,0,0,12,12,0,21.0526315789474,2.10526315789474,18.9473684210526,46.3157894736842,10.5263157894737,7.36842105263158,1.05263157894737,0,1.05263157894737,0,0,0,12.6315789473684,12.6315789473684,0
"E00004137",111,24,5,19,46,12,16,3,7,0,1,0,1,2,2,0,21.6216216216216,4.5045045045045,17.1171171171171,41.4414414414414,10.8108108108108,14.4144144144144,2.7027027027027,6.30630630630631,0,0.900900900900901,0,0.900900900900901,1.8018018018018,1.8018018018018,0
