"GeographyCode","QS414EW0001","QS414EW0002","QS414EW0003","QS414EW0004","QS414EW0005"
"E01000842",1368,163,756,201,248
"E01000843",1678,148,704,268,558
"E01000844",1772,194,845,410,323
"E01000845",1444,201,724,198,321
"E01000846",1499,135,506,363,495
"E01000847",1684,150,621,428,485
"E01000848",1580,195,817,250,318
"E01000849",1569,191,799,292,287
"E01000850",1281,147,588,188,358
"E01000851",1645,136,764,295,450
"E01000852",976,111,531,110,224
"E01000853",1596,127,687,249,533
"E01000854",1643,101,633,395,514
"E01000855",1714,153,948,213,400
"E01000856",1645,106,559,348,632
"E01000857",1443,191,714,259,279
"E01000858",1861,131,716,410,604
"E01000859",1586,213,796,278,299
"E01000860",1307,129,757,155,266
"E01000861",1574,105,720,316,433
"E01000862",1712,232,816,262,402
"E01000863",1383,114,705,242,322
"E01000864",1537,108,732,269,428
"E01000865",977,125,507,172,173
"E01000866",2030,159,871,394,606
"E01000867",1608,95,611,307,595
"E01000868",1442,46,425,223,748
"E01000869",2098,190,1065,273,570
"E01000870",1693,130,743,335,485
"E01000871",1653,214,875,251,313
"E01000872",1896,148,837,370,541
"E01000873",1639,155,939,317,228
"E01000874",1559,210,865,285,199
"E01000875",1646,166,708,281,491
"E01000876",1748,151,696,316,585
"E01000877",1546,151,813,285,297
"E01000878",1246,195,591,244,216
"E01000879",1305,191,566,263,285
"E01000880",1558,146,764,362,286
"E01000881",1451,137,646,348,320
"E01000882",1512,192,744,260,316
"E01000883",1319,122,652,244,301
"E01000884",1462,226,847,237,152
"E01000885",1410,262,707,327,114
"E01000886",1445,149,676,349,271
"E01000887",1478,162,763,238,315
"E01000888",1605,140,855,243,367
"E01000889",1670,97,587,439,547
"E01000890",1625,104,622,271,628
"E01000891",1534,79,576,290,589
"E01000892",1843,204,848,333,458
"E01000893",1566,215,778,312,261
"E01000894",1376,200,777,220,179
"E01000895",1629,183,777,281,388
"E01000896",1692,236,844,367,245
"E01000897",1595,225,787,301,282
"E01000898",1688,123,825,279,461
"E01000899",1606,267,896,266,177
"E01000900",1795,144,772,385,494
"E01000901",1821,100,545,387,789
"E01000902",1451,93,521,273,564
"E01000903",1418,163,634,337,284
"E01000904",2120,129,896,455,640
"E01000905",1965,105,671,358,831
"E01000906",1532,193,702,221,416
"E01000907",1430,127,601,312,390
"E01000908",1581,145,763,257,416
"E01000909",1614,248,839,349,178
"E01000910",1472,152,789,253,278
"E01000911",1549,137,690,326,396
"E01000912",1589,151,742,347,349
"E01000913",1702,354,905,280,163
"E01000914",1753,212,885,220,436
"E01000915",1527,115,502,250,660
"E01000916",1718,145,746,208,619
"E01000917",1855,106,653,323,773
"E01000918",1885,123,817,276,669
"E01000919",1658,148,746,241,523
"E01000920",1921,150,909,296,566
"E01000921",1963,133,881,336,613
"E01000922",1537,149,699,297,392
"E01000923",1436,164,688,317,267
"E01000924",1637,144,753,238,502
"E01000925",1552,125,529,323,575
"E01000926",1791,99,875,367,450
"E01000927",1732,160,784,363,425
"E01000928",1620,149,669,371,431
"E01000929",1675,113,576,352,634
"E01000930",1910,145,883,235,647
"E01000931",1902,113,747,245,797
"E01000932",1825,182,850,293,500
"E01000933",1671,195,769,293,414
"E01000934",1542,101,562,302,577
"E01000935",1415,109,381,245,680
"E01000936",1360,66,488,273,533
"E01000937",943,53,393,138,359
"E01000938",1726,81,608,392,645
"E01000939",1197,62,373,218,544
"E01000940",1124,65,419,197,443
"E01000941",1203,61,421,171,550
"E01000942",1181,92,572,138,379
"E01000943",991,85,486,119,301
"E01000944",1899,81,831,251,736
"E01000945",1493,109,526,321,537
"E01000946",1475,184,705,238,348
"E01000947",1925,122,849,299,655
"E01000948",1708,178,811,236,483
"E01000949",1578,94,590,293,601
"E01000950",1431,68,426,264,673
"E01000951",1538,118,467,295,658
"E01000952",1728,103,620,358,647
"E01000953",1643,123,557,298,665
"E01000954",1656,93,471,294,798
"E01000955",1505,94,558,298,555
"E01000956",1532,89,518,246,679
"E01000957",1729,135,704,332,558
"E01000958",2108,110,818,526,654
"E01000959",1670,131,648,316,575
"E01000960",1774,185,722,306,561
"E01000961",1591,161,594,292,544
"E01000962",1592,144,752,364,332
"E01000963",1864,276,863,432,293
"E01000964",1577,167,755,317,338
"E01000965",1522,164,663,292,403
"E01000966",1508,173,767,334,234
"E01000967",1409,233,693,267,216
"E01000968",1504,153,724,252,375
"E01000969",2032,227,1150,342,313
"E01000970",1444,143,813,176,312
"E01000971",1478,152,852,185,289
"E01000972",2009,131,809,389,680
"E01000973",1883,112,941,339,491
"E01000974",1702,124,796,237,545
