"GeographyCode","KS107EW0001","KS107EW0002","KS107EW0003","KS107EW0004","KS107EW0005","KS107EW0006","KS107EW0007","KS107EW0008","KS107EW0009","KS107EW0010","KS107EW0011","KS107EW0012","KS107EW0013","KS107EW0014","KS107EW0015","KS107EW0016","KS107EW0017","KS107EW0018","KS107EW0019","KS107EW0020","KS107EW0021","KS107EW0022","KS107EW0023"
"E01000889",87,21,18,48,6,1,4,1,81,20,14,47,24.1379310344828,20.6896551724138,55.1724137931034,6.89655172413793,1.14942528735632,4.59770114942529,1.14942528735632,93.1034482758621,22.9885057471264,16.0919540229885,54.0229885057471
"E01000890",89,18,16,55,6,2,0,4,83,16,16,51,20.2247191011236,17.9775280898876,61.7977528089888,6.74157303370786,2.24719101123596,0,4.49438202247191,93.2584269662921,17.9775280898876,17.9775280898876,57.3033707865169
"E01000891",102,19,20,63,10,5,2,3,92,14,18,60,18.6274509803922,19.6078431372549,61.7647058823529,9.80392156862745,4.90196078431373,1.96078431372549,2.94117647058824,90.1960784313726,13.7254901960784,17.6470588235294,58.8235294117647
"E01000892",57,7,16,34,2,0,1,1,55,7,15,33,12.280701754386,28.0701754385965,59.6491228070175,3.50877192982456,0,1.75438596491228,1.75438596491228,96.4912280701754,12.280701754386,26.3157894736842,57.8947368421053
"E01000893",22,7,7,8,5,2,2,1,17,5,5,7,31.8181818181818,31.8181818181818,36.3636363636364,22.7272727272727,9.09090909090909,9.09090909090909,4.54545454545455,77.2727272727273,22.7272727272727,22.7272727272727,31.8181818181818
"E01000894",12,5,4,3,1,1,0,0,11,4,4,3,41.6666666666667,33.3333333333333,25,8.33333333333333,8.33333333333333,0,0,91.6666666666667,33.3333333333333,33.3333333333333,25
"E01000895",28,11,10,7,4,1,3,0,24,10,7,7,39.2857142857143,35.7142857142857,25,14.2857142857143,3.57142857142857,10.7142857142857,0,85.7142857142857,35.7142857142857,25,25
"E01000896",11,4,3,4,3,1,1,1,8,3,2,3,36.3636363636364,27.2727272727273,36.3636363636364,27.2727272727273,9.09090909090909,9.09090909090909,9.09090909090909,72.7272727272727,27.2727272727273,18.1818181818182,27.2727272727273
"E01000897",7,0,4,3,2,0,2,0,5,0,2,3,0,57.1428571428571,42.8571428571429,28.5714285714286,0,28.5714285714286,0,71.4285714285714,0,28.5714285714286,42.8571428571429
"E01000898",29,5,13,11,4,0,3,1,25,5,10,10,17.2413793103448,44.8275862068966,37.9310344827586,13.7931034482759,0,10.3448275862069,3.44827586206897,86.2068965517241,17.2413793103448,34.4827586206897,34.4827586206897
"E01000899",18,2,9,7,5,1,3,1,13,1,6,6,11.1111111111111,50,38.8888888888889,27.7777777777778,5.55555555555556,16.6666666666667,5.55555555555556,72.2222222222222,5.55555555555556,33.3333333333333,33.3333333333333
"E01000900",67,14,12,41,6,0,2,4,61,14,10,37,20.8955223880597,17.910447761194,61.1940298507463,8.95522388059701,0,2.98507462686567,5.97014925373134,91.044776119403,20.8955223880597,14.9253731343284,55.2238805970149
"E01000901",116,24,25,67,7,1,4,2,109,23,21,65,20.6896551724138,21.551724137931,57.7586206896552,6.03448275862069,0.862068965517241,3.44827586206897,1.72413793103448,93.9655172413793,19.8275862068966,18.1034482758621,56.0344827586207
"E01000902",82,20,16,46,5,1,0,4,77,19,16,42,24.390243902439,19.5121951219512,56.0975609756098,6.09756097560976,1.21951219512195,0,4.8780487804878,93.9024390243902,23.1707317073171,19.5121951219512,51.219512195122
"E01000903",26,5,8,13,3,0,1,2,23,5,7,11,19.2307692307692,30.7692307692308,50,11.5384615384615,0,3.84615384615385,7.69230769230769,88.4615384615385,19.2307692307692,26.9230769230769,42.3076923076923
"E01000904",86,27,16,43,3,0,0,3,83,27,16,40,31.3953488372093,18.6046511627907,50,3.48837209302326,0,0,3.48837209302326,96.5116279069768,31.3953488372093,18.6046511627907,46.5116279069767
"E01000905",120,18,20,82,3,0,1,2,117,18,19,80,15,16.6666666666667,68.3333333333333,2.5,0,0.833333333333333,1.66666666666667,97.5,15,15.8333333333333,66.6666666666667
"E01000906",21,4,6,11,3,0,2,1,18,4,4,10,19.047619047619,28.5714285714286,52.3809523809524,14.2857142857143,0,9.52380952380952,4.76190476190476,85.7142857142857,19.047619047619,19.047619047619,47.6190476190476
"E01000907",92,20,21,51,6,1,2,3,86,19,19,48,21.7391304347826,22.8260869565217,55.4347826086957,6.52173913043478,1.08695652173913,2.17391304347826,3.26086956521739,93.4782608695652,20.6521739130435,20.6521739130435,52.1739130434783
"E01000908",70,25,11,34,5,2,1,2,65,23,10,32,35.7142857142857,15.7142857142857,48.5714285714286,7.14285714285714,2.85714285714286,1.42857142857143,2.85714285714286,92.8571428571429,32.8571428571429,14.2857142857143,45.7142857142857
"E01000909",22,3,6,13,1,0,0,1,21,3,6,12,13.6363636363636,27.2727272727273,59.0909090909091,4.54545454545455,0,0,4.54545454545455,95.4545454545455,13.6363636363636,27.2727272727273,54.5454545454545
"E01000910",12,5,4,3,0,0,0,0,12,5,4,3,41.6666666666667,33.3333333333333,25,0,0,0,0,100,41.6666666666667,33.3333333333333,25
"E01000911",52,17,13,22,5,1,3,1,47,16,10,21,32.6923076923077,25,42.3076923076923,9.61538461538462,1.92307692307692,5.76923076923077,1.92307692307692,90.3846153846154,30.7692307692308,19.2307692307692,40.3846153846154
"E01000912",63,21,12,30,4,2,1,1,59,19,11,29,33.3333333333333,19.047619047619,47.6190476190476,6.34920634920635,3.17460317460317,1.58730158730159,1.58730158730159,93.6507936507936,30.1587301587302,17.4603174603175,46.031746031746
"E01000913",16,7,7,2,2,0,2,0,14,7,5,2,43.75,43.75,12.5,12.5,0,12.5,0,87.5,43.75,31.25,12.5
"E01000914",22,7,7,8,1,0,1,0,21,7,6,8,31.8181818181818,31.8181818181818,36.3636363636364,4.54545454545455,0,4.54545454545455,0,95.4545454545455,31.8181818181818,27.2727272727273,36.3636363636364
"E01000915",50,6,9,35,2,0,1,1,48,6,8,34,12,18,70,4,0,2,2,96,12,16,68
"E01000916",57,19,16,22,10,1,4,5,47,18,12,17,33.3333333333333,28.0701754385965,38.5964912280702,17.5438596491228,1.75438596491228,7.01754385964912,8.7719298245614,82.4561403508772,31.5789473684211,21.0526315789474,29.8245614035088
"E01000917",88,11,15,62,4,0,1,3,84,11,14,59,12.5,17.0454545454545,70.4545454545455,4.54545454545455,0,1.13636363636364,3.40909090909091,95.4545454545455,12.5,15.9090909090909,67.0454545454545
"E01000918",39,5,14,20,3,0,2,1,36,5,12,19,12.8205128205128,35.8974358974359,51.2820512820513,7.69230769230769,0,5.12820512820513,2.56410256410256,92.3076923076923,12.8205128205128,30.7692307692308,48.7179487179487
"E01000919",31,7,11,13,4,0,3,1,27,7,8,12,22.5806451612903,35.4838709677419,41.9354838709677,12.9032258064516,0,9.67741935483871,3.2258064516129,87.0967741935484,22.5806451612903,25.8064516129032,38.7096774193548
"E01000920",47,8,17,22,7,0,4,3,40,8,13,19,17.0212765957447,36.1702127659575,46.8085106382979,14.8936170212766,0,8.51063829787234,6.38297872340426,85.1063829787234,17.0212765957447,27.6595744680851,40.4255319148936
"E01000921",53,6,12,35,4,0,1,3,49,6,11,32,11.3207547169811,22.6415094339623,66.0377358490566,7.54716981132075,0,1.88679245283019,5.66037735849057,92.4528301886792,11.3207547169811,20.7547169811321,60.377358490566
"E01000922",49,7,9,33,6,0,4,2,43,7,5,31,14.2857142857143,18.3673469387755,67.3469387755102,12.2448979591837,0,8.16326530612245,4.08163265306122,87.7551020408163,14.2857142857143,10.2040816326531,63.265306122449
"E01000923",49,15,17,17,4,1,3,0,45,14,14,17,30.6122448979592,34.6938775510204,34.6938775510204,8.16326530612245,2.04081632653061,6.12244897959184,0,91.8367346938776,28.5714285714286,28.5714285714286,34.6938775510204
"E01000924",36,12,10,14,2,0,2,0,34,12,8,14,33.3333333333333,27.7777777777778,38.8888888888889,5.55555555555556,0,5.55555555555556,0,94.4444444444444,33.3333333333333,22.2222222222222,38.8888888888889
"E01000925",83,16,17,50,5,1,3,1,78,15,14,49,19.2771084337349,20.4819277108434,60.2409638554217,6.02409638554217,1.20481927710843,3.6144578313253,1.20481927710843,93.9759036144578,18.0722891566265,16.8674698795181,59.0361445783133
"E01000926",55,19,11,25,4,3,0,1,51,16,11,24,34.5454545454545,20,45.4545454545455,7.27272727272727,5.45454545454545,0,1.81818181818182,92.7272727272727,29.0909090909091,20,43.6363636363636
"E01000927",44,7,7,30,1,0,0,1,43,7,7,29,15.9090909090909,15.9090909090909,68.1818181818182,2.27272727272727,0,0,2.27272727272727,97.7272727272727,15.9090909090909,15.9090909090909,65.9090909090909
"E01000928",56,19,8,29,1,0,0,1,55,19,8,28,33.9285714285714,14.2857142857143,51.7857142857143,1.78571428571429,0,0,1.78571428571429,98.2142857142857,33.9285714285714,14.2857142857143,50
"E01000929",81,19,16,46,1,1,0,0,80,18,16,46,23.4567901234568,19.7530864197531,56.7901234567901,1.23456790123457,1.23456790123457,0,0,98.7654320987654,22.2222222222222,19.7530864197531,56.7901234567901
"E01000930",80,23,12,45,1,0,0,1,79,23,12,44,28.75,15,56.25,1.25,0,0,1.25,98.75,28.75,15,55
"E01000931",86,23,17,46,7,1,2,4,79,22,15,42,26.7441860465116,19.7674418604651,53.4883720930233,8.13953488372093,1.16279069767442,2.32558139534884,4.65116279069767,91.8604651162791,25.5813953488372,17.4418604651163,48.8372093023256
"E01000932",56,19,9,28,10,6,3,1,46,13,6,27,33.9285714285714,16.0714285714286,50,17.8571428571429,10.7142857142857,5.35714285714286,1.78571428571429,82.1428571428571,23.2142857142857,10.7142857142857,48.2142857142857
"E01000933",28,4,7,17,3,1,1,1,25,3,6,16,14.2857142857143,25,60.7142857142857,10.7142857142857,3.57142857142857,3.57142857142857,3.57142857142857,89.2857142857143,10.7142857142857,21.4285714285714,57.1428571428571
"E01000934",65,14,10,41,1,1,0,0,64,13,10,41,21.5384615384615,15.3846153846154,63.0769230769231,1.53846153846154,1.53846153846154,0,0,98.4615384615385,20,15.3846153846154,63.0769230769231
"E01000935",86,22,17,47,5,2,1,2,81,20,16,45,25.5813953488372,19.7674418604651,54.6511627906977,5.81395348837209,2.32558139534884,1.16279069767442,2.32558139534884,94.1860465116279,23.2558139534884,18.6046511627907,52.3255813953488
"E01000936",78,31,8,39,4,1,2,1,74,30,6,38,39.7435897435897,10.2564102564103,50,5.12820512820513,1.28205128205128,2.56410256410256,1.28205128205128,94.8717948717949,38.4615384615385,7.69230769230769,48.7179487179487
"E01000937",28,17,6,5,0,0,0,0,28,17,6,5,60.7142857142857,21.4285714285714,17.8571428571429,0,0,0,0,100,60.7142857142857,21.4285714285714,17.8571428571429
"E01000938",101,70,4,27,0,0,0,0,101,70,4,27,69.3069306930693,3.96039603960396,26.7326732673267,0,0,0,0,100,69.3069306930693,3.96039603960396,26.7326732673267
"E01000939",42,18,2,22,3,1,0,2,39,17,2,20,42.8571428571429,4.76190476190476,52.3809523809524,7.14285714285714,2.38095238095238,0,4.76190476190476,92.8571428571429,40.4761904761905,4.76190476190476,47.6190476190476
"E01000940",37,7,9,21,4,0,2,2,33,7,7,19,18.9189189189189,24.3243243243243,56.7567567567568,10.8108108108108,0,5.40540540540541,5.40540540540541,89.1891891891892,18.9189189189189,18.9189189189189,51.3513513513513
"E01000941",61,16,15,30,8,2,0,6,53,14,15,24,26.2295081967213,24.5901639344262,49.1803278688525,13.1147540983607,3.27868852459016,0,9.83606557377049,86.8852459016393,22.9508196721311,24.5901639344262,39.344262295082
"E01000942",22,4,4,14,4,0,2,2,18,4,2,12,18.1818181818182,18.1818181818182,63.6363636363636,18.1818181818182,0,9.09090909090909,9.09090909090909,81.8181818181818,18.1818181818182,9.09090909090909,54.5454545454545
"E01000943",23,7,7,9,1,0,1,0,22,7,6,9,30.4347826086957,30.4347826086957,39.1304347826087,4.34782608695652,0,4.34782608695652,0,95.6521739130435,30.4347826086957,26.0869565217391,39.1304347826087
"E01000944",55,15,14,26,4,0,3,1,51,15,11,25,27.2727272727273,25.4545454545455,47.2727272727273,7.27272727272727,0,5.45454545454545,1.81818181818182,92.7272727272727,27.2727272727273,20,45.4545454545455
"E01000945",48,29,9,10,2,0,0,2,46,29,9,8,60.4166666666667,18.75,20.8333333333333,4.16666666666667,0,0,4.16666666666667,95.8333333333333,60.4166666666667,18.75,16.6666666666667
"E01000946",46,11,10,25,1,0,0,1,45,11,10,24,23.9130434782609,21.7391304347826,54.3478260869565,2.17391304347826,0,0,2.17391304347826,97.8260869565217,23.9130434782609,21.7391304347826,52.1739130434783
"E01000947",31,5,8,18,1,0,1,0,30,5,7,18,16.1290322580645,25.8064516129032,58.0645161290323,3.2258064516129,0,3.2258064516129,0,96.7741935483871,16.1290322580645,22.5806451612903,58.0645161290323
"E01000948",47,14,11,22,4,1,1,2,43,13,10,20,29.7872340425532,23.4042553191489,46.8085106382979,8.51063829787234,2.12765957446809,2.12765957446809,4.25531914893617,91.4893617021277,27.6595744680851,21.2765957446809,42.5531914893617
"E01000949",75,18,22,35,7,0,4,3,68,18,18,32,24,29.3333333333333,46.6666666666667,9.33333333333333,0,5.33333333333333,4,90.6666666666667,24,24,42.6666666666667
"E01000950",59,12,9,38,2,0,0,2,57,12,9,36,20.3389830508475,15.2542372881356,64.4067796610169,3.38983050847458,0,0,3.38983050847458,96.6101694915254,20.3389830508475,15.2542372881356,61.0169491525424
"E01000951",59,20,11,28,5,0,2,3,54,20,9,25,33.8983050847458,18.6440677966102,47.4576271186441,8.47457627118644,0,3.38983050847458,5.08474576271187,91.5254237288136,33.8983050847458,15.2542372881356,42.3728813559322
"E01000952",73,28,12,33,2,0,0,2,71,28,12,31,38.3561643835616,16.4383561643836,45.2054794520548,2.73972602739726,0,0,2.73972602739726,97.2602739726027,38.3561643835616,16.4383561643836,42.4657534246575
"E01000953",50,12,11,27,4,1,1,2,46,11,10,25,24,22,54,8,2,2,4,92,22,20,50
"E01000954",110,19,16,75,7,1,2,4,103,18,14,71,17.2727272727273,14.5454545454545,68.1818181818182,6.36363636363636,0.909090909090909,1.81818181818182,3.63636363636364,93.6363636363636,16.3636363636364,12.7272727272727,64.5454545454545
"E01000955",72,16,15,41,6,1,1,4,66,15,14,37,22.2222222222222,20.8333333333333,56.9444444444444,8.33333333333333,1.38888888888889,1.38888888888889,5.55555555555556,91.6666666666667,20.8333333333333,19.4444444444444,51.3888888888889
"E01000956",57,10,12,35,3,1,1,1,54,9,11,34,17.5438596491228,21.0526315789474,61.4035087719298,5.26315789473684,1.75438596491228,1.75438596491228,1.75438596491228,94.7368421052632,15.7894736842105,19.2982456140351,59.6491228070175
"E01000957",70,16,11,43,12,1,3,8,58,15,8,35,22.8571428571429,15.7142857142857,61.4285714285714,17.1428571428571,1.42857142857143,4.28571428571429,11.4285714285714,82.8571428571429,21.4285714285714,11.4285714285714,50
"E01000958",95,24,20,51,4,0,2,2,91,24,18,49,25.2631578947368,21.0526315789474,53.6842105263158,4.21052631578947,0,2.10526315789474,2.10526315789474,95.7894736842105,25.2631578947368,18.9473684210526,51.5789473684211
"E01000959",63,16,9,38,3,1,0,2,60,15,9,36,25.3968253968254,14.2857142857143,60.3174603174603,4.76190476190476,1.58730158730159,0,3.17460317460317,95.2380952380952,23.8095238095238,14.2857142857143,57.1428571428571
"E01000960",38,12,5,21,1,0,0,1,37,12,5,20,31.5789473684211,13.1578947368421,55.2631578947368,2.63157894736842,0,0,2.63157894736842,97.3684210526316,31.5789473684211,13.1578947368421,52.6315789473684
"E01000961",72,8,16,48,5,0,3,2,67,8,13,46,11.1111111111111,22.2222222222222,66.6666666666667,6.94444444444444,0,4.16666666666667,2.77777777777778,93.0555555555556,11.1111111111111,18.0555555555556,63.8888888888889
"E01000962",22,3,4,15,0,0,0,0,22,3,4,15,13.6363636363636,18.1818181818182,68.1818181818182,0,0,0,0,100,13.6363636363636,18.1818181818182,68.1818181818182
"E01000963",28,3,10,15,0,0,0,0,28,3,10,15,10.7142857142857,35.7142857142857,53.5714285714286,0,0,0,0,100,10.7142857142857,35.7142857142857,53.5714285714286
"E01000964",46,8,12,26,3,0,2,1,43,8,10,25,17.3913043478261,26.0869565217391,56.5217391304348,6.52173913043478,0,4.34782608695652,2.17391304347826,93.4782608695652,17.3913043478261,21.7391304347826,54.3478260869565
"E01000965",35,6,10,19,0,0,0,0,35,6,10,19,17.1428571428571,28.5714285714286,54.2857142857143,0,0,0,0,100,17.1428571428571,28.5714285714286,54.2857142857143
"E01000966",9,1,4,4,1,1,0,0,8,0,4,4,11.1111111111111,44.4444444444444,44.4444444444444,11.1111111111111,11.1111111111111,0,0,88.8888888888889,0,44.4444444444444,44.4444444444444
"E01000967",20,4,6,10,0,0,0,0,20,4,6,10,20,30,50,0,0,0,0,100,20,30,50
"E01000968",22,5,2,15,1,1,0,0,21,4,2,15,22.7272727272727,9.09090909090909,68.1818181818182,4.54545454545455,4.54545454545455,0,0,95.4545454545455,18.1818181818182,9.09090909090909,68.1818181818182
"E01000969",32,4,18,10,0,0,0,0,32,4,18,10,12.5,56.25,31.25,0,0,0,0,100,12.5,56.25,31.25
"E01000970",17,5,6,6,1,0,0,1,16,5,6,5,29.4117647058824,35.2941176470588,35.2941176470588,5.88235294117647,0,0,5.88235294117647,94.1176470588235,29.4117647058824,35.2941176470588,29.4117647058824
"E01000971",19,4,7,8,0,0,0,0,19,4,7,8,21.0526315789474,36.8421052631579,42.1052631578947,0,0,0,0,100,21.0526315789474,36.8421052631579,42.1052631578947
"E01000972",88,19,19,50,4,1,2,1,84,18,17,49,21.5909090909091,21.5909090909091,56.8181818181818,4.54545454545455,1.13636363636364,2.27272727272727,1.13636363636364,95.4545454545455,20.4545454545455,19.3181818181818,55.6818181818182
"E01000973",58,14,15,29,3,0,1,2,55,14,14,27,24.1379310344828,25.8620689655172,50,5.17241379310345,0,1.72413793103448,3.44827586206897,94.8275862068966,24.1379310344828,24.1379310344828,46.551724137931
"E01000974",66,33,6,27,1,0,0,1,65,33,6,26,50,9.09090909090909,40.9090909090909,1.51515151515152,0,0,1.51515151515152,98.4848484848485,50,9.09090909090909,39.3939393939394
