"GeographyCode","QS414EW0001","QS414EW0002","QS414EW0003","QS414EW0004","QS414EW0005"
"E00004120",286,25,170,18,73
"E00004121",250,25,121,61,43
"E00004122",236,38,77,81,40
"E00004123",296,33,160,88,15
"E00004124",176,26,83,42,25
"E00004125",268,37,164,27,40
"E00004126",274,30,143,48,53
"E00004127",265,33,119,63,50
"E00004128",293,47,152,51,43
"E00004129",265,38,142,40,45
"E00004130",268,28,144,64,32
"E00004131",280,24,170,35,51
"E00004132",196,24,96,30,46
"E00004133",255,28,130,48,49
"E00004134",188,26,94,18,50
"E00004135",143,5,91,11,36
"E00004136",228,26,132,44,26
"E00004137",272,32,114,46,80
"E00004138",225,21,116,30,58
"E00004139",333,2,42,17,272
"E00004140",206,38,110,26,32
"E00004141",188,23,102,40,23
"E00004142",237,21,132,37,47
"E00004143",242,24,132,50,36
"E00004144",230,30,113,57,30
"E00004145",208,23,95,45,45
"E00004146",249,20,96,69,64
"E00004147",225,23,111,33,58
"E00004148",175,41,97,12,25
"E00004149",317,50,167,56,44
"E00004150",304,37,169,51,47
"E00004151",261,39,145,21,56
"E00004152",243,33,147,35,28
"E00004153",206,20,90,38,58
"E00004154",255,29,106,85,35
"E00004155",250,32,103,64,51
"E00004156",223,27,103,51,42
"E00004157",226,22,98,73,33
"E00004158",284,25,119,45,95
"E00004159",394,26,113,81,174
"E00004160",214,28,62,51,73
"E00004161",201,26,106,26,43
"E00004162",248,20,111,48,69
"E00004163",391,27,180,121,63
"E00004164",383,28,118,73,164
"E00004165",345,27,102,81,135
"E00004166",416,25,102,57,232
"E00004167",282,31,115,85,51
"E00004168",194,34,68,37,55
"E00004169",293,45,117,57,74
"E00004172",229,27,96,21,85
"E00004173",192,17,95,26,54
"E00004174",274,14,115,44,101
"E00004175",272,20,94,33,125
"E00004177",105,6,62,6,31
"E00004179",327,35,141,45,106
"E00004180",283,18,111,85,69
"E00004181",355,31,177,51,96
"E00004182",162,7,82,9,64
"E00004183",197,16,82,26,73
"E00004184",210,18,98,46,48
"E00004185",413,10,148,149,106
"E00004187",488,48,198,73,169
"E00004188",182,13,75,42,52
"E00004189",272,21,88,80,83
"E00004190",471,5,317,0,149
"E00004193",244,27,122,26,69
"E00004194",252,23,126,53,50
"E00004195",311,27,122,62,100
"E00004196",211,43,104,25,39
"E00004197",237,26,144,36,31
"E00004198",350,29,155,89,77
"E00004199",286,23,144,54,65
"E00004200",248,8,154,39,47
"E00004201",272,45,135,39,53
"E00004202",171,4,151,0,16
"E00004203",319,34,173,36,76
"E00004204",277,39,132,25,81
"E00004205",352,29,199,65,59
"E00004206",310,19,130,49,112
"E00004207",365,27,103,95,140
"E00004208",303,15,108,79,101
"E00004209",271,24,118,52,77
"E00004210",323,26,84,66,147
"E00004211",306,16,123,41,126
"E00004212",330,21,152,74,83
"E00004213",456,30,168,90,168
"E00004214",521,43,192,140,146
"E00004215",269,39,159,42,29
"E00004216",299,49,156,46,48
"E00004217",244,34,113,43,54
"E00004218",305,42,129,48,86
"E00004219",366,25,159,62,120
"E00004220",170,13,72,36,49
"E00004221",232,17,117,37,61
"E00004222",211,18,107,48,38
"E00004223",321,16,97,72,136
"E00004224",280,31,137,35,77
"E00004225",386,23,193,69,101
"E00004226",256,62,130,48,16
"E00004227",271,31,129,43,68
"E00004228",204,22,105,36,41
"E00004229",318,39,140,45,94
"E00004230",283,19,124,68,72
"E00004231",328,42,180,68,38
"E00004232",202,10,139,23,30
"E00004233",231,35,105,50,41
"E00004234",242,36,115,19,72
"E00004235",326,28,140,72,86
"E00004236",329,21,149,90,69
"E00004237",267,18,115,31,103
"E00004238",290,38,110,68,74
"E00004239",215,27,94,41,53
"E00004240",329,22,173,65,69
"E00004241",295,49,176,46,24
"E00004242",176,12,109,9,46
"E00004243",290,31,143,59,57
"E00004244",292,10,72,51,159
"E00004245",317,30,145,57,85
"E00004246",264,24,120,48,72
"E00004247",314,32,165,50,67
"E00004248",446,31,173,109,133
"E00004249",226,18,105,27,76
"E00004250",271,36,155,46,34
"E00004251",231,40,112,60,19
"E00004252",252,18,123,43,68
"E00004253",296,26,119,38,113
"E00004254",315,16,94,59,146
"E00004255",282,28,135,48,71
"E00004256",361,22,123,66,150
"E00004257",264,18,98,56,92
"E00004258",236,18,113,57,48
"E00004259",328,14,83,84,147
"E00004260",220,2,99,21,98
"E00004261",275,15,114,51,95
"E00004262",281,6,61,33,181
"E00004263",385,10,95,62,218
"E00004264",348,18,172,68,90
"E00004265",234,18,92,52,72
"E00004266",345,19,153,66,107
"E00004268",319,13,111,87,108
"E00004269",231,25,96,18,92
"E00004270",448,30,184,57,177
"E00004271",328,21,172,43,92
"E00004272",273,33,146,53,41
"E00004273",364,39,171,67,87
"E00004274",291,22,145,59,65
"E00004275",199,13,115,15,56
"E00004276",274,11,123,52,88
"E00004277",259,36,108,42,73
"E00004278",218,21,115,26,56
"E00004279",290,9,137,45,99
"E00004280",211,25,120,18,48
"E00004281",251,17,119,49,66
"E00004282",302,44,120,67,71
"E00004283",267,30,143,40,54
"E00004284",247,24,129,33,61
"E00004285",270,22,136,25,87
"E00004286",294,28,123,41,102
"E00004287",265,27,105,70,63
"E00004288",318,27,135,49,107
"E00004289",232,15,118,23,76
"E00004290",306,28,113,47,118
"E00004291",340,22,137,74,107
"E00004292",332,29,77,57,169
"E00004293",276,27,88,68,93
"E00004294",215,16,116,28,55
"E00004295",378,72,218,36,52
"E00004296",383,32,128,72,151
"E00004297",291,24,183,39,45
"E00004298",311,45,186,40,40
"E00004299",302,32,162,59,49
"E00004300",273,34,123,61,55
"E00004301",503,27,217,103,156
"E00004302",303,21,140,73,69
"E00004303",299,44,195,37,23
"E00004304",397,35,199,92,71
"E00004305",355,39,201,84,31
"E00004306",315,53,186,38,38
"E00004307",368,55,218,63,32
"E00004308",278,23,162,49,44
"E00004309",286,38,133,70,45
"E00004310",306,43,158,74,31
"E00004311",282,21,148,66,47
"E00004312",321,21,160,88,52
"E00004313",279,39,144,52,44
"E00004314",312,19,134,64,95
"E00004315",304,36,176,37,55
"E00004316",244,18,99,27,100
"E00004317",390,27,219,80,64
"E00004318",282,29,180,37,36
"E00004319",261,29,124,42,66
"E00004320",268,42,129,67,30
"E00004321",299,45,138,57,59
"E00004322",296,50,180,42,24
"E00004323",236,17,90,56,73
"E00004324",299,50,85,91,73
"E00004325",235,32,105,40,58
"E00004326",265,15,103,68,79
"E00004327",320,31,143,88,58
"E00004328",237,39,109,41,48
"E00004329",298,23,137,41,97
"E00004330",294,30,125,57,82
"E00004331",281,28,119,77,57
"E00004332",189,8,87,53,41
"E00004333",247,37,138,29,43
"E00004334",212,15,110,31,56
"E00004335",295,42,140,55,58
"E00004336",346,30,147,91,78
"E00004337",260,19,139,55,47
"E00004338",271,23,126,64,58
"E00004339",234,15,120,44,55
"E00004340",221,25,101,47,48
"E00004341",234,33,108,22,71
"E00004342",197,15,103,23,56
"E00004343",221,28,115,27,51
"E00004344",242,31,119,42,50
"E00004345",309,51,182,60,16
"E00004346",247,33,125,67,22
"E00004347",247,40,145,24,38
"E00004348",272,41,145,43,43
"E00004349",344,43,216,56,29
"E00004350",268,54,112,64,38
