"GeographyCode","QS112EW0001","QS112EW0002","QS112EW0003","QS112EW0004","QS112EW0005","QS112EW0006","QS112EW0007","QS112EW0008","QS112EW0009","QS112EW0010","QS112EW0011","QS112EW0012","QS112EW0013","QS112EW0014","QS112EW0015","QS112EW0016","QS112EW0017","QS112EW0018","QS112EW0019","QS112EW0020","QS112EW0021","QS112EW0022","QS112EW0023","QS112EW0024","QS112EW0025","QS112EW0026","QS112EW0027","QS112EW0028","QS112EW0029","QS112EW0030","QS112EW0031"
"E01000842",1368,340,106,234,816,50,527,172,119,204,32,13,10,0,0,3,156,116,25,12,3,70,29,14,27,212,16,46,2,5,143
"E01000843",1678,354,90,264,1022,48,534,142,156,220,16,12,12,0,0,0,252,166,43,37,6,176,107,57,12,302,32,56,9,8,197
"E01000844",1772,362,81,281,1070,40,701,180,187,284,50,4,4,0,0,0,254,194,30,30,0,71,31,6,34,340,24,95,8,12,201
"E01000845",1444,340,75,265,809,26,458,124,94,192,48,8,2,6,0,0,207,148,30,29,0,110,43,32,35,295,25,59,15,3,193
"E01000846",1499,220,86,134,1029,48,555,70,91,328,66,2,2,0,0,0,83,32,7,21,23,341,72,183,86,250,60,60,2,5,123
"E01000847",1684,233,72,161,1118,52,642,78,123,392,49,2,2,0,0,0,135,74,21,36,4,287,59,155,73,333,32,93,8,6,194
"E01000848",1580,348,90,258,968,46,602,204,109,249,40,17,14,0,0,3,248,186,24,24,14,55,10,10,35,264,109,20,9,0,126
"E01000849",1569,466,118,348,760,38,468,134,115,180,39,8,8,0,0,0,140,112,12,16,0,106,28,46,32,343,32,56,11,2,242
"E01000850",1281,324,77,247,468,38,214,72,63,59,20,16,16,0,0,0,156,130,10,16,0,44,28,4,12,489,26,12,126,2,323
"E01000851",1645,423,55,368,561,10,283,106,35,106,36,18,18,0,0,0,166,154,9,0,3,84,22,34,28,661,21,68,231,4,337
"E01000852",976,388,79,309,291,52,133,56,32,37,8,4,4,0,0,0,48,38,6,4,0,54,13,13,28,297,16,0,131,4,146
"E01000853",1596,469,197,272,715,42,318,64,62,140,52,12,12,0,0,0,78,52,0,18,8,265,77,131,57,412,19,54,85,15,239
"E01000854",1643,310,64,246,635,24,315,66,39,135,75,18,18,0,0,0,80,64,6,10,0,198,30,122,46,698,41,93,394,0,170
"E01000855",1714,750,134,616,454,38,227,116,37,39,35,20,20,0,0,0,121,102,12,4,3,48,14,7,27,510,44,14,106,2,344
"E01000856",1645,205,38,167,946,22,528,62,55,335,76,8,8,0,0,0,131,80,13,25,13,257,71,92,94,494,64,126,52,2,250
"E01000857",1443,301,101,200,889,40,552,108,94,285,65,4,4,0,0,0,183,114,33,21,15,110,30,28,52,253,19,54,3,5,172
"E01000858",1861,287,55,232,1119,20,518,86,126,192,114,2,2,0,0,0,206,88,29,81,8,373,120,159,94,455,74,109,44,6,222
"E01000859",1586,380,80,300,914,34,582,150,108,284,40,6,6,0,0,0,213,142,36,29,6,79,26,18,35,292,15,56,4,6,211
"E01000860",1307,515,195,320,646,58,358,86,59,184,29,6,6,0,0,0,137,98,15,24,0,87,29,36,22,146,18,15,12,8,93
"E01000861",1574,315,41,274,667,18,268,58,56,123,31,14,14,0,0,0,149,104,20,21,4,218,72,76,70,592,46,61,148,2,335
"E01000862",1712,293,76,217,1059,96,611,168,131,249,63,6,6,0,0,0,262,190,27,30,15,84,28,25,31,360,29,71,18,6,236
"E01000863",1383,255,30,225,686,22,316,98,68,115,35,12,12,0,0,0,198,162,18,12,6,138,38,50,50,442,16,29,71,2,324
"E01000864",1537,265,42,223,832,36,380,94,65,173,48,4,4,0,0,0,213,154,30,26,3,199,66,66,67,440,37,58,61,2,282
"E01000865",977,182,31,151,486,34,282,64,43,160,15,4,4,0,0,0,113,70,19,18,6,53,14,17,22,309,46,15,43,7,198
"E01000866",2030,364,97,267,1112,46,517,90,89,248,90,6,6,0,0,0,252,138,48,55,11,291,101,87,103,554,78,81,28,10,357
"E01000867",1608,239,74,165,805,24,353,62,54,190,47,2,2,0,0,0,163,124,13,14,12,263,57,139,67,564,26,127,92,7,312
"E01000868",1442,219,39,180,895,8,400,70,40,223,67,3,0,0,0,3,187,44,22,107,14,297,86,158,53,328,61,134,0,0,133
"E01000869",2098,364,104,260,1077,28,492,96,94,215,87,10,10,0,0,0,318,196,34,79,9,229,76,90,63,657,43,53,138,0,423
"E01000870",1693,316,86,230,1001,34,437,90,87,194,66,2,2,0,0,0,262,142,51,57,12,266,95,98,73,376,47,73,11,7,238
"E01000871",1653,183,51,132,887,46,609,114,106,246,143,4,4,0,0,0,130,80,19,25,6,98,30,26,42,583,73,253,10,0,247
"E01000872",1896,382,51,331,920,16,466,138,110,162,56,4,4,0,0,0,259,186,30,37,6,175,52,73,50,594,41,74,15,0,464
"E01000873",1639,235,61,174,917,35,543,120,80,266,77,8,4,0,4,0,175,118,27,9,21,156,40,74,42,487,45,68,4,11,359
"E01000874",1559,227,61,166,945,84,647,160,167,267,53,10,10,0,0,0,123,92,15,13,3,81,34,12,35,387,18,55,29,7,278
"E01000875",1646,369,75,294,817,20,315,104,83,86,42,2,2,0,0,0,247,200,34,13,0,233,79,114,40,460,44,40,45,14,317
"E01000876",1748,342,78,264,983,24,463,108,79,221,55,2,2,0,0,0,206,132,9,40,25,288,77,132,79,423,70,83,44,0,226
"E01000877",1546,274,45,229,911,40,585,156,143,242,44,2,2,0,0,0,188,144,15,26,3,96,33,45,18,361,17,26,8,6,304
