"GeographyCode","QS403EW0001","QS403EW0002","QS403EW0003","QS403EW0004","QS403EW0005","QS403EW0006","QS403EW0007","QS403EW0008","QS403EW0009","QS403EW0010","QS403EW0011","QS403EW0012","QS403EW0013","QS403EW0014"
"E02000166",7916,3751,1963,1788,66,2685,2389,296,1271,1165,16,79,11,143
"E02000167",7869,4564,2871,1693,17,534,420,114,2605,2479,36,72,18,149
"E02000168",8040,3671,1810,1861,57,2321,1353,968,1877,1789,21,58,9,114
"E02000169",6981,3910,2292,1618,9,530,403,127,2380,2324,9,31,16,152
"E02000170",8293,3993,1776,2217,46,909,551,358,3268,3153,12,88,15,77
"E02000171",7789,3586,1745,1841,46,1967,1404,563,2086,1984,12,68,22,104
"E02000172",9919,2061,864,1197,138,5811,4631,1180,1791,1711,11,64,5,118
"E02000173",7565,3061,1808,1253,29,1053,624,429,3257,3159,26,43,29,165
"E02000174",8703,2581,1050,1531,35,3648,2996,652,2336,2220,12,78,26,103
"E02000175",8846,2890,1275,1615,53,1972,900,1072,3823,3715,6,86,16,108
"E02000176",6289,3027,1669,1358,18,470,205,265,2676,2589,12,57,18,98
"E02000177",8863,2052,934,1118,61,4721,4366,355,1954,1846,6,89,13,75
"E02000178",8823,2244,837,1407,39,3072,2055,1017,3405,3307,6,63,29,63
"E02000179",6305,2267,1184,1083,12,2183,1933,250,1765,1687,29,37,12,78
"E02000180",7662,2241,942,1299,26,2999,2248,751,2320,2155,8,113,44,76
"E02000181",7703,3221,1474,1747,15,1254,776,478,3140,3019,23,73,25,73
"E02000182",6638,2456,1378,1078,32,1380,1047,333,2566,2465,38,45,18,204
"E02000183",7909,3265,1811,1454,31,2325,1040,1285,2172,1997,54,92,29,116
"E02000184",8726,1516,633,883,245,4283,3410,873,2613,2462,0,111,40,69
"E02000185",8213,1636,674,962,127,3855,3055,800,2474,2368,9,64,33,121
"E02000186",6491,1897,1051,846,53,1811,1146,665,2577,2400,49,58,70,153
"E02000187",8064,848,329,519,38,5716,4114,1602,1355,1277,14,47,17,107
"E02000188",7939,1012,435,577,41,4775,3592,1183,2013,1903,2,86,22,98
"E02000189",5407,589,277,312,24,3251,1817,1434,1406,1317,0,37,52,137
"E02000190",5914,1103,583,520,14,2896,2126,770,1753,1628,16,72,37,148
"E02000191",5545,1267,727,540,25,1351,860,491,2725,2480,56,105,84,177
"E02000192",7021,1330,570,760,12,3781,2579,1202,1782,1659,16,79,28,116
"E02000193",7010,1928,939,989,40,2059,919,1140,2779,2494,68,109,108,204
