UID,Price,Date,Street,District,Region,Postcode,oseast1m,osnrth1m
595614,1088500,05/15/2015 0:00,SUMATRA ROAD,CAMDEN,GREATER LONDON,NW61PT,525071,184986
593049,1085000,07/27/2015 0:00,PROWSE PLACE,CAMDEN,GREATER LONDON,NW19PH,529063,184184
594284,1085000,11/02/2015 0:00,BELSIZE SQUARE,CAMDEN,GREATER LONDON,NW34HT,526963,184696
593981,1080000,08/14/2015 0:00,CARLINGFORD ROAD,CAMDEN,GREATER LONDON,NW31RY,526800,185727
595296,1080000,04/02/2015 0:00,LEIGHTON ROAD,CAMDEN,GREATER LONDON,NW52QE,529219,185181
595455,1080000,05/01/2015 0:00,SOUTHAMPTON ROAD,CAMDEN,GREATER LONDON,NW54JR,527927,185125
595795,1077000,02/02/2015 0:00,CANFIELD GARDENS,CAMDEN,GREATER LONDON,NW63EB,525973,184406
595797,1077000,02/02/2015 0:00,CANFIELD GARDENS,CAMDEN,GREATER LONDON,NW63EB,525973,184406
592658,1075000,06/26/2015 0:00,COLOSSEUM TERRACE,CAMDEN,GREATER LONDON,NW14EB,528814,182489
592939,1075000,07/08/2015 0:00,COLLARD PLACE,CAMDEN,GREATER LONDON,NW18DU,528504,184395
594148,1075000,06/26/2015 0:00,PRIMROSE HILL ROAD,CAMDEN,GREATER LONDON,NW33AA,527518,184498
594250,1075000,08/06/2015 0:00,BELSIZE AVENUE,CAMDEN,GREATER LONDON,NW34BL,526971,184982
594475,1075000,06/29/2015 0:00,THURLOW ROAD,CAMDEN,GREATER LONDON,NW35PL,526679,185398
594506,1075000,07/31/2015 0:00,ROSSLYN HILL,CAMDEN,GREATER LONDON,NW35UH,526791,185539
927763,1075000,02/06/2015 0:00,MACKLIN STREET,CAMDEN,GREATER LONDON,WC2B5NH,530342,181337
595767,1073600,05/08/2015 0:00,ABERDARE GARDENS,CAMDEN,GREATER LONDON,NW63AL,525998,184180
594462,1071100,10/29/2015 0:00,LYNDHURST ROAD,CAMDEN,GREATER LONDON,NW35NL,526859,185343
594397,1070000,11/04/2015 0:00,ANTRIM ROAD,CAMDEN,GREATER LONDON,NW34XL,527576,184772
594409,1070000,11/06/2015 0:00,BELSIZE MEWS,CAMDEN,GREATER LONDON,NW35AT,526919,184974
594423,1070000,09/30/2015 0:00,BUCKLAND CRESCENT,CAMDEN,GREATER LONDON,NW35DJ,526740,184481
595662,1070000,01/30/2015 0:00,CHOLMLEY GARDENS,CAMDEN,GREATER LONDON,NW61UN,525263,185341
592906,1067887,12/18/2015 0:00,DELANCEY STREET,CAMDEN,GREATER LONDON,NW17SA,528727,183590
595696,1066666,09/07/2015 0:00,KILBURN HIGH ROAD,CAMDEN,GREATER LONDON,NW62DD,524896,184339
593366,1065000,12/15/2015 0:00,RICHBOROUGH ROAD,CAMDEN,GREATER LONDON,NW23LU,524048,185600
595651,1065000,05/18/2015 0:00,WEST END LANE,CAMDEN,GREATER LONDON,NW61SP,525518,185040
592631,1060000,07/03/2015 0:00,NETLEY STREET,CAMDEN,GREATER LONDON,NW13EJ,529157,182605
