"GeographyCode","QS408EW0001","QS408EW0002","QS408EW0003","QS408EW0004","QS408EW0005","QS408EW0006"
"E01000842",724,167,173,230,111,43
"E01000843",846,142,160,217,123,204
"E01000844",870,211,211,215,128,105
"E01000845",731,175,167,222,120,47
"E01000846",616,147,125,162,116,66
"E01000847",677,184,148,176,120,49
"E01000848",805,207,191,242,100,65
"E01000849",862,130,186,247,195,104
"E01000850",664,78,135,210,175,66
"E01000851",861,70,121,241,282,147
"E01000852",625,20,118,188,134,165
"E01000853",840,30,119,390,176,125
"E01000854",718,63,91,202,221,141
"E01000855",1111,114,114,216,264,403
"E01000856",628,89,92,217,171,59
"E01000857",686,206,124,198,125,33
"E01000858",775,89,138,269,206,73
"E01000859",807,246,140,192,175,54
"E01000860",797,124,104,201,230,138
"E01000861",729,71,122,216,229,91
"E01000862",816,240,158,237,141,40
"E01000863",667,113,85,206,177,86
"E01000864",717,126,120,261,176,34
"E01000865",451,155,76,125,74,21
"E01000866",926,154,140,299,245,88
"E01000867",675,69,104,230,186,86
"E01000868",584,53,63,195,156,117
"E01000869",967,148,182,297,240,100
"E01000870",774,130,109,266,198,71
"E01000871",632,278,100,121,91,42
"E01000872",913,130,128,237,198,220
"E01000873",710,235,145,175,106,49
"E01000874",704,291,122,166,79,46
"E01000875",839,112,155,278,151,143
"E01000876",800,122,131,282,162,103
"E01000877",726,201,102,188,107,128
"E01000878",550,219,152,102,57,20
"E01000879",602,213,133,148,80,28
"E01000880",621,233,154,131,71,32
"E01000881",632,137,144,158,99,94
"E01000882",728,202,175,193,97,61
"E01000883",638,109,162,175,110,82
"E01000884",577,320,104,86,43,24
"E01000885",592,335,136,82,31,8
"E01000886",606,184,124,170,90,38
"E01000887",690,146,144,237,128,35
"E01000888",697,183,118,236,111,49
"E01000889",657,84,126,276,122,49
"E01000890",767,87,114,280,192,94
"E01000891",672,52,66,171,212,171
"E01000892",823,180,186,226,169,62
"E01000893",715,233,154,183,119,26
"E01000894",619,296,114,124,69,16
"E01000895",841,200,194,283,108,56
"E01000896",756,321,130,171,101,33
"E01000897",721,261,212,173,49,26
"E01000898",850,132,92,214,238,174
"E01000899",698,388,160,106,36,8
"E01000900",757,148,155,251,146,57
"E01000901",703,48,110,240,200,105
"E01000902",590,66,106,199,151,68
"E01000903",686,109,199,203,146,29
"E01000904",918,123,169,327,197,102
"E01000905",812,63,140,275,203,131
"E01000906",788,115,166,296,166,45
"E01000907",627,113,125,246,104,39
"E01000908",827,142,126,336,156,67
"E01000909",661,329,98,165,54,15
"E01000910",588,258,99,143,71,17
"E01000911",663,170,153,211,98,31
"E01000912",700,171,135,245,115,34
"E01000913",722,428,125,111,37,21
"E01000914",970,123,182,349,231,85
"E01000915",635,71,121,220,156,67
"E01000916",881,58,141,305,288,89
"E01000917",913,40,127,380,263,103
"E01000918",935,80,128,366,233,128
"E01000919",834,84,130,277,231,112
"E01000920",946,121,163,338,228,96
"E01000921",946,108,149,289,290,110
"E01000922",653,90,120,198,170,75
"E01000923",656,162,155,187,115,37
"E01000924",795,134,128,269,181,83
"E01000925",629,99,97,175,189,69
"E01000926",698,92,113,263,161,69
"E01000927",734,164,170,230,133,37
"E01000928",682,151,117,217,142,55
"E01000929",685,107,127,245,139,67
"E01000930",1076,69,156,354,281,216
"E01000931",873,80,114,270,238,171
"E01000932",947,125,203,357,174,88
"E01000933",821,144,170,267,150,90
"E01000934",732,77,102,211,180,162
"E01000935",624,48,123,206,153,94
"E01000936",536,57,67,158,168,86
"E01000937",502,30,45,134,147,146
"E01000938",737,52,79,219,245,142
"E01000939",446,47,61,156,92,90
"E01000940",534,45,77,163,141,108
"E01000941",557,35,74,226,145,77
"E01000942",686,46,91,265,176,108
"E01000943",596,32,75,195,138,156
"E01000944",667,69,94,213,185,106
"E01000945",611,47,84,194,164,122
"E01000946",715,165,124,178,162,86
"E01000947",871,119,90,218,257,187
"E01000948",846,194,135,251,173,93
"E01000949",739,38,137,358,155,51
"E01000950",550,32,66,190,163,99
"E01000951",603,40,123,182,171,87
"E01000952",675,72,121,221,164,97
"E01000953",708,67,126,284,154,77
"E01000954",642,33,106,269,150,84
"E01000955",657,63,95,253,171,75
"E01000956",608,32,86,219,186,85
"E01000957",765,76,168,304,143,74
"E01000958",835,64,137,324,220,90
"E01000959",698,59,136,201,197,105
"E01000960",841,160,160,234,156,131
"E01000961",652,138,131,196,122,65
"E01000962",745,109,196,281,117,42
"E01000963",851,217,265,221,119,29
"E01000964",713,163,159,232,97,62
"E01000965",764,118,197,244,118,87
"E01000966",675,170,204,186,78,37
"E01000967",619,253,133,127,76,30
"E01000968",760,114,164,305,115,62
"E01000969",954,211,259,264,145,75
"E01000970",831,85,163,278,152,153
"E01000971",649,245,102,161,82,59
"E01000972",949,101,123,367,225,133
"E01000973",894,90,151,320,206,127
"E01000974",821,81,130,307,187,116
