"GeographyCode","KS102EW0001","KS102EW0002","KS102EW0003","KS102EW0004","KS102EW0005","KS102EW0006","KS102EW0007","KS102EW0008","KS102EW0009","KS102EW0010","KS102EW0011","KS102EW0012","KS102EW0013","KS102EW0014","KS102EW0015","KS102EW0016","KS102EW0017","KS102EW0020","KS102EW0021","KS102EW0022","KS102EW0023","KS102EW0024","KS102EW0025","KS102EW0026","KS102EW0027","KS102EW0028","KS102EW0029","KS102EW0030","KS102EW0031","KS102EW0032","KS102EW0033","KS102EW0034","KS102EW0035"
"E02000166",7924,451,257,167,416,92,170,139,424,631,1826,1634,495,701,378,97,46,5.69156991418476,3.24331145885916,2.10752145381121,5.24987380111055,1.16102978293791,2.14538112064614,1.75416456335184,5.35083291267037,7.96314992428067,23.0439172135285,20.6208985360929,6.24684502776376,8.84654215042908,4.77031802120141,1.2241292276628,0.580514891468955
"E02000167",7944,528,299,147,370,59,115,75,266,610,2240,1429,460,690,464,118,74,6.64652567975831,3.7638469284995,1.85045317220544,4.65760322255791,0.74269889224572,1.44763343403827,0.944108761329305,3.3484390735146,7.67875125881168,28.1973816717019,17.9884189325277,5.79053373615307,8.68580060422961,5.84088620342397,1.48539778449144,0.931520644511581
"E02000168",8172,490,260,167,377,83,154,155,488,947,2266,1423,389,549,304,68,52,5.99608418991679,3.18159569260891,2.04356338717572,4.61331375428292,1.01566324033284,1.88448360254528,1.89672050905531,5.97161037689672,11.5883504650024,27.7288301517376,17.4131179637788,4.76015663240333,6.71806167400881,3.72001957905042,0.83210964268233,0.636319138521782
"E02000169",7637,568,285,157,373,61,129,356,481,534,1898,1222,386,580,402,130,75,7.43747544847453,3.73183187115359,2.05578106586356,4.88411679979049,0.798742961896032,1.68914495220636,4.66151630221291,6.29828466675396,6.99227445331937,24.8526908471913,16.0010475317533,5.05434070970276,7.59460521147047,5.26384706036402,1.70223909912269,0.98206101872463
"E02000170",8338,547,214,132,305,46,131,125,546,1208,2587,1292,382,477,245,62,39,6.5603262173183,2.56656272487407,1.58311345646438,3.65795154713361,0.551691053010314,1.57112017270329,1.49916047013672,6.54833293355721,14.4878867834013,31.0266250899496,15.4953226193332,4.58143439673783,5.72079635404174,2.93835452146798,0.743583593187815,0.467738066682658
"E02000171",7818,556,247,154,332,85,153,137,404,813,2265,1339,386,529,292,78,48,7.11179329751855,3.1593757994372,1.96981325147096,4.24661038628805,1.08723458685086,1.95702225633154,1.75236633410079,5.16756203632643,10.39907904835,28.9716039907905,17.1271424916859,4.93732412381683,6.76643642875416,3.73497058071118,0.997697620874904,0.613967766692249
"E02000172",10147,651,377,255,601,112,244,357,979,1109,2337,1672,378,561,372,96,46,6.41568936631517,3.71538385729772,2.51305804671331,5.92293288656746,1.10377451463487,2.40465162116882,3.51828126539864,9.64817187346014,10.9293387208042,23.0314378634079,16.4777766827634,3.72523898689268,5.52872770276929,3.66610820932295,0.946092441115601,0.453335961367892
"E02000173",7675,527,232,136,342,35,76,88,433,912,2475,1172,311,496,298,88,54,6.86644951140065,3.0228013029316,1.77198697068404,4.45602605863192,0.456026058631922,0.990228013029316,1.14657980456026,5.64169381107492,11.8827361563518,32.2475570032573,15.2703583061889,4.05211726384365,6.46254071661238,3.88273615635179,1.14657980456026,0.703583061889251
"E02000174",8714,493,214,195,437,88,179,174,760,1146,2434,1421,311,494,277,64,27,5.6575625430342,2.45581822354831,2.23777828781272,5.01491852191875,1.00986917603856,2.05416571035116,1.99678677989442,8.72159742942391,13.151250860684,27.9320633463392,16.3070920358045,3.568969474409,5.66903832912555,3.17879274730319,0.734450309846225,0.309846224466376
"E02000175",8848,486,197,123,269,53,119,123,613,1594,3108,1108,335,452,190,49,29,5.49276672694394,2.22649186256781,1.39014466546112,3.04023508137432,0.599005424954792,1.34493670886076,1.39014466546112,6.92811934900543,18.0153707052441,35.126582278481,12.5226039783002,3.78616636528029,5.10849909584087,2.14737793851718,0.55379746835443,0.327757685352622
"E02000176",6373,483,160,83,136,35,55,48,248,752,2333,971,302,421,253,65,28,7.57884826612271,2.51059155813589,1.30236937078299,2.1340028244155,0.549191903342225,0.863015848109211,0.753177467440766,3.89141691511062,11.7997803232387,36.6075631570689,15.2361525184372,4.73874156598148,6.60599403734505,3.96987290130237,1.0199278204927,0.43935352267378
"E02000177",8948,579,308,214,530,84,181,184,800,1017,2416,1242,354,510,391,91,47,6.47071971390255,3.44210996870809,2.39159588734913,5.9231113097899,0.938757264193116,2.02279839070183,2.05632543585159,8.94054537326777,11.3656683057667,27.0004470272687,13.8801966919982,3.95619132767099,5.6995976754582,4.36969155118462,1.01698703620921,0.525257040679481
"E02000178",8857,491,232,124,312,68,176,167,748,1464,2698,1205,373,435,283,62,19,5.54363780060969,2.61939708704979,1.40002258100937,3.52263746189455,0.767754318618042,1.98712882465846,1.88551428248843,8.44529750479846,16.529298859659,30.4617816416394,13.6050581460991,4.21135824771367,4.91136953821836,3.19521282601332,0.700011290504686,0.214519589025629
"E02000179",6329,549,258,138,305,69,92,111,360,684,1779,954,273,410,248,69,30,8.67435613841049,4.07647337652078,2.18043924790646,4.81908674356138,1.09021962395323,1.45362616527097,1.75383156896824,5.68810238584294,10.8073945331016,28.1087059567072,15.0734713224838,4.31347764259757,6.47811660609891,3.91847053246958,1.09021962395323,0.474008532153579
"E02000180",8202,498,222,141,410,77,120,447,1062,1041,2057,1147,309,395,209,48,19,6.07168983174835,2.70665691294806,1.71909290416971,4.99878078517435,0.938795415752256,1.46305779078274,5.44989027066569,12.9480614484272,12.6920263350402,25.0792489636674,13.9843940502317,3.76737381126555,4.81589856132651,2.54815898561327,0.585223116313094,0.231650816873933
"E02000181",7708,513,169,92,241,61,76,65,435,1286,2676,1086,323,358,215,69,43,6.6554229372081,2.19252724442138,1.19356512714063,3.12662169174883,0.791385573430202,0.985988583290088,0.843279709392839,5.64348728593669,16.6839647119875,34.7171769590036,14.0892579138557,4.19045147898288,4.64452516865594,2.7893098079917,0.895173845355475,0.557861961598339
"E02000182",6697,473,215,149,315,68,109,101,429,731,1831,1046,278,425,314,118,95,7.06286396894132,3.21039271315514,2.22487681051217,4.70359862625056,1.01538002090488,1.627594445274,1.50813797222637,6.40585336717933,10.9153352247275,27.3406002687771,15.6189338509781,4.15111243840526,6.34612513065552,4.68866656711961,1.76198297745259,1.41854561744065
"E02000183",7913,415,249,148,367,74,135,103,428,773,2245,1461,426,696,284,66,43,5.24453431062808,3.14672058637685,1.87033994692279,4.63793757108556,0.935169973461393,1.70605332996335,1.30165550360167,5.40882092758751,9.76873499304941,28.3710350056868,18.4632882598256,5.38354606343991,8.79565272336661,3.58903070895994,0.834070516870972,0.543409579173512
"E02000184",8882,517,279,157,485,92,149,336,1288,1135,2215,1265,285,363,243,54,19,5.82076108984463,3.14118441792389,1.76761990542671,5.46048187345192,1.03580274712902,1.67755010132853,3.7829317721234,14.5012384598064,12.7786534564287,24.9380770096825,14.2422877730241,3.20873677099752,4.08691736095474,2.7358702994821,0.607971177662689,0.213915784733168
"E02000185",8290,566,332,192,414,91,131,128,578,958,2210,1259,418,513,337,113,50,6.82750301568154,4.00482509047045,2.31604342581423,4.99396863691194,1.09770808202654,1.58021712907117,1.54402895054282,6.97225572979493,11.5560916767189,26.6586248492159,15.1869722557298,5.04221954161641,6.18817852834741,4.06513872135103,1.36308805790109,0.60313630880579
"E02000186",6687,278,146,97,242,33,95,170,829,918,1901,1032,265,374,229,49,29,4.15732017347091,2.18334081052789,1.45057574398086,3.61896216539554,0.493494840735756,1.42066696575445,2.5422461492448,12.3971885748467,13.7281292059219,28.4282937042022,15.4329295648273,3.96291311499925,5.59294152833857,3.42455510692388,0.732765066547032,0.433677284282937
"E02000187",8155,589,337,219,530,94,188,268,1149,718,1750,1191,275,423,327,73,24,7.22256284488044,4.13243408951563,2.68546903740037,6.49908031882281,1.15266707541386,2.30533415082771,3.28632740649908,14.08951563458,8.80441446965052,21.4592274678112,14.6045370938075,3.37216431637032,5.18700183936235,4.00980993255671,0.895156345800123,0.29429797670141
"E02000188",8322,484,335,192,406,85,146,506,1699,719,1624,1160,230,325,288,85,38,5.81590963710646,4.0254746455179,2.3071377072819,4.87863494352319,1.02138908916126,1.75438596491228,6.08026916606585,20.4157654409998,8.63975006008171,19.5145397740928,13.9389569814948,2.76375871184811,3.90531122326364,3.46070656092285,1.02138908916126,0.45662100456621
"E02000189",5944,347,281,163,310,42,115,352,982,750,1287,673,197,239,148,40,18,5.83781965006729,4.72745625841184,2.74226110363392,5.21534320323015,0.706594885598923,1.93472409152086,5.92193808882907,16.5208613728129,12.6177658142665,21.6520861372813,11.3223418573351,3.314266487214,4.02086137281292,2.48990578734859,0.672947510094213,0.302826379542396
"E02000190",7530,299,173,108,211,32,80,883,1432,815,1534,960,281,381,262,51,28,3.97078353253652,2.29747675962815,1.43426294820717,2.80212483399734,0.424966799468792,1.06241699867198,11.726427622842,19.0172642762284,10.8233731739708,20.3718459495352,12.7490039840637,3.73173970783533,5.0597609561753,3.47941567065073,0.677290836653386,0.371845949535193
"E02000191",7497,182,116,67,98,15,38,1129,1932,854,1533,797,184,321,176,35,20,2.42763772175537,1.54728558089903,0.893690809657196,1.30718954248366,0.200080032012805,0.50686941443244,15.0593570761638,25.7703081232493,11.391223155929,20.4481792717087,10.6309190342804,2.45431505935708,4.28171268507403,2.34760570895025,0.466853408029879,0.266773376017073
"E02000192",7157,418,220,150,330,53,110,133,751,856,1953,1217,299,365,223,53,26,5.84043593684505,3.07391365097108,2.09585021657119,4.61087047645662,0.740533743188487,1.53695682548554,1.85832052535979,10.4932234176331,11.9603185692329,27.2879698197569,17.0043314237809,4.17772809836524,5.09990219365656,3.1158306553025,0.740533743188487,0.363280704205673
"E02000193",7630,190,167,50,130,18,74,318,1319,948,2095,1186,350,454,245,57,29,2.49017038007864,2.18872870249017,0.655307994757536,1.70380078636959,0.235910878112713,0.969855832241153,4.16775884665793,17.2870249017038,12.4246395806029,27.4574049803408,15.5439056356488,4.58715596330275,5.95019659239843,3.21100917431193,0.747051114023591,0.380078636959371
